WKT,highway,noname,name,surface,maxspeed,ref,service,oneway,lanes,tracktype,smoothness,source_1
"LINESTRING (-59.5063338 13.1520847,-59.5057316 13.1520368,-59.5047852 13.1519614)",service,yes,,,,,,,,,,
"LINESTRING (-59.508614 13.1556676,-59.5085539 13.1556704,-59.5084924 13.1556916,-59.5083562 13.1558195,-59.5082097 13.155986,-59.5079893 13.1562742,-59.5074775 13.1569322,-59.5070275 13.1575037,-59.5066802 13.1579497,-59.5062903 13.1584162,-59.5058884 13.1588836,-59.5055183 13.1592859,-59.5051346 13.1597234,-59.5048859 13.1600373,-59.5047357 13.1604618,-59.5044861 13.1611481,-59.5042319 13.1618673,-59.503943 13.1625739,-59.5036389 13.1632651)",primary,,Highway 4,asphalt,60,H4,,,,,,
"LINESTRING (-59.5309831 13.1230009,-59.5310929 13.1228807,-59.5311953 13.1228319,-59.531371 13.1227915)",tertiary,,Highway 4B,,,H4B,,,,,,
"LINESTRING (-59.5309831 13.1230009,-59.5309778 13.122866,-59.5309535 13.1228098,-59.5309191 13.122764,-59.530831 13.1227001)",tertiary,,Brighton Road,,,,,yes,,,,
"LINESTRING (-59.530831 13.1227001,-59.531054 13.1227436,-59.531371 13.1227915)",tertiary,,Brighton Road,,60,H4B,,yes,,,,KG Ground Survey 2015
"LINESTRING (-59.5430292 13.1234712,-59.542568 13.1232069,-59.5423863 13.1231595,-59.5418118 13.1231137,-59.5413396 13.123076,-59.5412817 13.1230723,-59.5408871 13.1230473,-59.5406615 13.1230609,-59.5404527 13.12309,-59.5400576 13.123195,-59.5398602 13.1232533,-59.5395906 13.123323,-59.5393569 13.1233298,-59.5391398 13.1232987,-59.539033 13.1232747,-59.5388853 13.1232382,-59.5385932 13.1231468,-59.5383155 13.1230562,-59.5381387 13.1229777,-59.538038 13.1229329,-59.5376484 13.1227397,-59.5371856 13.1225618,-59.5370802 13.1225249,-59.5368946 13.12246,-59.5366056 13.1223809,-59.5364199 13.1223367,-59.5363869 13.1223289,-59.5360477 13.1222876,-59.5358416 13.1222998,-59.5356306 13.1223395,-59.535176 13.1225133,-59.5350454 13.1225632,-59.5346553 13.1227052,-59.5345151 13.1227202,-59.5342846 13.1227218,-59.5340369 13.1227235,-59.5334753 13.1227438,-59.5328153 13.1227577,-59.5315957 13.1227729,-59.5315013 13.1227807,-59.531371 13.1227915)",tertiary,,Highway 4B,,60,H4B,,,,,,KG Ground Survey 2015
"LINESTRING (-59.5298187 13.1223934,-59.5297837 13.1223173,-59.5297903 13.1221802,-59.52981 13.1219525,-59.5298761 13.1211379,-59.5299331 13.1203224,-59.5299059 13.1201259,-59.5298522 13.119994)",tertiary,,Brighton Road,asphalt,40,,,,2,,,KG Ground Survey 2015
"LINESTRING (-59.5031641 13.1162316,-59.5023189 13.1161867,-59.5017969 13.1161821,-59.5013406 13.1162326)",unclassified,yes,,,,,,,,,,
"LINESTRING (-59.5030611 13.1147854,-59.5027825 13.1147836,-59.5025306 13.1147584,-59.502194 13.1147349,-59.5016356 13.1146864,-59.5014237 13.1146507,-59.5012069 13.1146399,-59.5012244 13.1148523,-59.5012759 13.1154124,-59.5013406 13.1162326)",unclassified,yes,,,,,,,,,,
"LINESTRING (-59.5036019 13.1113999,-59.5021685 13.1100541)",service,yes,,unpaved,,,driveway,,,,,
"LINESTRING (-59.4995902 13.1071695,-59.500018 13.1072335,-59.5049511 13.1078809,-59.5054775 13.1079653,-59.5057525 13.1080094,-59.5077647 13.108307,-59.5079878 13.1083738,-59.5083054 13.1084324,-59.5086659 13.1084658,-59.5090264 13.1085327,-59.5093268 13.1085828,-59.5098418 13.1086664,-59.5102194 13.1087249,-59.5107602 13.1088503,-59.5110648 13.1089031,-59.5116442 13.108959,-59.512142 13.1090008,-59.5124163 13.1090296,-59.5126999 13.1090593,-59.5130175 13.1091011,-59.5131978 13.1091429,-59.5133179 13.1092181,-59.5133952 13.1092683,-59.5135754 13.1093686,-59.5137728 13.1094271,-59.5140217 13.1094522,-59.5142535 13.1094689,-59.5145762 13.1094651,-59.5149744 13.1095442,-59.5154551 13.1095692,-59.5158585 13.1096194,-59.5162104 13.1096779,-59.5165366 13.1097615,-59.5169486 13.1098785,-59.5172318 13.1099203,-59.5175322 13.1099621,-59.5178154 13.1100123,-59.5180987 13.1100708,-59.5184077 13.1100959,-59.5186394 13.1101042,-59.5188626 13.1100875,-59.5190943 13.1100039,-59.5193175 13.1099203,-59.5194462 13.1098451,-59.519575 13.1097448,-59.5197638 13.1097197,-59.5200127 13.1097364,-59.5203131 13.1097364,-59.5205019 13.1097699,-59.5206135 13.1098284,-59.5206908 13.1099287,-59.5207766 13.1099956,-59.5209311 13.1100374,-59.5215319 13.1100708,-59.5224074 13.1101377,-59.5234491 13.110239,-59.5244185 13.1103728,-59.5250333 13.1103801,-59.5256041 13.1104261,-59.5261061 13.110482,-59.5263405 13.110552)",unclassified,yes,,,,,,,,,,
"LINESTRING (-59.530831 13.1227001,-59.5303673 13.1226182,-59.5301099 13.1225597,-59.5299699 13.1225041,-59.5298781 13.1224427,-59.5298431 13.1224136,-59.5298187 13.1223934)",tertiary,,Brighton Road,asphalt,40,,,,2,,,KG Ground Survey 2015
"LINESTRING (-59.5298431 13.1224136,-59.5298672 13.1225871,-59.529948 13.1228229,-59.5299457 13.1229693,-59.5298695 13.1231614,-59.5297753 13.1233602)",service,,,,,,,,,,,
"LINESTRING (-59.5274214 13.1222214,-59.527478 13.1215541,-59.527533 13.1209056,-59.5275868 13.1203034,-59.5276206 13.1195676,-59.5276621 13.1192542,-59.5277069 13.1190263)",residential,yes,,,,,,,,,,
"LINESTRING (-59.527478 13.1215541,-59.5269365 13.1215192)",service,,,,,,,,,,,
"LINESTRING (-59.5260149 13.1214799,-59.5252561 13.1214433)",service,,,,,,,,,,,
"LINESTRING (-59.5255636 13.1227574,-59.5255305 13.12274,-59.5253422 13.122705,-59.5252819 13.1226553,-59.525239 13.1225801,-59.5252452 13.1221703,-59.5252561 13.1214433,-59.5253534 13.1208029,-59.5253915 13.1204251,-59.5253937 13.1202532,-59.5253668 13.120067,-59.5253444 13.1199234,-59.5252839 13.1197896,-59.5251 13.1195472,-59.5248928 13.119313,-59.5247154 13.1191127,-59.5246426 13.1190127,-59.5245876 13.1189019,-59.524584 13.1188696,-59.5245784 13.1188204)",residential,yes,,,,,,,,,,
"LINESTRING (-59.5252452 13.1221703,-59.5270532 13.1222127,-59.5274214 13.1222214)",residential,yes,,,,,,,,,,
"LINESTRING (-59.5270532 13.1222127,-59.5269948 13.1231298,-59.5269869 13.1231822,-59.5269073 13.123192,-59.5267481 13.123192,-59.5266764 13.1231592,-59.5266046 13.1230763,-59.5265463 13.1230064,-59.526423 13.1229583,-59.526266 13.1229409,-59.5260866 13.1229168,-59.5258916 13.1228906)",residential,,,,,,,,,,,
"LINESTRING (-59.5260866 13.1229168,-59.526016 13.1229381,-59.5259745 13.1229654,-59.5259431 13.1230364,-59.5259386 13.1231762,-59.5259431 13.1234033)",service,,,,,,,,,,,
"LINESTRING (-59.5315013 13.1227807,-59.5314365 13.1229875,-59.5310637 13.1235701,-59.5308974 13.1236275,-59.5306108 13.1236368)",service,,,,,,,,,,,
"LINESTRING (-59.5304684 13.1238585,-59.5305574 13.1237321,-59.5306108 13.1236368,-59.5307125 13.1234554,-59.5307447 13.1233977,-59.5309831 13.1230009)",tertiary,,Highway 4B,,,H4B,,,,,,
"LINESTRING (-59.5307125 13.1234554,-59.5304772 13.1234584,-59.5303336 13.12343,-59.530226 13.1233776)",service,,,,,,,,,,,
"LINESTRING (-59.5304772 13.1234584,-59.5303561 13.1235895,-59.5301632 13.1237008)",service,,,,,,,,,,,
"LINESTRING (-59.527864 13.1242273,-59.5279332 13.1241647,-59.5280529 13.1241071,-59.5282799 13.124071,-59.5292773 13.123964,-59.5293789 13.1239493,-59.5294534 13.1239386,-59.5296531 13.1238854,-59.5297922 13.1238464,-59.5299529 13.1238514,-59.5304684 13.1238585)",tertiary,,Highway 4B,,60,H4B,,,,,,KG Ground Survey 2015
"LINESTRING (-59.5274214 13.1222214,-59.5273109 13.123459,-59.5272778 13.1242093)",residential,yes,,,,,,,,,,
"LINESTRING (-59.5273109 13.123459,-59.5271316 13.123447,-59.5270251 13.1234218,-59.5269712 13.1233683,-59.5269612 13.1233006,-59.5269869 13.1231822)",residential,,,,,,,,,,,
"LINESTRING (-59.5272778 13.1242093,-59.5277411 13.1242249,-59.527864 13.1242273)",residential,yes,,,,,,,,,,
"LINESTRING (-59.5254731 13.1241816,-59.5254621 13.1241332,-59.5254719 13.1238437,-59.5255055 13.1234912,-59.5255786 13.122886,-59.5255866 13.1227902,-59.5255636 13.1227574)",residential,yes,,,,,,,,,,
"LINESTRING (-59.5272778 13.1242093,-59.526395 13.1241945,-59.5255933 13.1242118,-59.5255328 13.1242064,-59.5254731 13.1241816)",residential,yes,,,,,,,,,,
"LINESTRING (-59.527161 13.1256211,-59.5272318 13.1267535,-59.5272627 13.1273466,-59.5272874 13.1277987,-59.5272479 13.1279185,-59.5270744 13.1281437,-59.5270412 13.128231,-59.5271066 13.1286853,-59.5271098 13.1287081,-59.5270578 13.1313463)",residential,yes,,,,,,,,,,
"LINESTRING (-59.5313039 13.1280691,-59.5316315 13.1280896,-59.531951 13.1281212,-59.5322106 13.1281454,-59.5324549 13.1281671,-59.5327002 13.1281741,-59.5327521 13.1281743,-59.5330648 13.1281752,-59.5333174 13.1281859,-59.5335613 13.1282152,-59.5337891 13.1282376,-59.5340147 13.1282687,-59.5341552 13.1282841,-59.5342367 13.1283071,-59.5342855 13.1283575,-59.534302 13.1285028,-59.5343301 13.1285545,-59.534395 13.1285855,-59.534585 13.1285846,-59.5347582 13.128569,-59.5349327 13.1285762,-59.535127 13.1285886,-59.5352574 13.1285928,-59.5353768 13.1285966,-59.5355629 13.1285805,-59.5356855 13.128585,-59.5358065 13.1286098,-59.5359363 13.1286648,-59.5360316 13.1287261,-59.5361432 13.1288097,-59.5363063 13.1288682,-59.5365724 13.1289017,-59.5369343 13.1288981,-59.5373315 13.1289306,-59.5374688 13.1289424,-59.537766 13.1289794,-59.5381747 13.1290347,-59.5382618 13.1290504,-59.5383783 13.1290668,-59.5385333 13.1290925,-59.5388812 13.1291559,-59.5391473 13.1292527,-59.5393627 13.1293897,-59.5395348 13.1295734)",unclassified,,Waverly Cot Road,,40,,,,,,,KG Ground Survey 2015
"LINESTRING (-59.5335613 13.1282152,-59.5332679 13.130331)",residential,yes,,,,,,,,,,
"LINESTRING (-59.5306467 13.1300433,-59.530708 13.1300855,-59.5308011 13.1301133,-59.5309129 13.1301268,-59.5312134 13.1301483,-59.5316138 13.1301799,-59.5319421 13.1302182,-59.5322893 13.1302689,-59.5326111 13.1302953,-59.5327148 13.1302994,-59.5329967 13.1303101,-59.5332679 13.130331,-59.5333924 13.1303534,-59.5335263 13.1303839,-59.5337159 13.1304187,-59.5339857 13.13045,-59.5340558 13.1304497,-59.534078 13.1304417)",residential,yes,,,,,,,,,,
"LINESTRING (-59.5333219 13.1311567,-59.5333924 13.1303534)",residential,,,,,,,,,,,
"LINESTRING (-59.5324787 13.1312277,-59.5324323 13.1310751,-59.5324588 13.1309676,-59.5325316 13.1308493,-59.5326493 13.1306661,-59.5326972 13.130529,-59.5327148 13.1302994)",residential,,,,,,,,,,,
"LINESTRING (-59.5312134 13.1301483,-59.5312581 13.1306815)",service,,,,,,,,,,,
"LINESTRING (-59.5275991 13.1289287,-59.5275879 13.1288196,-59.527543 13.1287366,-59.5274399 13.1286951,-59.5272493 13.1286842,-59.5271066 13.1286853)",service,,,,,,,,,,,
"LINESTRING (-59.529742 13.1317634,-59.5288473 13.1315207,-59.5284879 13.1314384,-59.5281467 13.131409,-59.5275914 13.1313674,-59.527318 13.131345,-59.5270578 13.1313463)",residential,yes,,,,,,,,,,
"LINESTRING (-59.5268684 13.1313842,-59.5270377 13.1317016,-59.527102 13.1319131)",service,,,,,,,,,,,
"LINESTRING (-59.5270578 13.1313463,-59.5268684 13.1313842,-59.5267597 13.131406,-59.5265723 13.1314469,-59.5263028 13.1314864,-59.5261337 13.1315162,-59.525711 13.1315534,-59.5254032 13.1315841,-59.5247427 13.1315963)",residential,yes,,,,,,,,,,
"LINESTRING (-59.5186595 13.1226158,-59.5193461 13.1226242,-59.5196441 13.1226608,-59.5200585 13.1226409,-59.5204705 13.1226576,-59.520831 13.122666,-59.5212945 13.1226409,-59.5217236 13.1226409,-59.5221356 13.1226409,-59.5227193 13.1226409,-59.5232085 13.1226242,-59.5237149 13.1226326)",residential,yes,,,,,,,,,,
"LINESTRING (-59.5193064 13.1196539,-59.5193032 13.1199911,-59.5192689 13.1203673,-59.5192689 13.1208019,-59.5192088 13.1211865,-59.5192088 13.1215041,-59.5193118 13.1217131,-59.5194405 13.1219638,-59.5195521 13.1221979,-59.5196036 13.1224152,-59.5196441 13.1226608)",residential,yes,,,,,,,,,,
"LINESTRING (-59.5172311 13.1201612,-59.5172232 13.1205867,-59.5172232 13.120712,-59.5171803 13.1207956,-59.5170601 13.1208207,-59.5169641 13.1208306,-59.5168971 13.1208374,-59.5158413 13.1209628,-59.5154025 13.1210248,-59.5153092 13.121038,-59.515189 13.121038)",residential,yes,,asphalt,,,,,,,,
"LINESTRING (-59.5153562 13.1197845,-59.5153349 13.1199012,-59.5153349 13.1200935,-59.5153521 13.1203359,-59.5153349 13.1205114,-59.5153006 13.1207037,-59.5152405 13.1208792,-59.515189 13.121038,-59.5150689 13.1212387,-59.5149916 13.1214643,-59.5149229 13.1217068,-59.51488 13.1219074,-59.5148285 13.1221247,-59.5147942 13.1222919,-59.5147856 13.1224256,-59.5148119 13.1225784,-59.5148527 13.1226245,-59.5149066 13.1226516,-59.5150746 13.1226647,-59.5152814 13.122646,-59.5155271 13.1226468,-59.5159272 13.122668,-59.5162154 13.1226886,-59.5162721 13.1226918,-59.5165479 13.1227174,-59.516837 13.1227474,-59.5169375 13.1227366,-59.5169745 13.1227326,-59.517022 13.1226598,-59.517043 13.1223253,-59.5170615 13.1219633,-59.5169343 13.1219264,-59.5168585 13.1219199,-59.5168903 13.12141,-59.5168944 13.1213712,-59.516911 13.1212136,-59.5169177 13.1210548,-59.5169641 13.1208306)",residential,yes,,asphalt,,,,,,,,
"LINESTRING (-59.5168585 13.1219199,-59.5163944 13.1219177)",residential,yes,,,,,,,,,,
"LINESTRING (-59.5152222 13.1283427,-59.5152691 13.1282813,-59.5153067 13.1282447,-59.5153536 13.1282186,-59.5155521 13.1281494,-59.5160309 13.1280789,-59.5166478 13.1279783,-59.5168288 13.1279796,-59.5169033 13.1279914,-59.5169697 13.1279953,-59.5176617 13.1281207,-59.5181763 13.1282025,-59.5186152 13.1282722,-59.5187332 13.1282982,-59.5190564 13.1283453,-59.5195647 13.1284929,-59.5202446 13.1286483,-59.5207363 13.1287232,-59.520879 13.1287358,-59.5214516 13.128728,-59.5217856 13.1287032,-59.5227069 13.1287045,-59.5230838 13.1286927,-59.5232839 13.1286261,-59.523377 13.1285698,-59.5235055 13.1284737,-59.5237797 13.128252,-59.5239437 13.1281074,-59.5240862 13.1279709,-59.5242395 13.1278032,-59.5245033 13.1275291,-59.5248572 13.1271021,-59.5250921 13.1268189,-59.5253285 13.1265359,-59.525434 13.1264353,-59.5255531 13.1263692,-59.5262626 13.1260608,-59.5270438 13.1256836,-59.527161 13.1256211,-59.527264 13.1255474,-59.52734 13.1254746,-59.5274074 13.1253577,-59.5275291 13.125065,-59.5277503 13.1244957,-59.5278148 13.1243394,-59.527864 13.1242273)",tertiary,,Highway 4B,,60,H4B,,,,,,KG Ground Survey 2015
"LINESTRING (-59.5109691 13.1242542,-59.5111751 13.1243294,-59.511527 13.1243628,-59.5120419 13.1244297,-59.5127973 13.1245384,-59.5129861 13.1245885,-59.5133122 13.1246303,-59.5137328 13.1246972,-59.5140157 13.1247308,-59.5141963 13.124739,-59.5143422 13.1247306,-59.5145224 13.1246638,-59.5146598 13.1246303,-59.5155097 13.124668)",unclassified,yes,,,,,,,,,,
"LINESTRING (-59.5181763 13.1282025,-59.5182154 13.1275289,-59.5182247 13.1271371,-59.5182931 13.1270235,-59.5184648 13.1269973,-59.5185211 13.1269399,-59.5186817 13.1268529)",service,,,,,,,,,,,
"LINESTRING (-59.5152222 13.1283427,-59.515286 13.127297,-59.5154494 13.125625,-59.5155097 13.124668)",unclassified,yes,,,,,,,,,,
"LINESTRING (-59.5046758 13.1205493,-59.5046905 13.1201967,-59.5047053 13.1201183,-59.5047361 13.1200739,-59.5047938 13.1200491,-59.5049708 13.1200517,-59.5051866 13.1200699,-59.5053408 13.120039)",residential,yes,,asphalt,,,,,,,,
"LINESTRING (-59.5032249 13.1184831,-59.5032372 13.1186253,-59.5032378 13.1186561,-59.5032304 13.1187816,-59.5032237 13.1189104,-59.5032085 13.1191732,-59.5031863 13.1195382,-59.503154 13.1200302,-59.5030688 13.1207792,-59.5030554 13.1209474,-59.5030299 13.1210688,-59.5029964 13.1211603,-59.5029079 13.1212386,-59.5027456 13.1212909,-59.502523 13.121351,-59.502405 13.1213692,-59.5021367 13.1213692,-59.501945 13.1213732,-59.5016384 13.121353,-59.5013975 13.1213482,-59.5012208 13.1213659,-59.5011499 13.1213764,-59.5011131 13.1213963)",residential,,Brereton Village No. 2,asphalt,,,,,,,,
"LINESTRING (-59.5071095 13.1202532,-59.5070011 13.1207828,-59.5068848 13.1216411,-59.5068742 13.1217003,-59.5068481 13.1217544,-59.5067884 13.1217842,-59.5067048 13.1218097,-59.5066033 13.1218184,-59.5063325 13.121808,-59.5057954 13.1217723,-59.5052736 13.1217424,-59.5051007 13.1217037,-59.504937 13.1216888,-59.5047626 13.1217022,-59.5046972 13.1216922,-59.5046447 13.121662,-59.50461 13.1216295,-59.5045958 13.1215845,-59.5046034 13.1214444,-59.5046758 13.1205493)",residential,yes,,unpaved,,,,,,,,
"LINESTRING (-59.5019876 13.1230864,-59.5019941 13.1230147,-59.5020049 13.1227998,-59.502059 13.1224584,-59.5020893 13.1221865,-59.5020958 13.1219273,-59.5021367 13.1213692)",residential,yes,,,,,,,,,,
"LINESTRING (-59.5104801 13.1318259,-59.5104026 13.1316517,-59.5104026 13.1314761,-59.5105313 13.1300552,-59.5105914 13.1293029,-59.5106429 13.1289853,-59.5106772 13.1286843,-59.5106944 13.1284587,-59.510703 13.1282831,-59.5107459 13.1280407,-59.5108231 13.1278067,-59.5109176 13.1275308,-59.5109605 13.1273386,-59.5109605 13.1271129,-59.5109605 13.1265278,-59.5109519 13.1261182,-59.5108832 13.1254829,-59.5107802 13.1250734,-59.5107716 13.1248895,-59.510806 13.1247306,-59.5108918 13.1244464,-59.5109691 13.1242542,-59.5110206 13.1240619,-59.5110549 13.1236858,-59.5110806 13.1232762,-59.511115 13.1229669,-59.5111236 13.1227412,-59.511115 13.1225239,-59.5110806 13.1224403,-59.5109795 13.1223629,-59.5107394 13.1222741,-59.5104677 13.1222596,-59.5101068 13.1222574,-59.5091138 13.1221784)",unclassified,yes,,,,,,,,,,
"LINESTRING (-59.523377 13.1285698,-59.5234886 13.1285649,-59.5236483 13.1286412,-59.5236905 13.1287645,-59.5236995 13.1292839)",service,yes,,,,,,,,,,
"LINESTRING (-59.5222429 13.1292421,-59.5219209 13.1292405)",residential,yes,,,,,,,,,,
"LINESTRING (-59.5222499 13.130294,-59.5222256 13.1299149,-59.5222405 13.1296866,-59.5222511 13.1294791,-59.5222429 13.1292421,-59.5222384 13.1291118)",residential,yes,,,,,,,,,,
"LINESTRING (-59.5227069 13.1287045,-59.5227562 13.1293571,-59.5227753 13.1294927,-59.5228021 13.129618,-59.5229713 13.1302716,-59.5231631 13.1302966,-59.5235962 13.1302727,-59.5237043 13.1302883,-59.5237624 13.1303272,-59.523795 13.1303746,-59.5238161 13.1304746,-59.5238335 13.1310211,-59.5238735 13.1314656,-59.5239218 13.1315891,-59.5240305 13.1316126,-59.5247427 13.1315963)",residential,yes,,,,,,,,,,
"LINESTRING (-59.5229713 13.1302716,-59.5222499 13.130294,-59.5219507 13.1303154)",residential,yes,,,,,,,,,,
"LINESTRING (-59.5187332 13.1282982,-59.5187749 13.1291646,-59.5187415 13.1298904,-59.5187398 13.1300141,-59.5187015 13.1304375,-59.51871 13.1305578,-59.5187654 13.1305952,-59.5189998 13.1308027,-59.5190041 13.1308815,-59.5189316 13.1311264)",service,yes,,,,,,,,,,
"LINESTRING (-59.5140953 13.1306372,-59.5142971 13.1305641,-59.5144554 13.1304752,-59.5149731 13.1301819,-59.515007 13.1301372,-59.5150199 13.1300797,-59.515015 13.1298703)",residential,yes,,,,,,,,,,
"LINESTRING (-59.5142971 13.1305641,-59.5144554 13.1308816,-59.514529 13.1309033,-59.5147499 13.1309011,-59.5148414 13.1309424,-59.5148816 13.1310532,-59.5149218 13.1314862)",residential,yes,,,,,,,,,,
"LINESTRING (-59.5142645 13.1313868,-59.5144183 13.1313978,-59.5149218 13.1314862,-59.5152023 13.1315848,-59.5152855 13.131665,-59.5153593 13.1317551,-59.5154467 13.1318217,-59.5156911 13.1319019,-59.5159185 13.1318859,-59.5161278 13.1318858,-59.5163718 13.131874,-59.5165249 13.1318858)",residential,yes,,,,,,,,,,
"LINESTRING (-59.4945952 13.1326675,-59.4979405 13.1328493,-59.5004983 13.1329831,-59.5019348 13.1330696,-59.5021 13.1331553,-59.5022934 13.1332388,-59.5024812 13.1332511,-59.5029095 13.1331646,-59.5033375 13.1330473,-59.5042142 13.1328386,-59.5048369 13.13276,-59.5064463 13.1325568,-59.5076651 13.1324816,-59.507957 13.1324481,-59.5082851 13.1323994,-59.5099601 13.1321507,-59.5101555 13.1320505,-59.5102668 13.1319748,-59.5104801 13.1318259,-59.5106839 13.1316979,-59.5109401 13.1315373,-59.5111895 13.1314106,-59.5113156 13.1313479,-59.5115717 13.131263,-59.5123817 13.1311951,-59.5130429 13.1311076,-59.5133393 13.1309874,-59.5136638 13.130751,-59.5140286 13.1304585,-59.5142338 13.1303253,-59.5147032 13.129999,-59.51484 13.1298616,-59.5149432 13.1296827,-59.5149756 13.1295898,-59.5150224 13.1294241,-59.5151364 13.1290166,-59.515182 13.1286862,-59.5152222 13.1283427)",tertiary,,Highway 4B,,60,H4B,,,,,,KG Ground Survey 2015
"LINESTRING (-59.5021199 13.1278487,-59.5020856 13.128141,-59.5020598 13.1284252,-59.5020427 13.1286091,-59.5020598 13.1288264,-59.5020598 13.1289769,-59.5021542 13.1291106,-59.5023517 13.1293363,-59.5025147 13.1295537,-59.5027121 13.129771,-59.5028066 13.1299298,-59.5028323 13.1300468,-59.5028924 13.1301471,-59.5030211 13.1301889,-59.5033473 13.1302307,-59.5036048 13.1302307,-59.503888 13.1302224,-59.5040153 13.1302319,-59.5042228 13.1302474,-59.5043858 13.1302641,-59.504609 13.1303059)",residential,,Hamden Road,,,,,,,,,
"LINESTRING (-59.5040153 13.1302319,-59.5040018 13.1303352,-59.503975 13.130488,-59.5039589 13.1305899,-59.5039589 13.1306199)",service,,,,,,driveway,,,,,
"LINESTRING (-59.5012759 13.1154124,-59.501027 13.1154458,-59.5007008 13.115496,-59.5005206 13.1155294,-59.5004004 13.115613,-59.5002459 13.1156548)",service,yes,,,,,driveway,,,,,
"LINESTRING (-59.4984465 13.1165417,-59.4984692 13.116357,-59.4985121 13.1161563,-59.4985808 13.1157551,-59.498658 13.115404,-59.4987181 13.1151282,-59.4987782 13.1148356,-59.4988469 13.1145514,-59.4989155 13.1145179,-59.4990357 13.1145096,-59.4991493 13.1145303,-59.4992847 13.1145345,-59.4995303 13.1145661,-59.4998458 13.1145794,-59.5000911 13.1145752,-59.500309 13.1145883,-59.5005223 13.1146005,-59.5009568 13.1146175,-59.5012069 13.1146399)",unclassified,yes,,,,,,,,,,
"LINESTRING (-59.5013406 13.1162326,-59.5009622 13.1162393,-59.5003791 13.1162989,-59.4995397 13.1163927,-59.4989518 13.1164958,-59.4984465 13.1165417)",unclassified,yes,,,,,,,,,,
"LINESTRING (-59.4984465 13.1165417,-59.4981548 13.116679,-59.4978021 13.1168072,-59.4977033 13.1168324,-59.4974988 13.1168255,-59.4973152 13.1167752)",unclassified,yes,,,,,,,,,,
"LINESTRING (-59.4980066 13.1174736,-59.4979714 13.1173293,-59.4979714 13.1172332,-59.4978397 13.1170614,-59.4977033 13.1168324)",service,yes,,,,,,,,,,
"LINESTRING (-59.5277552 13.1036378,-59.527545 13.1036415,-59.5274323 13.1036755,-59.5273894 13.1037486,-59.527384 13.103861,-59.527384 13.1039106)",residential,,,,,,,,,,,
"LINESTRING (-59.5289183 13.1042162,-59.52887 13.1043991,-59.528819 13.1044331,-59.5287654 13.1044514,-59.5286581 13.1044514,-59.5285079 13.1044226,-59.5283764 13.1044148,-59.5282611 13.1044252,-59.5281726 13.1044696)",residential,,,,,,,,,,,
"LINESTRING (-59.5282362 13.1045785,-59.5280921 13.1046695,-59.5279258 13.1047191,-59.5276844 13.1047139,-59.5274457 13.1047008,-59.5272982 13.1046904)",residential,,,,,,,,,,,
"LINESTRING (-59.5272982 13.1046904,-59.5272378 13.1047087,-59.5272016 13.1047335,-59.5271748 13.1048001,-59.5271346 13.1050195,-59.5271346 13.1050927,-59.527148 13.1051397)",residential,,,,,,,,,,,
"LINESTRING (-59.527148 13.1051397,-59.5272057 13.1051854,-59.5273277 13.1052024,-59.5279553 13.1051893,-59.528135 13.1051606)",residential,,,,,,,,,,,
"LINESTRING (-59.528596 13.1057146,-59.5285967 13.1056734)",tertiary,,Highway P,asphalt,60,HP,,,2,,,KG Ground Survey 2015
"LINESTRING (-59.5294003 13.1055741,-59.5289578 13.105595,-59.5287593 13.1056446,-59.52866 13.1057245)",service,,,,,,,,,,,
"LINESTRING (-59.5299677 13.1057791,-59.529602 13.1058946)",service,,,,,,,,,,,
"LINESTRING (-59.5308877 13.1059358,-59.5308503 13.1061831)",service,,,,,,,,,,,
"LINESTRING (-59.5331351 13.1059374,-59.5330407 13.1059171,-59.5328487 13.1059327,-59.5326002 13.1059269,-59.5323616 13.1059348,-59.5320595 13.1059076,-59.531669 13.1058883,-59.5312972 13.1058371)",residential,yes,,,,,,,,,,
"LINESTRING (-59.5328487 13.1059327,-59.5328323 13.1061317)",service,,,,,,,,,,,
"LINESTRING (-59.5335081 13.1056547,-59.5336584 13.1060351)",service,,,,,,,,,,,
"LINESTRING (-59.528596 13.1057146,-59.52866 13.1057245,-59.5293542 13.1058497,-59.529602 13.1058946,-59.5303655 13.106043,-59.5307528 13.1061527,-59.5308503 13.1061831,-59.5309034 13.1061996,-59.5309807 13.1062237,-59.5313718 13.1062959,-59.5317463 13.1063544,-59.5321915 13.1064333,-59.5325751 13.1065037,-59.5328133 13.1065168)",residential,yes,,,,,,,,,,
"LINESTRING (-59.5328133 13.1065168,-59.5329012 13.1064777,-59.5329192 13.106457,-59.5329988 13.1063648,-59.5330743 13.1061618,-59.5331351 13.1059374,-59.5331512 13.1058403,-59.5331861 13.1057687,-59.5332214 13.1056655)",residential,yes,,,,,,,,,,
"LINESTRING (-59.5361001 13.1059286,-59.5350823 13.1057867,-59.5348126 13.1057639,-59.5341548 13.1057083,-59.5338287 13.1056665,-59.5335081 13.1056547,-59.5333738 13.1056498,-59.5332214 13.1056655)",residential,yes,,gravel,,,,,,,bad,
"LINESTRING (-59.5350823 13.1057867,-59.5350887 13.1062976)",service,,,,,,,,,,,
"LINESTRING (-59.5348126 13.1057639,-59.5349385 13.1059659,-59.5349814 13.1060991,-59.5349707 13.1063629)",service,,,,,,,,,,,
