WKT,highway,noname,name,maxspeed,ref,surface,source_1,oneway,service,lanes
"LINESTRING (-59.5026645 13.1831662,-59.5026558 13.1834405,-59.5026246 13.183722,-59.5026075 13.1840563,-59.5025903 13.184424)",residential,yes,,,,,,,,
"LINESTRING (-59.502041 13.1834295,-59.5021352 13.1837473,-59.5020921 13.1842176)",residential,yes,,,,,,,,
"LINESTRING (-59.5019893 13.1868362,-59.5020602 13.1866697,-59.5021204 13.186456,-59.5022867 13.1857979,-59.5025344 13.1848055)",track,,,,,,,,,
"LINESTRING (-59.5011751 13.183236,-59.5011247 13.1835647,-59.5010984 13.1840151,-59.5009812 13.1854894,-59.5009775 13.1857123,-59.500998 13.1858493,-59.5010649 13.1860303,-59.5011119 13.186161,-59.5012076 13.186256,-59.5015193 13.1864979,-59.5019893 13.1868362,-59.5020903 13.1869131,-59.5023138 13.1871686,-59.5025004 13.1874039,-59.5026311 13.1875566,-59.5028886 13.1877906,-59.502983 13.1879076,-59.5031132 13.1881697,-59.503234 13.1884277,-59.5033621 13.1886694,-59.503476 13.1888767,-59.50354 13.1889586,-59.5036231 13.1889988)",tertiary,,Highway 3E,60,H3E,,KG Ground Survey 2015,,,
"LINESTRING (-59.5064124 13.1855599,-59.5063647 13.1856095,-59.5063046 13.1857599,-59.5062703 13.1859521,-59.5060042 13.1878407,-59.5059712 13.1880662,-59.5058875 13.1883441,-59.5056876 13.1889292)",tertiary,,Highway 3C,40,H3C,,KG Ground Survey 2015,,,
"LINESTRING (-59.5010984 13.1840151,-59.5015775 13.1840145,-59.5016032 13.1835632)",residential,yes,,,,,,,,
"LINESTRING (-59.5011119 13.186161,-59.5009509 13.1860703,-59.5007964 13.18597,-59.5006552 13.1858779,-59.50051 13.1857473,-59.5003305 13.1855985,-59.5001249 13.1854905,-59.4999545 13.1854408,-59.4998503 13.1854273,-59.4998043 13.1854213,-59.4995978 13.1853599,-59.4993484 13.1852855,-59.4991284 13.1851954,-59.4989299 13.1851275,-59.4987663 13.1850583,-59.4986979 13.1850126,-59.4986443 13.1849368,-59.4986067 13.184788,-59.498589 13.1845436,-59.4984688 13.1831792,-59.4984941 13.18305)",unclassified,,St. John Church Road,,,,,,,
"LINESTRING (-59.4980046 13.182589,-59.4976015 13.1826446,-59.4971993 13.1826963,-59.4969577 13.1826977,-59.4966218 13.1826947,-59.4963798 13.1826766,-59.4960981 13.1827864,-59.4958616 13.1829092,-59.4955251 13.1830728,-59.4950981 13.183296,-59.4950324 13.1833781,-59.4950301 13.1834661,-59.495056 13.1836035,-59.4950717 13.1837031,-59.4950773 13.1838155,-59.4950524 13.1839284,-59.4947529 13.1845245,-59.4946157 13.1846613,-59.4942367 13.1849004,-59.4939899 13.1850039,-59.4936371 13.1850818,-59.4930804 13.1852067,-59.49263 13.1853176,-59.4923766 13.1854043,-59.4922209 13.1855079,-59.4920579 13.1856341,-59.4920374 13.1856498,-59.491823 13.1858135,-59.4915229 13.1860236,-59.4913181 13.1861808,-59.4912175 13.1862822,-59.4911162 13.1864093,-59.491026 13.1864769,-59.4908537 13.1865383,-59.4902116 13.186751,-59.4880525 13.1874621,-59.4881217 13.1876862,-59.4882317 13.1879055,-59.4884471 13.1882749)",residential,,Pot House Road,,,,,,,
"LINESTRING (-59.5374128 13.1888091,-59.5373785 13.1887339,-59.5373441 13.187238,-59.5373613 13.1869038,-59.5377132 13.1846845)",track,yes,,,,,,,,
"LINESTRING (-59.5276105 13.1151029,-59.5270896 13.1155059,-59.5265033 13.1159156,-59.525789 13.1163627,-59.5254571 13.1165449,-59.5251479 13.1166746,-59.5246252 13.1168749,-59.5242136 13.117024,-59.5239455 13.1171114,-59.5236675 13.1172059,-59.523484 13.1172739,-59.5230131 13.1174585,-59.5227873 13.1175446,-59.5224601 13.1177594,-59.5222072 13.1179295,-59.5220356 13.1180628,-59.5215406 13.1183952,-59.52099 13.1187928,-59.5204697 13.1191389,-59.5202433 13.1192824,-59.5200608 13.1193863,-59.5195812 13.1195693,-59.5193064 13.1196539,-59.5189155 13.1197732,-59.5182923 13.1200011,-59.5180287 13.1200725,-59.5177737 13.1201315,-59.5174908 13.1201739,-59.517359 13.120179,-59.5172311 13.1201612,-59.5171282 13.1201232,-59.5169119 13.1200041,-59.5167274 13.1199018,-59.5165468 13.1198202,-59.5163786 13.1197869,-59.5162094 13.1197744,-59.5157905 13.1197761,-59.5153562 13.1197845,-59.5146867 13.1198029,-59.5142748 13.1198299,-59.5139521 13.1198681,-59.5134352 13.1199242,-59.5130984 13.1199533,-59.5127002 13.1200006,-59.5123207 13.1200498,-59.5119195 13.1201063,-59.5112261 13.1202113,-59.5104087 13.1203138,-59.5097737 13.120399,-59.5094667 13.1204331,-59.508951 13.1204157,-59.5084881 13.1203805,-59.5077589 13.1203148,-59.5071095 13.1202532,-59.50695 13.120238,-59.5068157 13.1202152,-59.5065392 13.1201958,-59.5060648 13.1201669,-59.5056158 13.1201299,-59.5054236 13.1200928,-59.5053408 13.120039,-59.5052869 13.1199881,-59.5052351 13.1199135,-59.5051623 13.1197526,-59.5051 13.1195539,-59.5050619 13.1194486,-59.5049955 13.119283,-59.5049313 13.1191572,-59.5048637 13.1190306,-59.5047703 13.1189259,-59.5046628 13.1188331,-59.5045555 13.1187627,-59.5044481 13.1187116,-59.5041692 13.1186009,-59.5041591 13.1185965,-59.5037826 13.1184339,-59.5036527 13.1184126,-59.5035637 13.1184068,-59.5033615 13.1184522,-59.5032249 13.1184831,-59.5031497 13.118516,-59.5027916 13.1186168,-59.5022847 13.118774,-59.5017063 13.1189535,-59.5012996 13.1191015,-59.5009659 13.1192532,-59.5008829 13.1192909,-59.500534 13.1194253,-59.5003455 13.1194434,-59.5001742 13.1194176,-59.4998007 13.1193068,-59.4993747 13.1191883,-59.4990371 13.1190878,-59.4987698 13.1190119,-59.498576 13.1189575,-59.498326 13.1188869,-59.497939 13.1188185,-59.497441 13.1187948,-59.4969439 13.1187863,-59.4965132 13.1187696,-59.4959419 13.1187445,-59.4954393 13.118708,-59.494829 13.1186591,-59.4944209 13.1186046,-59.4941154 13.1185485,-59.4939688 13.1184981,-59.4937559 13.1184021,-59.4934241 13.1183078,-59.4930735 13.1182801,-59.4926437 13.1182635,-59.4922655 13.1182522,-59.491844 13.1182337,-59.4915849 13.1182186,-59.4912139 13.1181997,-59.4907199 13.1181653,-59.4901569 13.1181336,-59.4896109 13.1180955,-59.4890821 13.1180535,-59.4887449 13.1180589,-59.4883239 13.1181126,-59.4877299 13.1182046,-59.4873049 13.1183035,-59.4867476 13.1184397,-59.4864097 13.1185219,-59.4862076 13.1185659,-59.4859128 13.1186418,-59.485648 13.1187077,-59.4854453 13.1187451,-59.4852933 13.1187534,-59.4850061 13.1187291,-59.4847469 13.1186938,-59.4842485 13.1186106,-59.4839335 13.1185789,-59.48342 13.1185262)",primary,,Highway 5,60,H5,asphalt,,,,2
"LINESTRING (-59.5871254 13.1210848,-59.5885238 13.1213982,-59.5894238 13.1215968,-59.5894823 13.121631,-59.5895081 13.1216767)",track,,,,,,,,,
"LINESTRING (-59.5895081 13.1216767,-59.5895081 13.1217086,-59.5894589 13.121857,-59.58909 13.1229365)",track,,,,,,,,,
"LINESTRING (-59.5882917 13.127667,-59.5890336 13.127941,-59.5890903 13.127946,-59.589148 13.1279303,-59.5892667 13.1276495,-59.5892886 13.1276136,-59.5893301 13.1275911,-59.5894764 13.1275688)",residential,yes,,,,,,,,
"LINESTRING (-59.5886658 13.1319361,-59.5895416 13.1324065,-59.5895706 13.1324537)",residential,,Hothersal Terrace,,,,,,,
"LINESTRING (-59.5895706 13.1324537,-59.5895694 13.1325065,-59.5894011 13.1331073,-59.5893002 13.1334236,-59.5891264 13.1335917,-59.5887824 13.133794,-59.5887266 13.1337874,-59.5886833 13.1337577)",residential,,Hothersal Terrace,,,,,,,
"LINESTRING (-59.5865877 13.1433183,-59.586284 13.1438286,-59.5861539 13.1438906,-59.5857837 13.1438634,-59.5854258 13.1438167,-59.5852134 13.1438666,-59.5850774 13.143932,-59.5849622 13.1440106,-59.5847846 13.1442976,-59.5847066 13.1448841,-59.5844726 13.1451963,-59.5840003 13.1454706,-59.5835626 13.1455297,-59.583151 13.1453904,-59.5827783 13.1452132,-59.5825487 13.1448883,-59.58254 13.1445297,-59.5825227 13.1442343,-59.5824663 13.1442005,-59.5823797 13.1442385,-59.5822627 13.1443862,-59.5820287 13.1447997,-59.5816647 13.1451035)",service,yes,,,,,,,,
"LINESTRING (-59.583237 13.1560909,-59.5833587 13.1564348,-59.5835229 13.1569345,-59.5836415 13.157372,-59.5836393 13.1575607,-59.5835617 13.1577251,-59.5835572 13.1578495,-59.5835458 13.1584957)",service,,,,,,,,,
"LINESTRING (-59.5808419 13.1450498,-59.5805309 13.1456333)",residential,,,,,,,,,
"LINESTRING (-59.5825175 13.1564022,-59.5821865 13.1561328,-59.5814384 13.1554688,-59.5804646 13.154496)",track,,,,,,,,,
"LINESTRING (-59.5806655 13.1448997,-59.5803553 13.1455318)",residential,,,,,,,,,
"LINESTRING (-59.5802244 13.1475845,-59.5803718 13.1484718,-59.5803584 13.1485131,-59.5803294 13.1485305)",residential,,,,,,,,,
"LINESTRING (-59.5805114 13.1447975,-59.5801873 13.14543)",residential,,,,,,,,,
"LINESTRING (-59.5803171 13.1448149,-59.5800438 13.1453431)",residential,,,,,,,,,
"LINESTRING (-59.5799218 13.1443234,-59.5795527 13.1450456)",residential,,,,,,,,,
"LINESTRING (-59.5794972 13.1455975,-59.5803006 13.1460928)",residential,yes,,,,,,,,
"LINESTRING (-59.5799542 13.146508,-59.5797666 13.1464558,-59.5796393 13.1464689,-59.5794564 13.1465447)",residential,,,,,,,,,
"LINESTRING (-59.5803964 13.1499528,-59.5798582 13.1493308,-59.5794673 13.1488002,-59.579445 13.1487056)",residential,,,,,,,,,
"LINESTRING (-59.579445 13.1487056,-59.5795042 13.1487176,-59.5801424 13.1485713,-59.5803294 13.1485305)",residential,,Cole Road,,,,,,,
"LINESTRING (-59.5792554 13.1478192,-59.5799346 13.1476646)",residential,yes,,,,,,,,
"LINESTRING (-59.5792551 13.1458842,-59.5794169 13.1460159,-59.5794361 13.1461035,-59.5794564 13.1465447,-59.5795403 13.1468091)",residential,yes,,,,,,,,
"LINESTRING (-59.579778 13.1451821,-59.5794972 13.1455975,-59.5792551 13.1458842,-59.5791704 13.1459642)",residential,yes,,,,,,,,
"LINESTRING (-59.5789173 13.1446989,-59.5792754 13.1448777,-59.5795527 13.1450456,-59.579778 13.1451821,-59.5800438 13.1453431,-59.5801873 13.14543,-59.5803553 13.1455318,-59.5805309 13.1456333,-59.5806903 13.1457109)",residential,,Bournes Village,,,,,,,
"LINESTRING (-59.5815454 13.157719,-59.5811967 13.1578561,-59.5795272 13.1585979,-59.578903 13.1588805)",track,,,,,,,,,
"LINESTRING (-59.5793779 13.1440668,-59.5790473 13.1438752,-59.5790028 13.1438722,-59.5789649 13.143895,-59.5787483 13.1442156)",residential,yes,,,,,,,,
"LINESTRING (-59.5888321 13.1825538,-59.5886694 13.1831296,-59.5886581 13.183264,-59.5886923 13.183478,-59.5887623 13.1837007,-59.5888976 13.1838961,-59.5889785 13.1840554,-59.5889947 13.1842045,-59.588976 13.1843553,-59.5888839 13.1845439,-59.5887894 13.1846514,-59.5887277 13.1847109)",residential,,Santa Fe Boulevard,40,,,,,,
"LINESTRING (-59.5887277 13.1847109,-59.5885196 13.1848184,-59.5881697 13.1848869,-59.5879399 13.1848869,-59.5877454 13.1848666,-59.5871753 13.1847556,-59.5869157 13.1846792)",residential,,Santa Fe Boulevard,40,,,,,,
"LINESTRING (-59.5871753 13.1847556,-59.5871265 13.1850862,-59.5871106 13.1851361)",service,,,,,,,,,
"LINESTRING (-59.5887277 13.1847109,-59.5894063 13.185442)",residential,yes,,,,,,,,
"LINESTRING (-59.5877454 13.1848666,-59.5876166 13.1853187,-59.5875366 13.1854046)",residential,,Isabella Boulevard,40,,,,,,
"LINESTRING (-59.5875366 13.1854046,-59.5874393 13.1854464,-59.5872737 13.1854426,-59.5869916 13.1854347)",residential,,Isabella Boulevard,40,,,,,,
"LINESTRING (-59.5863194 13.1853341,-59.5862869 13.1853033,-59.5862662 13.185265,-59.5862456 13.1852111,-59.5862056 13.1849746,-59.5861237 13.1844719,-59.5860992 13.1843696,-59.5860055 13.1841733,-59.5859334 13.1840158,-59.5859058 13.1838738,-59.5859183 13.183687,-59.586002 13.1833963,-59.5862592 13.1825133,-59.5864082 13.1819538)",residential,,Isabella Boulevard,40,,,,,,
"LINESTRING (-59.5861237 13.1844719,-59.5858038 13.1846152,-59.5857074 13.1846825,-59.5856412 13.1847287,-59.5855864 13.1847669,-59.5854575 13.18493,-59.585404 13.1850682,-59.5853914 13.1851007,-59.5853677 13.1853146)",residential,yes,,,,,,,,
"LINESTRING (-59.5858419 13.1850678,-59.5856412 13.1847287)",residential,,,,,,,,,
"LINESTRING (-59.5857074 13.1846825,-59.5854678 13.1842906)",residential,,,,,,,,,
"LINESTRING (-59.5871106 13.1851361,-59.5870638 13.1851617,-59.5868414 13.1851572)",service,,,,,,,,,
"LINESTRING (-59.5868222 13.1854251,-59.5865817 13.1854036,-59.5864594 13.185392,-59.5863789 13.1853659,-59.5863497 13.1853522,-59.5863194 13.1853341)",residential,,Isabella Boulevard,40,,,,,,
"LINESTRING (-59.585404 13.1850682,-59.584966 13.1849923)",residential,,,,,,,,,
"LINESTRING (-59.5821012 13.1838398,-59.581896 13.184033,-59.5817865 13.1841529,-59.5816702 13.1841951,-59.5815652 13.1842106,-59.5813587 13.184231)",service,,,,,,,,,
"LINESTRING (-59.5811478 13.1835481,-59.5805063 13.1836671)",service,,,,,,,,,
"LINESTRING (-59.5814391 13.1847087,-59.5815183 13.1848134)",primary,,Highway 2,,H2,asphalt,,yes,,
"LINESTRING (-59.5814051 13.1848191,-59.5814391 13.1847087)",primary,,Highway 2,,H2,asphalt,,yes,,
"LINESTRING (-59.5815355 13.1848723,-59.581523 13.1849013,-59.5814989 13.1849221,-59.5814678 13.1849307,-59.581436 13.1849253,-59.5814098 13.184907,-59.5813943 13.1848795,-59.5813926 13.1848481,-59.5814051 13.1848191,-59.5814292 13.1847983,-59.5814603 13.1847897,-59.5814921 13.1847951,-59.5815183 13.1848134,-59.5815338 13.184841,-59.5815355 13.1848723)",primary,,,,,,,yes,,
"LINESTRING (-59.5815338 13.184841,-59.5816134 13.18494)",unclassified,,Lion Castle,,,,,yes,,
"LINESTRING (-59.5816134 13.18494,-59.5814989 13.1849221)",unclassified,,Lion Castle,,,,,yes,,
"LINESTRING (-59.5813435 13.1849461,-59.5813943 13.1848795)",primary,,Highway 2,60,H2,,,yes,,
"LINESTRING (-59.581436 13.1849253,-59.5813435 13.1849461)",primary,,Highway 2,60,H2,,,yes,,
"LINESTRING (-59.5798175 13.1850916,-59.5798158 13.1838731)",residential,,,,,,,,,
"LINESTRING (-59.5800376 13.1850107,-59.5800599 13.1843639)",residential,,,,,,,,,
"LINESTRING (-59.5794092 13.1839434,-59.5793658 13.1852786)",residential,yes,,,,,,,,
"LINESTRING (-59.5813617 13.185376,-59.5810011 13.1853226)",service,,,,,,,,,
"LINESTRING (-59.577755 13.1853783,-59.5786054 13.1853844,-59.5787513 13.1853822,-59.5788822 13.1853801,-59.5790961 13.1853584,-59.5793658 13.1852786,-59.5796271 13.1851694,-59.5798175 13.1850916,-59.579975 13.1850273,-59.5800376 13.1850107,-59.5801249 13.1849927,-59.5803481 13.1849875,-59.5807131 13.1849858,-59.5810594 13.1849768,-59.5812473 13.1849626,-59.5813435 13.1849461)",primary,,Highway 2,60,H2,,,,,
"LINESTRING (-59.5786685 13.1836954,-59.5783857 13.1837554,-59.5780253 13.1837576,-59.5778098 13.1837687)",residential,,,,,,,,,
"LINESTRING (-59.5778624 13.1838737,-59.5778588 13.1838153,-59.5778098 13.1837687,-59.5773536 13.183762,-59.5772841 13.1837265,-59.5772519 13.1836709)",residential,,Bryan Road,,,asphalt,,no,,
"LINESTRING (-59.577755 13.1853783,-59.577749 13.1848184,-59.5777933 13.1844111,-59.5778624 13.1838737)",residential,,Bryan Road,,,asphalt,,no,,
"LINESTRING (-59.5787513 13.1853822,-59.578774 13.1847597)",residential,,,,,,,,,
"LINESTRING (-59.576833 13.1854347,-59.5768697 13.1854173,-59.577755 13.1853783)",primary,,Highway 2,60,H2,,,,,
"LINESTRING (-59.5571621 13.1223401,-59.5571121 13.1224464,-59.5569594 13.125247,-59.5563529 13.1291538)",residential,yes,,,,,,,,
"LINESTRING (-59.5575485 13.1367902,-59.5574704 13.1368023,-59.5569748 13.1368079,-59.5568532 13.1368103,-59.5565734 13.1368158,-59.556174 13.1368119,-59.5561198 13.136814)",residential,,Taylor Road,,,,,,,
"LINESTRING (-59.5600713 13.1313949,-59.5599269 13.1315081,-59.5597192 13.1316553,-59.5596462 13.1317295,-59.5595892 13.1318113,-59.5594628 13.1320472,-59.5593626 13.1321873,-59.5592397 13.1323063,-59.5590552 13.1324891,-59.5588926 13.1326266,-59.5587703 13.1327358,-59.5583984 13.1330643,-59.5581754 13.1332508,-59.5580696 13.1333342,-59.5578478 13.133509,-59.5575441 13.1337218,-59.5573168 13.1338611,-59.5572143 13.1339225,-59.5571411 13.1339701,-59.5567363 13.134215,-59.5566818 13.1342806,-59.5566416 13.1343421,-59.5566068 13.1344856,-59.5563624 13.135766,-59.5561773 13.1366849,-59.5561198 13.136814,-59.5560559 13.1368514,-59.5558359 13.1368852)",residential,,Walkers Road,,,,,,,
"LINESTRING (-59.5568487 13.1381448,-59.5567186 13.1380576,-59.5566392 13.1380181,-59.5565987 13.1380066,-59.5565345 13.1380016,-59.5560834 13.138001)",residential,,,,,,,,,
"LINESTRING (-59.5587266 13.1391241,-59.5586177 13.1390291,-59.5585486 13.1390021,-59.5584497 13.1389866,-59.5583215 13.1389793,-59.5581836 13.1389642,-59.5580569 13.1389198,-59.557882 13.138817,-59.5578015 13.1387845,-59.557675 13.138775,-59.557356 13.1388032,-59.5572158 13.1388027,-59.5570176 13.1387643,-59.5567845 13.1387092,-59.5563766 13.1386957)",residential,yes,,,,,,,,
"LINESTRING (-59.5559328 13.1397743,-59.5560198 13.1391046,-59.5560523 13.1386673,-59.5560834 13.138001,-59.555976 13.1380024,-59.555908 13.1379903,-59.5558615 13.1379658,-59.5558331 13.137929,-59.55582 13.1378488,-59.5558039 13.1375222,-59.5558158 13.1374623,-59.5558478 13.1374151,-59.5558663 13.1373546,-59.5558359 13.1368852)",residential,yes,,,,,,,,
"LINESTRING (-59.5551078 13.143299,-59.5551373 13.1434675,-59.5551212 13.1436177,-59.555057 13.1437194,-59.554961 13.143752,-59.5548382 13.1437585,-59.5547131 13.1437303,-59.5542419 13.1434083)",residential,,,,,,,,,
"LINESTRING (-59.5565012 13.1436686,-59.5571281 13.1436197,-59.5577415 13.1436185,-59.5584647 13.1436713,-59.5588531 13.143688,-59.5588971 13.1436771,-59.5589541 13.1436412,-59.5590533 13.1435361,-59.559115 13.1434512,-59.5591573 13.1433578,-59.5591506 13.1433075,-59.5591123 13.143267,-59.5588958 13.1431306,-59.5587268 13.1430424,-59.5584311 13.1429438,-59.5582369 13.1428943,-59.557953 13.1428527,-59.5576537 13.1427956,-59.5574443 13.1427751,-59.5571532 13.1427584,-59.5569494 13.142748,-59.5566495 13.142723,-59.5564881 13.1427062,-59.5563658 13.142657,-59.5562702 13.1425883,-59.5561404 13.1424461,-59.555898 13.1422569,-59.5556538 13.1420969,-59.5555255 13.1420502,-59.5554031 13.142012)",residential,,Fusiller Road,,,,,yes,,
"LINESTRING (-59.5565079 13.1443229,-59.5565012 13.1436686)",residential,,Fusiller Road,,,,,,,
"LINESTRING (-59.5541487 13.1448064,-59.5540558 13.1458967)",residential,yes,,,,,,,,
"LINESTRING (-59.5547946 13.1452319,-59.5546832 13.1459463)",residential,,,,,,,,,
"LINESTRING (-59.5565012 13.1436686,-59.556284 13.1436712,-59.55606 13.1437196,-59.5558923 13.1438058,-59.555608 13.1441009,-59.5553412 13.1444039,-59.5552097 13.1445684,-59.5551333 13.1447526,-59.5550783 13.1450752,-59.5550099 13.1459632)",residential,,Fusilier Road,,,,,,,
"LINESTRING (-59.556545 13.1478331,-59.5555251 13.1478283)",residential,yes,,,,,,,,
"LINESTRING (-59.5539933 13.1490141,-59.5539933 13.1493263)",residential,,,,,,,,,
"LINESTRING (-59.5546345 13.1489621,-59.5546293 13.14932)",residential,,,,,,,,,
"LINESTRING (-59.555816 13.1459711,-59.5558113 13.146115,-59.5557954 13.1463225,-59.5557591 13.1464208,-59.5557258 13.1464656,-59.5556649 13.1465309,-59.5555536 13.1466527,-59.555526 13.1467749,-59.5555125 13.1469092,-59.5555078 13.1471503,-59.5555251 13.1478283,-59.5554864 13.1492483)",residential,,1st Avenue Lower Newbury,40,,,,,,
"LINESTRING (-59.5567051 13.1493082,-59.5567087 13.148984,-59.5566968 13.1486242,-59.5566707 13.1484202,-59.5566427 13.1483256,-59.5565651 13.1481222,-59.556545 13.1478331,-59.5565677 13.1467768,-59.5565876 13.145849)",residential,,2nd Avenue Lower Newbury,,,,,,,
"LINESTRING (-59.5567226 13.150882,-59.5564735 13.1508298,-59.5561653 13.1507297)",service,,,,,,,,,
"LINESTRING (-59.5564169 13.1510143,-59.5554862 13.1510628,-59.5552535 13.1510471)",residential,yes,,,,,,,,
"LINESTRING (-59.5554862 13.1510628,-59.5553926 13.1514774,-59.5553809 13.1515701,-59.555416 13.151637)",residential,yes,,,,,,,,
"LINESTRING (-59.555416 13.151637,-59.5554731 13.1516527,-59.5556327 13.1516443,-59.5560602 13.1516451,-59.5561462 13.1516057,-59.5563979 13.1515544,-59.5567296 13.1515023)",residential,yes,,,,,,,,
"LINESTRING (-59.5560602 13.1516451,-59.5560699 13.151946)",residential,yes,,,,,,,,
"LINESTRING (-59.5554238 13.1522717,-59.5562077 13.1522552,-59.5562792 13.1522674)",residential,yes,,,,,,,,
"LINESTRING (-59.5562792 13.1522674,-59.5563434 13.1523205,-59.5563648 13.1524133,-59.5563496 13.1527528)",residential,yes,,,,,,,,
"LINESTRING (-59.555458 13.1528125,-59.5562921 13.1528033,-59.5563278 13.1527903,-59.5563496 13.1527528)",residential,,,,,,,,,
"LINESTRING (-59.5553969 13.1519482,-59.5554238 13.1522717,-59.555458 13.1528125,-59.5554763 13.1531025)",residential,yes,,,,,,,,
"LINESTRING (-59.5563909 13.1535221,-59.5564154 13.1532655,-59.5564646 13.1531567,-59.5565718 13.1530747,-59.5566773 13.152999,-59.5566986 13.1529509,-59.5567209 13.1519482)",residential,yes,,,,,,,,
"LINESTRING (-59.5594834 13.1333432,-59.5592109 13.1335227,-59.5590907 13.1335826,-59.5588877 13.1336034,-59.5582705 13.1334863,-59.5581557 13.1334161,-59.5580696 13.1333342)",service,,,,,,,,,
"LINESTRING (-59.5571411 13.1339701,-59.5574843 13.1344958,-59.5575563 13.1346129,-59.5575935 13.13473,-59.5575797 13.1349145)",residential,yes,,,,,,,,
"LINESTRING (-59.5574843 13.1344958,-59.55719 13.1346605,-59.557153 13.1346992,-59.557129 13.1347413,-59.5570459 13.1350291)",residential,yes,,,,,,,,
"LINESTRING (-59.5593315 13.1362223,-59.5590865 13.136102,-59.5587582 13.1360498,-59.5584098 13.1360259,-59.5583249 13.1360846,-59.5582758 13.1362412,-59.5582557 13.1364609)",residential,,,,,,,,,
"LINESTRING (-59.5568532 13.1368103,-59.5568643 13.1375418)",residential,,,,,,,,,
"LINESTRING (-59.5604928 13.1356915,-59.5603231 13.1357456,-59.5601916 13.1357899,-59.5600599 13.135826,-59.5599887 13.1358456,-59.5598477 13.1358282,-59.5596921 13.1357773,-59.5595658 13.1357166,-59.5594617 13.1356423,-59.5594371 13.1356247,-59.5592718 13.1355505,-59.5590749 13.1354876,-59.5588373 13.1354397,-59.5586398 13.1354058,-59.5584245 13.1353764,-59.5582613 13.135368,-59.5581034 13.1353942,-59.5579444 13.1355056,-59.5578342 13.1356543,-59.5577904 13.1358543,-59.5576969 13.1363492,-59.5576282 13.1366713,-59.5575905 13.1367546,-59.5575485 13.1367902)",residential,,2nd Avenue,,,,,,,
"LINESTRING (-59.5566024 13.1377343,-59.5565987 13.1380066)",residential,,,,,,,,,
"LINESTRING (-59.5584492 13.137099,-59.5591974 13.1372137,-59.559779 13.1372964,-59.5599725 13.1374102,-59.5601695 13.1375601)",residential,yes,,,,,,,,
"LINESTRING (-59.5582343 13.137705,-59.5590524 13.1378202,-59.5590971 13.1378104)",residential,yes,,,,,,,,
"LINESTRING (-59.5588607 13.1384138,-59.5585316 13.1383737,-59.5581937 13.1383269)",residential,yes,,,,,,,,
"LINESTRING (-59.5584497 13.1389866,-59.5585316 13.1383737)",residential,yes,,,,,,,,
"LINESTRING (-59.557882 13.138817,-59.5578566 13.1393995,-59.5578357 13.1397522,-59.5578544 13.1398714)",residential,yes,,,,,,,,
"LINESTRING (-59.5624699 13.1406282,-59.5623342 13.1405678,-59.5621263 13.1404962,-59.5618441 13.1404387,-59.5613627 13.1403327,-59.5610022 13.1402544,-59.5606818 13.140187,-59.5602975 13.1400939,-59.5599938 13.1400295,-59.5595524 13.1399187,-59.5594824 13.1398988,-59.5590866 13.1397864,-59.5587324 13.1396788,-59.5583464 13.1395582)",unclassified,yes,,,,,,,,
"LINESTRING (-59.5588336 13.1414816,-59.5585417 13.1412578,-59.5581901 13.1406581,-59.5581867 13.1403528,-59.558158 13.1402239,-59.5580683 13.1401478,-59.5578202 13.1399867,-59.5577867 13.1398915)",residential,,Woodale,40,,,,,,
"LINESTRING (-59.5589541 13.1436412,-59.5594214 13.1436196,-59.5598815 13.1436368,-59.560246 13.1436575,-59.5604973 13.1436747)",track,,,,,unpaved,,,,
"LINESTRING (-59.5584647 13.1436713,-59.5582775 13.1448437,-59.5581477 13.1454928)",track,,,,,,,,,
"LINESTRING (-59.5574132 13.1467554,-59.5569442 13.1468119,-59.5566539 13.1467945,-59.5565677 13.1467768)",residential,,,,,,,,,
"LINESTRING (-59.5567051 13.1493082,-59.5574181 13.1492791)",residential,yes,,,,,,,,
"LINESTRING (-59.5567209 13.1519482,-59.5567262 13.1518561,-59.5567296 13.1515023,-59.5567226 13.150882,-59.5567051 13.1493082)",residential,,Bridge Cot Terrace S,,,,,,,
"LINESTRING (-59.557842 13.1515203,-59.5578688 13.1519682)",residential,,,,,,,,,
"LINESTRING (-59.5585477 13.1519269,-59.5579871 13.1519269,-59.5578688 13.1519682,-59.5577699 13.1520476)",residential,,,,,,,,,
"LINESTRING (-59.5590167 13.1522705,-59.5578313 13.1522684)",residential,,,,,,,,,
"LINESTRING (-59.5578361 13.1526989,-59.557105 13.1526794)",residential,,,,,,,,,
"LINESTRING (-59.5578373 13.1528114,-59.5594038 13.1527628)",residential,yes,,,,,,,,
"LINESTRING (-59.5578473 13.1530054,-59.5592361 13.1529138)",residential,yes,,,,,,,,
"LINESTRING (-59.5578581 13.1541864,-59.5568705 13.1541604)",residential,,,,,,,,,
"LINESTRING (-59.5578062 13.1520705,-59.5578299 13.1521388,-59.5578313 13.1522684,-59.5578361 13.1526989,-59.5578373 13.1528114,-59.5578473 13.1530054,-59.5578527 13.1536525,-59.5578581 13.1541864,-59.5578621 13.1545812,-59.5577916 13.1555341,-59.5577795 13.1558935,-59.5577949 13.1560795,-59.5578104 13.1563287,-59.5578265 13.1569231)",residential,,Groves,40,,,KG Ground Survey 2015,,,
"LINESTRING (-59.5945626 13.1259755,-59.5941502 13.1258916)",residential,,,,,,,yes,,
