WKT,highway,noname,name,maxspeed,ref,surface,source_1,oneway,service,lanes
"LINESTRING (-59.4992995 13.1279409,-59.4991156 13.1278761,-59.4987857 13.1277873,-59.4985104 13.1277298)",residential,,,,,,,,,
"LINESTRING (-59.498507 13.1288858,-59.4988835 13.1289401,-59.4992274 13.1289573,-59.4995536 13.1289991,-59.4998769 13.129046,-59.499957 13.1290576,-59.5003261 13.1291161,-59.5005038 13.129176)",residential,yes,,,,,,,,
"LINESTRING (-59.5004983 13.1329831,-59.5004634 13.1328637,-59.5004376 13.1326714,-59.5004376 13.1325126,-59.5004376 13.1321783,-59.5004977 13.1310331,-59.500532 13.1306068,-59.5005664 13.130005,-59.5006007 13.1296289,-59.5005921 13.1294199,-59.5005855 13.12931,-59.5005835 13.1292778,-59.5005795 13.1292196,-59.5005038 13.129176)",track,yes,,,,,,,,
"LINESTRING (-59.4976556 13.1303149,-59.4979405 13.1328493)",track,yes,,,,,,,,
"LINESTRING (-59.4795004 13.1443026,-59.4799188 13.1441375,-59.4801454 13.1440892,-59.4804418 13.1440761,-59.4807047 13.1440996,-59.481221 13.1441636,-59.4814999 13.1441871,-59.4816595 13.1441675,-59.481803 13.1441127,-59.4822308 13.1438789,-59.4828451 13.1435524,-59.4836859 13.1431306,-59.4842425 13.1428628,-59.4847655 13.1426056,-59.4851893 13.1423875,-59.4852631 13.1423209,-59.485314 13.1422334,-59.4853476 13.1420714,-59.4854347 13.1416966,-59.4855072 13.1415608,-59.4856158 13.1414289,-59.4857834 13.1413335,-59.4859886 13.1412852,-59.4863588 13.1412852,-59.486521 13.1412748,-59.4867195 13.1412147,-59.4869891 13.1410802,-59.487142 13.140994,-59.4875081 13.1407981,-59.4877253 13.1406623,-59.4878192 13.1405787,-59.4878916 13.1404925,-59.4879279 13.140435,-59.4879587 13.1402809,-59.4879936 13.1401007,-59.4880566 13.1398055,-59.4882564 13.1392622,-59.4883181 13.1389736,-59.4883905 13.1385283,-59.4884281 13.1383585,-59.4885233 13.1381822,-59.4886681 13.1380229,-59.4889324 13.1378059,-59.4891617 13.1377172,-59.4893897 13.1375997,-59.4895613 13.1374391,-59.4896378 13.1372941,-59.4896606 13.1371439,-59.4896834 13.1369023,-59.4896981 13.1367861,-59.4897357 13.1367168,-59.4897987 13.1366254,-59.4899623 13.1365066,-59.490292 13.1362799,-59.4908156 13.1359957,-59.4913495 13.1357003,-59.4917381 13.1354364,-59.4918584 13.1353377,-59.4921741 13.1350067,-59.4922582 13.1349056,-59.4924469 13.1346788,-59.492927 13.1342237,-59.493339 13.1338225,-59.4939398 13.1332625,-59.4943604 13.1328529,-59.4945952 13.1326675,-59.4948582 13.1324099,-59.4952873 13.1319669,-59.4957337 13.1315824,-59.4961542 13.1313316,-59.4966606 13.1310307,-59.4972008 13.1306708,-59.4975613 13.1304284,-59.4976556 13.1303149,-59.4977072 13.1302528,-59.4979475 13.1298265,-59.4982222 13.1293334,-59.498507 13.1288858,-59.4988436 13.1284273,-59.4991652 13.1280823,-59.4992995 13.1279409,-59.4994187 13.1278709,-59.499536 13.127821,-59.499905 13.1277541,-59.5002729 13.1277442,-59.5004715 13.1277457,-59.5006145 13.1277546,-59.5010122 13.1277792,-59.5015873 13.1278042,-59.5021199 13.1278487,-59.5021881 13.1278544,-59.5027632 13.1279046,-59.5033383 13.127938,-59.5040163 13.1279463,-59.5044809 13.1279933,-59.5047432 13.1280687,-59.5049475 13.1281585,-59.5053252 13.128279,-59.505521 13.1282764,-59.5056819 13.1282085,-59.5058228 13.1280635,-59.5058871 13.1279081,-59.5059663 13.1275528,-59.5060896 13.1270931,-59.5062331 13.1265733,-59.5063726 13.1260169,-59.5064799 13.125565,-59.5067079 13.1248571,-59.5068702 13.1245358,-59.5070807 13.1242341,-59.5073945 13.1239938,-59.5077325 13.1238397,-59.5081375 13.1236177,-59.5085908 13.1234844,-59.5087464 13.1234191,-59.5088644 13.1232807,-59.508918 13.1231266,-59.5090843 13.1223821,-59.5091138 13.1221784,-59.5091488 13.1220287,-59.509197 13.1218362,-59.5094076 13.1207176,-59.5094667 13.1204331)",primary,,Highway 4B,60,H4B,asphalt,,,,2
"LINESTRING (-59.4978252 13.1377983,-59.4980095 13.1378705,-59.498067 13.1379917,-59.4980722 13.1380253,-59.4980708 13.1380557,-59.4980587 13.1380772,-59.4980359 13.1381008,-59.4975158 13.1383466)",residential,yes,,,,,,,,
"LINESTRING (-59.4977048 13.1388216,-59.4983518 13.1385111)",residential,,,,,,,,,
"LINESTRING (-59.4983951 13.1393724,-59.4983274 13.1392273,-59.4982362 13.1391534,-59.4982266 13.1391456,-59.4980184 13.1390804,-59.4978365 13.1389941,-59.4977048 13.1388216,-59.4975995 13.1386538,-59.4974908 13.1384211)",residential,yes,,,,,,,,
"LINESTRING (-59.4985364 13.1389845,-59.498423 13.1390669,-59.498318 13.139113,-59.4982362 13.1391534)",residential,yes,,,,,,,,
"LINESTRING (-59.4974412 13.1384201,-59.4974275 13.1384102,-59.4974175 13.1383967,-59.4974122 13.1383807,-59.4974122 13.1383639,-59.4974174 13.1383479,-59.4974275 13.1383343,-59.4974413 13.1383244,-59.4974576 13.138319,-59.4974748 13.1383188,-59.4974913 13.1383237,-59.4975054 13.1383333,-59.4975158 13.1383466,-59.4975217 13.1383631,-59.4975218 13.1383805,-59.4975162 13.1383971,-59.4975055 13.1384111,-59.4974908 13.1384211,-59.4974744 13.1384258,-59.4974573 13.1384255,-59.4974412 13.1384201)",residential,yes,,,,,,,,
