WKT,highway,name,surface,maxspeed,service,lit,oneway,access,foot,lcn,ref,bicycle,est_width,sidewalk,is_in,is_in:county,segregated,lanes,is_in:city,cycleway,addr:postcode,motor_vehicle,layer,bridge,tracktype,traffic_calming,path,abutters
"LINESTRING (-1.2044303 52.9356859,-1.2047398 52.9355044,-1.204778 52.9354719,-1.204775 52.9354385,-1.2047401 52.935404,-1.2046475 52.9353587,-1.2046264 52.9353585,-1.204564 52.9353578,-1.2045048 52.9353847,-1.2044451 52.9354841,-1.2044321 52.9355058,-1.2044181 52.9356014,-1.2044303 52.9356859,-1.2044413 52.9357621,-1.2044772 52.9358799,-1.2044898 52.9359058,-1.2045241 52.9359608,-1.2045315 52.9359737,-1.2045906 52.9360364,-1.2046564 52.9360926,-1.2047301 52.9361471,-1.2049 52.9362715,-1.2049771 52.9363234,-1.2050786 52.9363648,-1.2051384 52.9363978,-1.2051945 52.9364287,-1.2052247 52.9364492,-1.2052877 52.9364918,-1.2054578 52.9366627,-1.2055391 52.9367444,-1.2056037 52.9367915,-1.2056404 52.9368089,-1.2057039 52.9368304,-1.20579 52.9368523,-1.2058545 52.9368585,-1.2059783 52.9368668,-1.2060983 52.9368441,-1.2061407 52.9368315,-1.206202 52.9368132,-1.2063002 52.9367709,-1.2063808 52.9367207,-1.2065727 52.9365427,-1.2067208 52.9364013,-1.206808 52.9363466,-1.2068616 52.9363232,-1.2069389 52.9363111,-1.2069883 52.9363177,-1.2070248 52.9363388,-1.2071324 52.936402,-1.207384 52.93655,-1.2074495 52.936569,-1.2075127 52.9365694,-1.2076031 52.9365556,-1.2077574 52.9364704,-1.2078551 52.9364165,-1.2078753 52.9364053,-1.2079658 52.9363553,-1.2082326 52.9362222,-1.2083195 52.9361788,-1.2084775 52.9360382)",service,,,,,,,,permissive,,,permissive,,,"Nottingham,Nottinghamshire,United Kingdom",Nottinghamshire,,,Nottingham,,,destination,,,,,,
"LINESTRING (-1.2087899 52.9380134,-1.2087253 52.9380676,-1.2086518 52.9381621)",service,Tenants Hall Close,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.2087477 52.9352418,-1.2086705 52.9353649)",primary_link,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1966909 52.9446161,-1.1965539 52.9444557,-1.1964619 52.9443375,-1.1963576 52.9441546,-1.1963061 52.9440575,-1.1962421 52.9438763,-1.1961988 52.9437537,-1.196184 52.9435398,-1.1961802 52.9434679,-1.1961695 52.9432689,-1.1961209 52.9431179)",unclassified,Lenton Hall Drive,asphalt,20 mph,,,,,permissive,,,permissive,,,,,,,,,,destination,,,,,,
"LINESTRING (-1.1999871 52.9433344,-1.1995731 52.9435223,-1.199385 52.9436277,-1.1991691 52.9437176,-1.198968 52.9438014)",service,,,,,,,,permissive,,,permissive,,,,,,,,,,destination,,,,,,
"LINESTRING (-1.2000956 52.9432809,-1.1997843 52.9430604)",service,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1569845 52.9760935,-1.1569964 52.9761362,-1.1570245 52.976154)",service,,,,,,,private,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1571859 52.9751689,-1.1572096 52.9752463)",residential,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1572041 52.9771727,-1.1570083 52.9771888)",service,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.156995 52.9756969,-1.1569432 52.975511,-1.1572442 52.9754813)",residential,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1573624 52.977163,-1.1572713 52.9768129,-1.1572208 52.9767804,-1.1571869 52.9767676)",residential,Watermark Close,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1575751 52.9771839,-1.157475 52.9771856,-1.1574214 52.9771759,-1.1573624 52.977163,-1.1572041 52.9771727)",residential,Watermark Close,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1571577 52.9739052,-1.1574082 52.9742248,-1.1575305 52.9743786,-1.1576457 52.9745308)",residential,Erskine Road,asphalt,20 mph,,yes,,,,,,,,both,,,,,,,,,,,,yes,,
