WKT,highway,name,surface,maxspeed,service,lit,oneway,access,foot,lcn,ref,bicycle,est_width,sidewalk,is_in,is_in:county,segregated,lanes,is_in:city,cycleway,addr:postcode,motor_vehicle,layer,bridge,tracktype,traffic_calming,path,abutters
"LINESTRING (-1.1418649 52.9498632,-1.1419269 52.9499454,-1.1418332 52.9499714)",service,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1428659 52.9498954,-1.1427263 52.9499269)",service,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1320994 52.950138,-1.1319832 52.9503735,-1.1318772 52.9505987)",residential,Manor Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1309648 52.9487269,-1.1310842 52.9487264,-1.1311939 52.9487354,-1.1313345 52.9487511,-1.1317308 52.9488283,-1.1320519 52.9489038,-1.1321354 52.9489234,-1.1321956 52.9489352,-1.1323665 52.9489688,-1.1324618 52.948985,-1.1325306 52.9489902,-1.1326067 52.9489918,-1.1326446 52.9489926)",tertiary,Sneinton Hermitage,asphalt,30 mph,,yes,,,,yes,,,,,,,,2,,,,,,,,,,
"LINESTRING (-1.13261 52.9503381,-1.1325276 52.9504963,-1.1324175 52.9507086)",residential,Newark Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1326431 52.9507567,-1.1320866 52.951858)",residential,Notintone Street,,20 mph,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1326593 52.9492554,-1.1329593 52.9493699,-1.1328933 52.949417,-1.1327616 52.9494787,-1.1326519 52.9495125,-1.1325129 52.9495316,-1.1324422 52.9495536,-1.1323227 52.9495977,-1.1322225 52.949648)",residential,Newark Crescent,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1331164 52.9505063,-1.1329341 52.9508188)",residential,Aubrey Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1331798 52.9489256,-1.1330644 52.9489498,-1.1330199 52.9489548,-1.1329169 52.9489708,-1.1326446 52.9489926)",tertiary,Sneinton Hermitage,,30 mph,,,yes,,,,,,,,,,,2,,,,,,,,,,
"LINESTRING (-1.1334286 52.9505647,-1.1333227 52.9504659,-1.1332018 52.9503652,-1.1329608 52.9501673,-1.1327211 52.9499951,-1.1325443 52.9498552,-1.1323953 52.9497617,-1.1322225 52.949648,-1.1320723 52.9495343,-1.131901 52.9493678,-1.1317954 52.949279,-1.1317202 52.9492497,-1.1316248 52.9492449,-1.1314432 52.9493225,-1.1316318 52.9494806)",residential,Newark Crescent,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1334413 52.9509271,-1.1334942 52.950796,-1.1334823 52.950683,-1.1334286 52.9505647)",residential,Newark Crescent,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1338723 52.9500807,-1.1334286 52.9505647)",residential,Newark Crescent,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1337843 52.9513257,-1.1338959 52.9510929,-1.1339355 52.9510326)",service,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1341721 52.950175,-1.1341412 52.9501803,-1.1340765 52.9501795,-1.1340223 52.9501771)",service,,paved,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1343193 52.950144,-1.1342019 52.9501699,-1.1341721 52.950175)",service,,paved,,,,,,yes,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (-1.1340014 52.951744,-1.1342541 52.951225,-1.1342999 52.9511128,-1.1345419 52.9506094,-1.1345743 52.9505737,-1.1345964 52.9505529,-1.1346238 52.9505271,-1.1346615 52.9504768)",residential,Lower Eldon Street,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1350952 52.9512738,-1.1349285 52.9512423,-1.1347715 52.9512086,-1.1342999 52.9511128,-1.1339355 52.9510326,-1.1334413 52.9509271,-1.1329341 52.9508188)",residential,Newark Street,,,,,,,,,,,,,,,,,,,,,,,,speed_bumps,,
"LINESTRING (-1.1327635 52.9488379,-1.1322531 52.9487548,-1.1321317 52.948756,-1.1320891 52.948835,-1.1320519 52.9489038)",service,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1326446 52.9489926,-1.1328957 52.9489193,-1.1329874 52.9488995,-1.1330384 52.9488887)",tertiary,Sneinton Hermitage,asphalt,30 mph,,yes,yes,,,yes,,,,,,,,2,,,,,,,,,,
"LINESTRING (-1.1329593 52.9493699,-1.1331208 52.9494533,-1.1332028 52.9495638,-1.1332527 52.9496406,-1.1333216 52.9496779,-1.1337984 52.9498468,-1.134068 52.9500872,-1.1341407 52.9501548,-1.1341721 52.950175)",footway,,asphalt,,,,,,yes,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (-1.133896 52.9496347,-1.1339174 52.9496593,-1.1339839 52.9497408,-1.1340622 52.9498887)",primary,Manvers Street,asphalt,30 mph,,yes,yes,,,yes,A612,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1340622 52.9498887,-1.1339914 52.949838,-1.1338771 52.9497562,-1.1337296 52.9495951,-1.1336764 52.9495386,-1.1336478 52.9495073)",primary,Manvers Street,asphalt,40 mph,,yes,yes,,,yes,A612,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1338771 52.9494282,-1.1337538 52.949468,-1.1336988 52.9494856,-1.1337334 52.9495208,-1.1337108 52.9495288,-1.1336764 52.9495386)",cycleway,,asphalt,,,yes,,,,,,yes,1.75,,,,no,,,,,,,,,,,
"LINESTRING (-1.1339234 52.9494778,-1.1339013 52.949509,-1.1338959 52.9495655,-1.133896 52.9496347)",unclassified,City Link,,,,,yes,,,yes,,,,,,,,2,,,,,,,,,,
"LINESTRING (-1.1339666 52.9495677,-1.1339899 52.9495188)",footway,,,,,,,,yes,,,yes,,,,,no,,,,,,,,,,,
"LINESTRING (-1.1339234 52.9494778,-1.1339899 52.9495188)",footway,,,,,,,,,,,yes,,,,,no,,,,,,,,,,,
"LINESTRING (-1.133569 52.9492508,-1.1336766 52.9493753,-1.1337182 52.9494252,-1.1337538 52.949468,-1.133816 52.9495427,-1.133896 52.9496347)",primary,Manvers Street,,30 mph,,,yes,,,,A612,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1341373 52.9493655,-1.1339816 52.9493722,-1.1339057 52.9493795,-1.1338441 52.9493933,-1.1337601 52.9494157,-1.1337182 52.9494252,-1.1336411 52.9494298,-1.1335605 52.9494101)",unclassified,City Link,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.133836 52.9492694,-1.1338265 52.9493144,-1.1338128 52.9493603,-1.1338441 52.9493933,-1.1338771 52.9494282,-1.1339234 52.9494778)",cycleway,,asphalt,,,yes,,,,,,yes,1.75,,,,no,,,,,,,,,,,
"LINESTRING (-1.133569 52.9492508,-1.1336974 52.9492973,-1.133755 52.9493046,-1.1338101 52.9493118,-1.1338265 52.9493144,-1.1339657 52.949336,-1.1341373 52.9493655)",unclassified,City Link,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1341373 52.9493655,-1.1339771 52.9494385,-1.1339576 52.9494492,-1.1339234 52.9494778)",unclassified,City Link,,,,,yes,,,,,,,,,,,2,,,,,,,,,,
"LINESTRING (-1.1342553 52.949315,-1.134244 52.9493657)",service,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1326067 52.9489918,-1.1326058 52.9490054,-1.1326058 52.949035,-1.1326058 52.949071,-1.1326289 52.9491173,-1.1330664 52.9492622,-1.133208 52.9493234,-1.133399 52.9494216,-1.1335311 52.9494955,-1.1336188 52.9495574,-1.1336764 52.9495386)",cycleway,,asphalt,,,yes,,,,,,,1.75,,,,yes,,,,,,,,,,,
"LINESTRING (-1.1336478 52.9495073,-1.1335741 52.9494265,-1.1335605 52.9494101,-1.133389 52.9492019,-1.1332969 52.949083,-1.1332397 52.9490048,-1.1331798 52.9489256)",primary,Manvers Street,,40 mph,,,yes,,,,A612,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1334015 52.9490073,-1.133515 52.949189,-1.133569 52.9492508)",primary,Manvers Street,,30 mph,,,yes,,,,A612,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1333684 52.948937,-1.1333858 52.948974,-1.1334015 52.9490073)",primary,Manvers Street,asphalt,30 mph,,,yes,,,,A612,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1330615 52.9489819,-1.1330199 52.9489548,-1.1329994 52.9489177,-1.1329874 52.9488995,-1.1329813 52.9488658)",cycleway,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1329813 52.9488658,-1.1330129 52.9488476,-1.1330349 52.9488205,-1.1330096 52.9487818)",cycleway,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1330384 52.9488887,-1.1330671 52.9488512,-1.1331089 52.9487974)",tertiary,Sneinton Hermitage,asphalt,,,yes,yes,,,yes,,,,,,,,1,,,,,,,,,,
"LINESTRING (-1.1333476 52.9488929,-1.1331798 52.9489256)",tertiary,Sneinton Hermitage,,,,,yes,,,,,,,,,,,2,,,,,,,,,,
"LINESTRING (-1.1331798 52.9489256,-1.1331607 52.948891,-1.1331459 52.9488663,-1.1331089 52.9487974)",primary,Manvers Street,,40 mph,,,yes,,,,A612,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1330384 52.9488887,-1.1331459 52.9488663,-1.1333163 52.9488264)",tertiary,Sneinton Hermitage,,,,,yes,,,,,,,,,,,1,,,,,,,,,,
"LINESTRING (-1.1333163 52.9488264,-1.1333476 52.9488929,-1.1333684 52.948937)",primary,Manvers Street,,30 mph,,,yes,,,,A612,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1335623 52.9487937,-1.1335255 52.9488352,-1.1334678 52.9488637,-1.1333476 52.9488929)",unclassified,Sneinton Hermitage,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1333163 52.9488264,-1.1334298 52.9488069,-1.1334721 52.9488027,-1.1335623 52.9487937)",unclassified,Sneinton Hermitage,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.133836 52.9492694,-1.1337341 52.9492421,-1.1336786 52.9492239,-1.1336329 52.9491716,-1.1335459 52.9490323,-1.1335196 52.9489786,-1.1335059 52.9489498,-1.1334743 52.9488998)",cycleway,,,,,,,,yes,,,,4,,,,no,,,,,,,,,,,
"LINESTRING (-1.1338315 52.9488383,-1.1336787 52.9489886,-1.1336974 52.9490759,-1.1337645 52.9491227,-1.1340028 52.9492156,-1.1340815 52.949243,-1.1341996 52.9492824,-1.1342368 52.9492951,-1.1342553 52.949315)",service,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1347699 52.9513321,-1.1342541 52.951225)",service,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1355239 52.9513477,-1.1353405 52.9513161,-1.1353113 52.9513103,-1.1350952 52.9512738)",residential,Newark Street,,,,,,,,,,,,,,,,,,,,,,,,speed_bumps,,
"LINESTRING (-1.1342828 52.9505549,-1.1345419 52.9506094)",service,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1340622 52.9498887,-1.1341446 52.9499767,-1.1343005 52.9501264,-1.1343193 52.950144,-1.1343505 52.9501734,-1.1346615 52.9504768,-1.1348358 52.950653,-1.1354145 52.9512534,-1.135428 52.9512675,-1.1355239 52.9513477)",primary,Manvers Street,asphalt,30 mph,,yes,,,,yes,A612,,,,,,,,,,,,,,,,,
"LINESTRING (-1.134703 52.9504155,-1.1346615 52.9504768)",path,,dirt,,,,,,,,,,,,,,,,,,,,,,,,desire,
"LINESTRING (-1.1346671 52.9494073,-1.1344326 52.9493846,-1.134278 52.9493671,-1.134244 52.9493657,-1.1341373 52.9493655)",unclassified,City Link,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1065261 52.9492719,-1.1065455 52.9492246,-1.1065449 52.9491858,-1.1065107 52.9491402,-1.1063575 52.9489869,-1.1060356 52.9485473,-1.1057781 52.9480173,-1.1056923 52.9475259,-1.1056385 52.9473137,-1.1056342 52.9472655,-1.1055645 52.9464848)",track,,,,,,,private,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1056342 52.9472655,-1.1057087 52.9472901,-1.1057771 52.9472974,-1.105871 52.9472853,-1.1063947 52.947103,-1.1069096 52.9469273,-1.1076137 52.9466937,-1.1081696 52.9465212,-1.1089072 52.9463527,-1.109276 52.9462642,-1.109608 52.9461879,-1.1099721 52.946118,-1.1102852 52.9460772,-1.1107841 52.946017,-1.1112749 52.945964)",track,,,,,,,private,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1142946 52.9498508,-1.1142525 52.9497693,-1.1142397 52.9497299,-1.1145214 52.94966,-1.114552 52.9496527,-1.1146478 52.9496298,-1.1147458 52.9496064,-1.114913 52.9495623,-1.1150438 52.9495287,-1.1152373 52.9494611,-1.1152956 52.9494197,-1.1153726 52.9493551,-1.1155547 52.949196,-1.1155696 52.9491206,-1.1155305 52.9490121,-1.1154401 52.9488639)",cycleway,,,,,,,,yes,,,,,,,,no,,,,,,,,,,,
"LINESTRING (-1.1137175 52.9489481,-1.113733 52.9489385,-1.1139009 52.9488344,-1.1140621 52.9487344,-1.1140822 52.9487219,-1.1142307 52.9486228,-1.1142807 52.9485894,-1.1143923 52.9485196,-1.1144256 52.9484989,-1.1145811 52.9484698,-1.1147957 52.9485667,-1.1151712 52.9487607,-1.1153482 52.9488318,-1.1154401 52.9488639,-1.1155529 52.9488802,-1.1156066 52.9488867)",service,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1156351 52.9498305,-1.1155603 52.9500316,-1.1154616 52.9504171,-1.1154614 52.9504942,-1.1154681 52.9505548,-1.1154797 52.950586)",tertiary,Racecourse Road,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1112749 52.945964,-1.111407 52.9459527,-1.1115365 52.9459487,-1.1119415 52.945941,-1.1124437 52.9459317,-1.1129446 52.945922,-1.1131619 52.945922,-1.1133215 52.9459305,-1.1134569 52.9459462,-1.1135843 52.9459733,-1.1137137 52.946017,-1.1138324 52.9460731,-1.1139531 52.9461612,-1.1140437 52.946257,-1.1141074 52.9463515,-1.1141508 52.9464501,-1.114169 52.9465091,-1.1141771 52.946564,-1.1141791 52.9466182,-1.1141751 52.9466651,-1.1141436 52.9467253,-1.1141033 52.9467806,-1.1140383 52.9468323,-1.1139732 52.9468764,-1.1138539 52.946939,-1.1137198 52.9470024,-1.1135602 52.9470618,-1.1133986 52.9471152,-1.1125684 52.9473786,-1.1121245 52.9475071,-1.1116739 52.9476404)",track,,,,,,,private,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1112498 52.9453082,-1.111617 52.9453128,-1.1123551 52.9453231,-1.1127958 52.9453444,-1.1128942 52.9453467,-1.1131209 52.9453561,-1.1138184 52.9453964,-1.1138522 52.9454028,-1.1139762 52.9454262,-1.1146752 52.9455842,-1.1151009 52.9457177,-1.1152319 52.945777,-1.1154637 52.9459477,-1.1155753 52.9461597,-1.1156868 52.9465373,-1.1157469 52.946739,-1.1157608 52.9469405,-1.1157329 52.9471654,-1.1156882 52.9480414,-1.1156299 52.9486164,-1.115617 52.9487756,-1.1156119 52.948835,-1.1156066 52.9488867,-1.1156051 52.9489676,-1.1156491 52.9491491)",unclassified,,asphalt,,,yes,,,,yes,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.117274 52.9460396,-1.1172572 52.9465186)",unclassified,Little Tennis Street,asphalt,,,yes,,,,yes,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1203864 52.9469164,-1.1204235 52.9461139)",service,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1208851 52.946824,-1.1209121 52.94628)",service,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1218389 52.9462713,-1.1220345 52.9462807,-1.1220845 52.9463194,-1.1220345 52.9468612)",service,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1232952 52.9466971,-1.1232752 52.9465981,-1.1232674 52.9464857,-1.1232741 52.9463512,-1.1232886 52.9461484)",unclassified,Trent Lane,asphalt,,,yes,,,,yes,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1240481 52.9465928,-1.1240149 52.9465349,-1.1239979 52.9465024,-1.1235542 52.9465824,-1.1235147 52.9465839,-1.1234844 52.94657,-1.1234645 52.9465343,-1.1234149 52.9464182,-1.1233949 52.9463527,-1.1232741 52.9463512)",service,,,,,,,private,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1247918 52.946469,-1.1247137 52.9463023)",service,,,,,,,destination,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1234402 52.9467031,-1.1236026 52.9466744,-1.1238961 52.9466208,-1.1240481 52.9465928,-1.1244394 52.9465262,-1.1247918 52.946469,-1.1250891 52.9464258,-1.1253298 52.9463986,-1.1256102 52.9463697,-1.1258813 52.9463406,-1.1264739 52.9462979,-1.1271086 52.9462709,-1.127584 52.946268,-1.1280398 52.9462704)",primary,Daleside Road,asphalt,40 mph,,,yes,,,,A612,,,,,,,2,,,,,,,,,,
"LINESTRING (-1.1296631 52.9465645,-1.1293358 52.9465031,-1.1292866 52.9464958,-1.1289423 52.9464501,-1.1288695 52.9464384,-1.1288005 52.9464274,-1.128678 52.9464152,-1.128275 52.9463752,-1.1281686 52.9463686,-1.1276157 52.9463528,-1.1271578 52.9463608,-1.1266093 52.9463743,-1.1263116 52.9463902,-1.1258207 52.9464304,-1.1253528 52.9464781,-1.1249097 52.9465361,-1.1243586 52.9466243,-1.1240164 52.9466881,-1.1238338 52.9467298,-1.1236733 52.9467706,-1.1235551 52.9468275)",primary,Daleside Road,asphalt,40 mph,,,yes,,,,A612,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1288695 52.9464384,-1.128821 52.9464456,-1.1288023 52.9464488,-1.1287889 52.9464577,-1.1287877 52.9464689,-1.1287827 52.9464844,-1.1287689 52.9465038,-1.128724 52.9465396,-1.1286924 52.9465628,-1.1282953 52.9465555,-1.1282559 52.9465057,-1.1282328 52.9464535,-1.1282237 52.9464329,-1.1282036 52.9464106,-1.1281686 52.9463686)",service,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1292549 52.9465627,-1.1292581 52.9465507,-1.1292866 52.9464958,-1.1293172 52.9464375,-1.1293637 52.9463721,-1.1293708 52.9463366,-1.1293798 52.9462842,-1.1293811 52.9462508)",cycleway,,,,,,,,yes,yes,,,1.75,,,,yes,,,,,,,,,,,
"LINESTRING (-1.1296631 52.9465645,-1.1295377 52.9464806,-1.1294976 52.9464068,-1.129498 52.9463704,-1.1295442 52.9463205,-1.1296029 52.9462728)",primary,,asphalt,40 mph,,,,,,,,,,,,,,2,,,,,,,,,,
"LINESTRING (-1.1307116 52.946671,-1.1305505 52.9466277,-1.130175 52.9465339,-1.1298057 52.9464228,-1.1296821 52.9463871,-1.1297507 52.9463406,-1.1299567 52.9463095,-1.1303907 52.9462411,-1.1305056 52.9462379)",cycleway,,asphalt,,,yes,,,yes,,,,2.5,,,,,,,,,,,,,,,
"LINESTRING (-1.1305013 52.9460233,-1.1305508 52.9460568,-1.130613 52.9460989,-1.1305515 52.9461476,-1.1305485 52.9462037,-1.1305056 52.9462379,-1.1305704 52.9462994,-1.1306326 52.9464198,-1.1307116 52.946671)",cycleway,,asphalt,,,yes,,,yes,yes,,yes,2.5,,,,no,,,,,,,,,,,
"LINESTRING (-1.1307123 52.9462344,-1.1307297 52.9462596,-1.1307478 52.9462858,-1.1308413 52.9464526,-1.1308864 52.9465167)",primary,,,40 mph,,,,,,,,,,,,,,4,,,,,,,,,,
"LINESTRING (-1.1310914 52.9463125,-1.1309777 52.9463397,-1.1308838 52.9463995,-1.1308413 52.9464526)",unclassified,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1316825 52.9467033,-1.1313527 52.9465451,-1.131297 52.9464931,-1.1313263 52.9464452,-1.1314277 52.9464308,-1.1315044 52.9464054,-1.131561 52.9463933,-1.1315725 52.9463844,-1.1316118 52.9463535)",service,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1397525 52.9498605,-1.139672 52.9498645,-1.1395996 52.9498516,-1.1395433 52.9498322,-1.1395352 52.9497942,-1.1394091 52.9497966,-1.1393502 52.9498002,-1.1392732 52.9498132)",service,,,,parking_aisle,,,private,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1396748 52.9492619,-1.1396966 52.9493614,-1.1397268 52.9494349)",service,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1396748 52.9492619,-1.1391511 52.9492873,-1.1391371 52.949152,-1.1391226 52.9490117,-1.1393778 52.9490022,-1.1394741 52.9490552,-1.1395808 52.9491331,-1.1396465 52.9491874,-1.1396748 52.9492619)",service,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1399061 52.9492513,-1.1396748 52.9492619)",service,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1320207 52.9485222,-1.1319013 52.9484818,-1.1317699 52.9485109)",residential,Marham Close,,20 mph,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1319013 52.9484818,-1.131904 52.9484495,-1.1319027 52.9484123,-1.1318919 52.9483727,-1.1318718 52.9483307,-1.1318378 52.9482733,-1.1317256 52.9481543,-1.1316355 52.9480704,-1.1315572 52.9480229,-1.1313651 52.9478257)",residential,Marham Close,,20 mph,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1328193 52.9485243,-1.1325313 52.948262,-1.1321135 52.9479107,-1.1319914 52.9478112,-1.1319056 52.9477563,-1.1317713 52.947689,-1.1315405 52.9476205)",cycleway,,asphalt,,,no,,,,,,permissive,1.25,,,,no,,,,,,,,,,,
"LINESTRING (-1.1328071 52.9483952,-1.1328596 52.9485078)",cycleway,,asphalt,,,yes,,,yes,,,yes,3,yes,,,no,,,,,,,,,,,
"LINESTRING (-1.1328071 52.9483952,-1.1327985 52.9483534,-1.1327278 52.9482161,-1.1325843 52.9479769,-1.1325078 52.947867,-1.1324461 52.9477846,-1.1323374 52.9476913,-1.1322155 52.9475844,-1.1321384 52.9475456)",cycleway,,asphalt,,,yes,,,no,,,yes,3,yes,,,yes,,,,,,,,,,,
"LINESTRING (-1.1331089 52.9487974,-1.1331013 52.9487838,-1.1330884 52.9487628,-1.1329437 52.9484989,-1.1327935 52.9482322,-1.1326085 52.9479252,-1.1324254 52.9477012,-1.1322225 52.947506)",primary,Manvers Street,asphalt,40 mph,,yes,yes,,,,A612,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1317286 52.9470778,-1.1319728 52.9472133,-1.1323447 52.9474682)",primary,Manvers Street,,40 mph,,,yes,,,,A612,,,,,,,,,,,,1,yes,,,,
"LINESTRING (-1.1323447 52.9474682,-1.1324266 52.9475392,-1.1326188 52.9477385,-1.1327513 52.9479093,-1.1329323 52.9482091)",primary,Manvers Street,,40 mph,,,yes,,,,A612,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1329323 52.9482091,-1.1332433 52.94869,-1.1332626 52.9487198,-1.1332757 52.94874,-1.1332899 52.9487702,-1.1333163 52.9488264)",primary,Manvers Street,,30 mph,,,yes,,,,A612,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1314509 52.9462396,-1.1316118 52.9463535,-1.1316396 52.9463775,-1.1317463 52.9464546,-1.1318542 52.9465326)",service,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1318748 52.9462818,-1.131781 52.9462236,-1.1318956 52.9461626,-1.131954 52.9461321)",service,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1323659 52.9465055,-1.1323337 52.9464821,-1.1320376 52.9462859,-1.1319352 52.9463413,-1.1317463 52.9464546)",service,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1323245 52.9463747,-1.131954 52.9461321,-1.1319157 52.9461008)",service,,,,parking_aisle,,yes,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1316283 52.9457018,-1.1320067 52.9459509,-1.1324937 52.9462791)",service,,,,parking_aisle,,yes,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.132677 52.9461754,-1.1321726 52.9458572,-1.1317614 52.945585)",service,,,,parking_aisle,,yes,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1330099 52.9459873,-1.1328312 52.9460883,-1.132677 52.9461754,-1.1324937 52.9462791,-1.1323245 52.9463747)",service,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1341252 52.9459958,-1.1342942 52.9461671,-1.1341494 52.9462592,-1.133739 52.9464984,-1.1328095 52.9466322,-1.1326322 52.9466599)",service,,,,,,,private,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1340608 52.9485047,-1.1368208 52.9483928)",service,,unpaved,,,,,no,,,,,,,,,,,,,,no,,,,,,
"LINESTRING (-1.1370957 52.9482161,-1.1371037 52.9476456,-1.1368812 52.9476456,-1.1368866 52.9482112,-1.1368956 52.9483303,-1.1369493 52.9483876)",service,,,,parking_aisle,,,destination,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1360815 52.9466811,-1.1355355 52.9465634,-1.1348403 52.9464807,-1.1342566 52.9464134,-1.134085 52.9464134,-1.1340249 52.94646,-1.1339477 52.9465944)",service,,,,,,,private,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.137005 52.9469607,-1.1360815 52.9466811)",service,,,,,,,private,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1367822 52.9465957,-1.1367811 52.946637,-1.1368147 52.9466637,-1.1369941 52.9468238,-1.1370306 52.9468616,-1.1370365 52.9468937,-1.137005 52.9469607)",service,,,,,,,private,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1363432 52.9458919,-1.136352 52.94594,-1.136322 52.9459877,-1.136264 52.9460279,-1.1362249 52.9460646,-1.1362144 52.9460903,-1.1362164 52.9463809,-1.1362473 52.9464556,-1.1363053 52.9465067,-1.1363825 52.9465674,-1.1364593 52.9465886,-1.1367822 52.9465957,-1.1371783 52.9465805,-1.137373 52.9465688,-1.1374093 52.9465607,-1.1374713 52.9465305,-1.1376601 52.9464295)",service,,,,,,,private,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1363432 52.9458919,-1.1376678 52.9459091)",service,,,,,,,private,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1318319 52.9460443,-1.1320067 52.9459509,-1.1321726 52.9458572,-1.1323324 52.9457635,-1.1325277 52.9456617)",service,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1314934 52.9458235,-1.1316283 52.9457018,-1.1317614 52.945585,-1.1318999 52.9454735,-1.1320463 52.945355,-1.1324825 52.9456307,-1.1325277 52.9456617)",service,,,,parking_aisle,,yes,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1318999 52.9454735,-1.1323324 52.9457635,-1.1328312 52.9460883)",service,,,,parking_aisle,,yes,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1325277 52.9456617,-1.1330099 52.9459873)",service,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
