WKT,highway,noname,name,surface,maxspeed,ref,lanes,oneway,service,bridge,layer
"LINESTRING (-59.6054604 13.2723487,-59.6054274 13.271481,-59.6054617 13.2708879,-59.6055132 13.2705955,-59.6054274 13.2696264)",track,yes,,,,,,,,,
"LINESTRING (-59.6083628 13.2693591,-59.6091009 13.2692923,-59.6100622 13.2692923,-59.6106287 13.2692589,-59.6107612 13.2692245,-59.6108862 13.269192,-59.6111523 13.2690333,-59.6114097 13.2689581)",track,yes,,,,,,,,,
"LINESTRING (-59.6056505 13.2680726,-59.6072126 13.268223,-59.6084829 13.268365,-59.6092125 13.2684151,-59.6092897 13.2680392,-59.6102425 13.2681311,-59.610354 13.268223,-59.6102768 13.2685739,-59.6110922 13.2686657,-59.6114097 13.2689581,-59.6118818 13.2691169,-59.6120106 13.2692422,-59.6119848 13.2698019,-59.6122681 13.2698019,-59.6123056 13.2698383)",track,yes,,,,,,,,,
"LINESTRING (-59.6068951 13.2711134,-59.6082683 13.27108)",track,yes,,,,,,,,,
"LINESTRING (-59.6083013 13.2720962,-59.6082683 13.27108,-59.6083628 13.2693591)",track,yes,,,,,,,,,
"LINESTRING (-59.6266576 13.2725514,-59.6269666 13.2724428,-59.6271383 13.2724094,-59.6272499 13.2723008,-59.6273872 13.2722089,-59.6276704 13.2721254,-59.6278164 13.272092,-59.6279279 13.2720251,-59.6280824 13.2719082,-59.6282026 13.2718079,-59.6284257 13.2717161,-59.6284772 13.2715573,-59.6285631 13.2709726,-59.6286146 13.2709057,-59.6288721 13.2708389,-59.6291896 13.2706384,-59.6294815 13.2705215,-59.6296789 13.2704129)",track,,Rose Hill,,,,,,,,
"LINESTRING (-59.606869 13.272418,-59.6068951 13.2711134,-59.6068865 13.270679)",track,yes,,,,,,,,,
"LINESTRING (-59.5791596 13.3024875,-59.5788577 13.3023819,-59.5782311 13.3023485,-59.5780595 13.3023903,-59.5778621 13.3027996,-59.5776024 13.3027958,-59.577287 13.3027912,-59.5769694 13.3025239,-59.5768321 13.3024655,-59.5767463 13.3026075,-59.5767892 13.302858)",track,yes,,,,,,,,,
"LINESTRING (-59.5846022 13.3084347,-59.5844151 13.3084987,-59.5827253 13.3091197,-59.5824689 13.3091474)",track,yes,,,,,,,,,
"LINESTRING (-59.5824689 13.3091474,-59.5824307 13.3088128,-59.5824135 13.3086618)",track,yes,,,,,,,,,
"LINESTRING (-59.5815032 13.3090465,-59.5821988 13.309082,-59.5824689 13.3091474)",track,yes,,,,,,,,,
"LINESTRING (-59.5799344 13.3086015,-59.5798559 13.3087216,-59.5797915 13.308857,-59.5797853 13.3090267,-59.5797957 13.3092186,-59.579669 13.3093217,-59.5796047 13.3094025)",track,,,,,,,,,,
"LINESTRING (-59.5796343 13.3085032,-59.5795065 13.3085526,-59.5794194 13.308645,-59.5793665 13.308744,-59.5793585 13.3088721,-59.5794868 13.3094898)",track,,,,,,,,,,
"LINESTRING (-59.5815456 13.2483954,-59.581901 13.2485913,-59.5824232 13.2487781,-59.5826408 13.2488447,-59.5827904 13.2489321,-59.5830191 13.2489966,-59.5832414 13.2490985,-59.5833248 13.2491048,-59.5834488 13.2490548,-59.5835792 13.2490153,-59.5836903 13.2490132,-59.5838442 13.2490007,-59.5840173 13.2489258,-59.5841948 13.2488384,-59.5844577 13.2486907,-59.5845667 13.2486387,-59.584727 13.2486075,-59.584945 13.2485888,-59.5852571 13.2485971,-59.5855435 13.2486241,-59.5857572 13.2486533,-59.5861292 13.2487386,-59.5864199 13.2488176,-59.5865011 13.248828,-59.5866422 13.2488905,-59.5870269 13.2489758)",track,,,,,,,,,,
"LINESTRING (-59.5550399 13.2487909,-59.5551364 13.248676,-59.5552545 13.2486238,-59.5553725 13.2485298,-59.5555227 13.2484149,-59.55563 13.2483314,-59.5556514 13.2481434,-59.5557265 13.2479554,-59.5558124 13.247851,-59.5558982 13.2477465,-59.5559089 13.2476317,-59.555984 13.2475063,-59.5561128 13.247381,-59.5562093 13.247287,-59.5563273 13.2471408,-59.5563917 13.2470155,-59.5564346 13.2469319,-59.5565527 13.2468484,-59.5567136 13.2467231,-59.5569174 13.2465769,-59.5570569 13.2465038,-59.5571213 13.2463262,-59.5571918 13.2461564,-59.557224 13.2460415,-59.5571833 13.2459197)",track,yes,,,,,,,,,
"LINESTRING (-59.5556305 13.2506377,-59.5556091 13.2504601,-59.5556305 13.2502095,-59.5557164 13.2500111,-59.5558344 13.24975,-59.5559095 13.2495191,-59.5559518 13.2492921,-59.5559733 13.2491877,-59.555866 13.2490206,-59.5558124 13.2488744,-59.5557694 13.2487386,-59.5557158 13.2485611,-59.5557051 13.2484776,-59.5556729 13.2484045,-59.55563 13.2483314)",track,yes,,,,,,,,,
"LINESTRING (-59.5813807 13.2525716,-59.5813035 13.252488,-59.581046 13.2523961,-59.5809172 13.2523126,-59.5807885 13.2521455,-59.5807027 13.2519617,-59.5807112 13.2517779,-59.5807971 13.2513435,-59.5808743 13.2511847,-59.5809687 13.2510678,-59.5810288 13.2509174,-59.5810288 13.2507169,-59.5809945 13.2505331,-59.5809687 13.2504078,-59.58084 13.2502908,-59.5806254 13.2502407)",track,yes,,,,,,,,,
"LINESTRING (-59.5811661 13.2532734,-59.5808743 13.2533402,-59.580634 13.2533736,-59.580222 13.2534488,-59.5799302 13.2535574,-59.5796469 13.2537078,-59.5794581 13.2537663,-59.5792092 13.2538248,-59.5790375 13.2538749,-59.5789345 13.2538916,-59.5787371 13.2538665,-59.5785655 13.2538248,-59.5784796 13.2537412,-59.5784196 13.2535156,-59.5783423 13.2532065,-59.5782736 13.2531313,-59.5780505 13.2531564,-59.5778273 13.2532065,-59.5776042 13.2532065,-59.5773295 13.2533068,-59.5768746 13.2534655,-59.5767029 13.2535156,-59.5765227 13.2535156,-59.5763596 13.2534572,-59.5762566 13.2533736,-59.5760764 13.2533736,-59.5759219 13.2534405,-59.5757931 13.2535491,-59.5755957 13.2536075,-59.5754412 13.2535992,-59.5753039 13.2535658,-59.5751408 13.2536075,-59.5749091 13.2536075,-59.5747203 13.2535574,-59.5745057 13.2534822,-59.5744113 13.2533569,-59.574334 13.253123,-59.5743684 13.2528974,-59.5744542 13.2527053,-59.5745057 13.2525131,-59.5745143 13.2523377,-59.5744542 13.2522123,-59.5742911 13.2520118,-59.5741538 13.2517696,-59.5740336 13.2515941,-59.5739649 13.2514688,-59.5739478 13.2512934,-59.5739564 13.2511764,-59.5739478 13.2510511,-59.5739049 13.2509258,-59.5738963 13.2507336,-59.5740164 13.2505999,-59.5741538 13.2505414,-59.5743254 13.2504997,-59.5744971 13.250508,-59.5746688 13.2506333,-59.5747546 13.2508756,-59.5747374 13.2510344,-59.5748147 13.2511764,-59.5749005 13.2512599,-59.575055 13.251402,-59.5751666 13.2515941,-59.5752782 13.2517946,-59.5754155 13.2521372)",track,yes,,,,,,,,,
"LINESTRING (-59.5789345 13.2538916,-59.5788315 13.2539919,-59.5788315 13.2540587,-59.5788315 13.2542007,-59.5787972 13.254326,-59.5786942 13.2544179,-59.5785569 13.2544597,-59.5783166 13.2545098,-59.5781621 13.254585,-59.5780505 13.2546435,-59.5779046 13.2546686,-59.5778016 13.2547103,-59.5776471 13.2549526,-59.5775613 13.2550529,-59.5772437 13.2552283,-59.5770978 13.2553787,-59.5770205 13.2554956,-59.5768574 13.2557546,-59.5766858 13.2559802,-59.5765313 13.2561389,-59.576085 13.256448,-59.5759476 13.2565065,-59.5757416 13.2565316,-59.575467 13.2565399,-59.5751666 13.2564815,-59.5748061 13.2564146,-59.5745915 13.2564146,-59.5743855 13.2564313,-59.5742654 13.2564731,-59.574231 13.2566318,-59.5741967 13.2568407,-59.5740765 13.2569577,-59.5739134 13.2570663,-59.5737675 13.2571999,-59.5737075 13.257484,-59.5735959 13.257768,-59.5734585 13.2579017,-59.5731839 13.2580604,-59.5729092 13.2582108,-59.5725573 13.2584698,-59.5722912 13.2587121,-59.5720817 13.2589112)",track,yes,,,,,,,,,
