WKT,highway,noname,name,surface,maxspeed,ref,lanes,oneway,service,bridge,layer
"LINESTRING (-59.6033728 13.2722169,-59.6033044 13.2721647,-59.6032574 13.2720869,-59.6030087 13.2716753,-59.6026825 13.2710738,-59.6025452 13.2707981,-59.6022705 13.2704138,-59.6019701 13.2700212,-59.6017652 13.2697444,-59.6016354 13.26952,-59.6012921 13.2690271,-59.6010517 13.2687514,-59.6006483 13.2683588,-59.6002535 13.2679912,-59.6000046 13.2678074,-59.5996749 13.2677639,-59.5990644 13.2675813,-59.5986608 13.2674503,-59.5984465 13.2673808,-59.5973783 13.2669852,-59.596893 13.2667711,-59.5950768 13.2659196,-59.5946671 13.2657275,-59.5941248 13.2654598,-59.5934382 13.2651423,-59.593185 13.2650249,-59.5930094 13.2647498,-59.5928892 13.2645159,-59.5928892 13.2642737,-59.5929236 13.263881,-59.5929912 13.2634852,-59.5930415 13.2632481,-59.5930759 13.2629473,-59.5931874 13.2626549,-59.5933334 13.2623041,-59.5934535 13.2618613,-59.5934471 13.2615419,-59.5933871 13.2612244,-59.5932755 13.2608568,-59.5930695 13.2603973,-59.592915 13.2600465,-59.5927862 13.2597206,-59.5926575 13.2593531,-59.5924515 13.2589688,-59.5921168 13.2586346,-59.5916876 13.2583338,-59.5912241 13.2580164,-59.5908465 13.2577574,-59.5906491 13.2574316,-59.590486 13.2571392,-59.5903916 13.2568885,-59.5901942 13.2566546,-59.5898337 13.256404,-59.5893101 13.2562369,-59.5885634 13.256003,-59.5879368 13.2558113,-59.5876021 13.255711,-59.5870098 13.2555606,-59.5864434 13.255452,-59.5857395 13.2553936,-59.5848641 13.2553852,-59.5842203 13.255427)",primary,,Charles Duncan O'Neil Highway,asphalt,60,,2,,,,
"LINESTRING (-59.6125442 13.2704168,-59.612444 13.2702687,-59.6122949 13.2701411,-59.6122412 13.2699636,-59.6122519 13.2698696,-59.6123056 13.2698383,-59.6124129 13.2698279,-59.612841 13.2698719,-59.6129053 13.2697675)",service,yes,,,,,,,,,
"LINESTRING (-59.619394 13.2693246,-59.6193996 13.2689258)",residential,,,,,,,,,,
"LINESTRING (-59.6168099 13.2700379,-59.6168287 13.269756,-59.6168233 13.2696594,-59.616759 13.2696228,-59.6166892 13.2696228,-59.6166061 13.269662,-59.6163781 13.2698108,-59.6162896 13.2699439,-59.6162061 13.2701642)",residential,,,,,,,,,,
"LINESTRING (-59.6190714 13.2685576,-59.6190473 13.268876,-59.6189947 13.269142,-59.6190348 13.2692691,-59.6191469 13.2693149,-59.619394 13.2693246,-59.6196357 13.2693342,-59.6196997 13.269391,-59.6207191 13.2693839)",residential,yes,,asphalt,,,,,,,
"LINESTRING (-59.6166624 13.2703225,-59.6162061 13.2701642,-59.6159337 13.2700698)",residential,,,,,,,,,,
"LINESTRING (-59.6215887 13.2692206,-59.6209664 13.2692206,-59.6207355 13.2692348)",residential,,Lower Rose Hill,asphalt,,,,,,,
"LINESTRING (-59.6173871 13.2702824,-59.6176468 13.2702467,-59.6177222 13.2701902,-59.6177997 13.26991,-59.6177991 13.2698098,-59.6173666 13.2690421,-59.61729 13.268978,-59.6171133 13.2689021)",residential,yes,,asphalt,,,,,,,
"LINESTRING (-59.6236965 13.2693161,-59.6225136 13.2693879)",residential,,,,,,,,,,
"LINESTRING (-59.6185281 13.2705958,-59.6186636 13.2684903)",residential,yes,,asphalt,,,,,,,
"LINESTRING (-59.619495 13.2705881,-59.619402 13.2705943,-59.6191624 13.2704874,-59.6189778 13.2704825,-59.6188031 13.2705068,-59.6186783 13.2706283,-59.6186016 13.2706305,-59.6185281 13.2705958)",residential,yes,,unpaved,,,,,,,
"LINESTRING (-59.6206765 13.2704909,-59.6196516 13.2705651,-59.619495 13.2705881)",residential,yes,,asphalt,,,,,,,
"LINESTRING (-59.6222615 13.2679504,-59.6225136 13.2693879,-59.6226499 13.2701541,-59.6226156 13.2702024,-59.6225622 13.2702203,-59.6223972 13.2702202,-59.6222202 13.2702333,-59.6220858 13.2702481,-59.6220258 13.2702868,-59.6219346 13.2703378,-59.6217723 13.2703677,-59.6215658 13.2703273,-59.621437 13.2702959,-59.621319 13.2702542,-59.6211473 13.2702333,-59.6209542 13.2702437,-59.6206806 13.2702493)",residential,,Skeete Road,asphalt,,,,,,,
"LINESTRING (-59.6226156 13.2702024,-59.6227054 13.2702624,-59.6228342 13.2703068,-59.6229951 13.2703172)",residential,,,,,,,,,,
"LINESTRING (-59.6250897 13.2687968,-59.624873 13.2688903,-59.6248346 13.2689482,-59.6248695 13.2695121,-59.6248462 13.2695821,-59.6245109 13.2697779,-59.6244671 13.2698228,-59.6245422 13.2704493,-59.6245921 13.270469)",residential,,Williams Circle,,,,,,,,
"LINESTRING (-59.6253469 13.2704076,-59.6252718 13.2694573,-59.6252718 13.2693424,-59.6252932 13.269238,-59.6254005 13.2690814,-59.6255078 13.2689456,-59.6255963 13.2687837,-59.6255669 13.2687367,-59.625532 13.2686558,-59.6254955 13.2685855)",residential,,Williams Circle,,,,,,,,
"LINESTRING (-59.6245921 13.270469,-59.6246659 13.2704833,-59.6251809 13.2704676,-59.6252932 13.2704598,-59.6253276 13.2704357,-59.6253469 13.2704076)",residential,,Williams Circle,,,,,,,,
"LINESTRING (-59.6122446 13.2710196,-59.6122872 13.2708715,-59.6123712 13.2706531,-59.6124495 13.2705309,-59.6125442 13.2704168,-59.6127794 13.2702156,-59.6131142 13.2699566,-59.613406 13.269848,-59.6138695 13.269848,-59.6144585 13.2698374,-59.6151669 13.2699118,-59.6156669 13.2698479,-59.6161132 13.2696539,-59.6164887 13.2694273,-59.6168589 13.2691837,-59.6169923 13.2690576,-59.6171133 13.2689021,-59.6172136 13.2687608,-59.6174282 13.2685684,-59.6175744 13.2684794,-59.6177416 13.268416,-59.6178868 13.2683919,-59.6180827 13.2683922,-59.6185822 13.2684716,-59.6186636 13.2684903,-59.6190057 13.2685389,-59.6190714 13.2685576,-59.6197674 13.2686574,-59.6199052 13.268653,-59.6200335 13.2686324,-59.6203597 13.2685238,-59.6207803 13.2683541,-59.6208123 13.2683412,-59.6211612 13.2681599,-59.6213631 13.26797,-59.6213882 13.2679423,-59.6215659 13.2676499,-59.6217369 13.267306,-59.6219172 13.26683,-59.622001 13.2666087,-59.6221334 13.2662069,-59.6221627 13.2661178,-59.6222862 13.2658505,-59.6225523 13.2653096,-59.6226919 13.2650157,-59.6227519 13.264878,-59.6228303 13.2647444,-59.6229585 13.2646254)",primary,,Highway 2A,asphalt,,H2A,2,,,,
"LINESTRING (-59.6171115 13.2726469,-59.6171308 13.2725742,-59.6171221 13.2724221,-59.6170179 13.2721601,-59.6169306 13.2721353,-59.6163928 13.2719827,-59.615568 13.2716447,-59.615403 13.2713996,-59.6153423 13.2711123,-59.615403 13.2708334,-59.6159337 13.2700698,-59.615965 13.2700247,-59.6161132 13.2696539)",residential,yes,,,,,,,,,
