WKT,highway,name,surface,maxspeed,lit,service,oneway,access,foot,sidewalk,ref,lcn,lanes,bicycle,est_width,cycleway,layer,segregated,motor_vehicle,addr:postcode,bridge,abutters,traffic_calming
"LINESTRING (457461.400354144 339483.234190328,457462.252035003 339475.467490576)",tertiary,Middle Hill,,,,,yes,,,,,,,,,lane,,,,,yes,,
"LINESTRING (457438.962428639 339493.458944249,457448.495262658 339490.279061683,457453.828708915 339487.060398466,457457.950946802 339483.415691919,457462.252035003 339475.467490576,457472.133960571 339446.891956051)",primary,Middle Hill,,30 mph,,,yes,,,,,,,,,,,,,,yes,,
"LINESTRING (457499.202544128 339410.087645965,457499.337452255 339410.044748427,457502.880083874 339409.374856209,457506.151280176 339409.491657698,457509.803337884 339409.791003787)",primary,Middle Hill,,30 mph,,,yes,,,,,,,,,,-1,,,,,,
"LINESTRING (457472.133960571 339446.891956051,457478.822088155 339437.692706446,457480.924699816 339432.666670631,457485.819867497 339422.800818492,457487.477470359 339420.161505988,457489.395260602 339417.681048068,457491.320932861 339415.667961751,457496.853237395 339410.994250386,457497.334252095 339410.666203579,457499.202544128 339410.087645965)",primary,Middle Hill,,30 mph,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (457522.30587256 339380.134186935,457522.3522404 339386.965885595,457520.209153619 339393.693646335,457517.51730143 339396.843544611,457511.086835687 339399.626310718)",unclassified,,,,,,yes,yes,yes,,,,,yes,,,,,no,,,,
"LINESTRING (457511.086835687 339399.626310718,457506.357096975 339401.795159671)",unclassified,,,,,,yes,yes,yes,,,,,yes,,,-1,,no,,,,
"LINESTRING (457510.671392154 339402.914558306,457506.357096975 339401.795159671,457502.480956431 339401.126003874,457500.443822061 339400.645615141)",primary,Canal Street,,30 mph,,,yes,,,,,,2,,,,-1,,,,,,
"LINESTRING (457522.30587256 339380.134186935,457521.695076019 339373.863178542,457522.239018247 339367.683793288)",unclassified,Trent Street,,,,,yes,,,,,,,,,opposite_lane,,,,,,,
"LINESTRING (457522.30587256 339380.134186935,457513.114344861 339381.715896621,457497.301212479 339380.682196219,457479.472446209 339375.663845883,457486.175685019 339353.903932728)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (457500.443822061 339400.645615141,457490.983496946 339398.841972029,457480.947026365 339397.454269707,457472.832012034 339396.667971012,457465.008291242 339395.684887938)",primary,Canal Street,,30 mph,,,yes,,,,,,2,,,,,,,,,,
"LINESTRING (457501.594836702 339355.300053796,457497.301212479 339380.682196219)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (457472.133960571 339446.891956051,457473.626179602 339439.511147434,457475.299973609 339431.553965094,457477.325613711 339424.524396296,457478.554192517 339417.841369408,457478.722713604 339412.147043441,457476.587271219 339406.937096541,457473.736914381 339403.075977539,457471.54455849 339400.390877572,457467.473433131 339396.904643384,457465.008291242 339395.684887938)",primary,Middle Hill,,30 mph,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (457465.008291242 339395.684887938,457462.345362256 339395.274954166)",primary,Canal Street,,30 mph,,,yes,,,,,,,yes,,lane,,,,,,,
"LINESTRING (457462.345362256 339395.274954166,457438.142161627 339393.418533083)",primary,Canal Street,,30 mph,,,yes,,,,,,,,,lane,,,,,,,
"LINESTRING (457328.385658379 339478.416953916,457341.560210821 339480.364478388,457356.902560616 339482.538027654,457404.747447216 339488.757918084,457438.962428639 339493.458944249)",primary,Collin Street,,30 mph,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (457438.142161627 339393.418533083,457419.045577618 339392.735464935,457404.784943581 339391.687135384)",primary,Canal Street,,30 mph,,,yes,,,,,,,,,lane,,,,,,,
"LINESTRING (457767.164386413 339298.822358581,457766.514329211 339302.60843733,457754.388707194 339384.370599577,457741.429427929 339386.329626959,457657.94399221 339374.251765008,457628.769270773 339370.032070641,457623.146934474 339368.151552202,457617.783452943 339364.850043178,457615.673156402 339361.487190354,457625.535735935 339287.285435082,457627.131898353 339276.846356363)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (457593.744222118 339351.47975157,457594.247674983 339354.345042815,457595.12429391 339356.346980515,457598.155683547 339359.108890458,457600.559943219 339360.361365489,457615.673156402 339361.487190354)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (457290.050178894 339267.454204791,457292.440338527 339268.205703085,457312.296455528 339275.717281425,457318.27486452 339277.623907119,457328.77811723 339280.474260314,457388.997104128 339297.410102747,457434.72379522 339311.815827419,457470.706774455 339323.914366308,457484.365697222 339329.239103214,457498.162249414 339334.854783487,457507.050691625 339338.420611071,457518.947063459 339343.335078243,457527.647376343 339346.33129751,457532.249477592 339346.986863128,457537.21195128 339348.981800904,457540.457071362 339349.598968549,457557.41991751 339354.540477096,457592.269681807 339364.690576617,457620.645737694 339373.339661487,457655.242887954 339382.675036843,457659.807097553 339383.68629398,457674.934337842 339387.571635395,457681.236921835 339389.883108535,457689.513228798 339392.919065493,457693.549757644 339394.224448806,457712.334253839 339398.531840942,457714.763725906 339398.794491677,457717.056749373 339398.666116191,457749.525407287 339393.769292827,457793.434343523 339388.631206052,457802.17106607 339388.001396039,457817.268196877 339387.091666994,457830.642405989 339388.086107555,457838.611833587 339388.68213035,457843.377171931 339389.729345988,457847.903421608 339390.540065727,457868.521046709 339392.711631977,457871.630994959 339392.82675047,457873.897225696 339392.130719833,457876.711764931 339390.540077882,457879.132551229 339388.722208718,457881.213012141 339386.143719857,457882.088513373 339383.739936683,457882.410203674 339381.006876654,457882.655451064 339374.556930136,457882.407608312 339372.807232948,457881.683893859 339368.14803887,457881.446042293 339365.564036817)",cycleway,The Big Track / Nottingham Canal Towpath,concrete,,no,,,,yes,,,yes,,,1.25,lane,0,,,,,,
"LINESTRING (457532.249477592 339346.986863128,457531.585936327 339337.244024272,457534.230468404 339320.0085025,457535.677510305 339310.224034808,457533.847439915 339309.846228492,457531.512010925 339328.776527867,457525.434613685 339327.858639293)",footway,,,,,,,,yes,,,yes,,yes,,,,,,,,,
"LINESTRING (457522.239018247 339367.683793288,457524.736356353 339336.839849921)",unclassified,Trent Street,,,,,yes,,,,,,,,,opposite_lane,1,,,,yes,,
"LINESTRING (456959.749396844 339090.324453633,456956.453653218 339088.850412389,456952.645696456 339088.071251986,456947.436664277 339086.997447,456944.968971619 339085.399662204)",service,,,15 mph,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (459274.626149199 339650.680606196,459297.483496468 339652.006854459)",service,Colwick Woods Court,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (459297.089127026 339676.478617882,459297.206913157 339669.070327951,459297.483496468 339652.006854459,459297.867218683 339628.402768054,459297.435125427 339612.687938222,459293.064421198 339605.257950475,459288.003292096 339602.06952395,459283.37479922 339601.957111007,459279.064276676 339608.791056509,459274.626149199 339650.680606196,459273.394871004 339662.314139616)",service,Colwick Woods Court,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (459238.335627934 339624.190268193,459231.718716451 339648.151850058,459227.995983204 339662.959063688)",service,Millers Green,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (459227.016003137 339621.203332141,459238.335627934 339624.190268193,459257.473330251 339630.210286989)",service,Millers Green,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (459273.586814066 339673.508975925,459247.040229223 339667.820823154,459227.995983204 339662.959063688,459194.358005895 339653.601808255,459155.781617682 339641.447405552,459145.798130608 339637.998610862,459118.797552432 339625.452170532)",tertiary,Colwick Road,asphalt,30 mph,yes,,,,,,,,,,,,,,,,,,
"LINESTRING (459283.37479922 339601.957111007,459280.341476994 339598.893701682,459274.986190111 339590.650600885,459232.088581872 339565.34761518)",residential,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (459044.85886375 339359.444655776,459088.175317731 339376.551384283,459095.410043952 339379.521405715,459108.16692407 339383.727175169,459131.410174579 339395.359744248,459154.865358444 339402.845129129,459170.345801918 339407.429301192,459180.094683577 339410.318977753,459219.852779943 339418.315871474,459251.565490389 339424.790354651,459266.909420336 339430.630372777,459290.948600414 339439.781321969,459301.881832107 339445.812106883,459321.319340733 339461.94932909,459336.140437644 339472.044307116,459357.288417699 339478.567800867,459378.026671702 339486.165549828,459414.114349092 339496.933775965,459423.825100522 339496.341129023,459436.73493016 339498.992057744,459446.904476471 339503.712074479,459455.829565177 339504.711932925,459470.812870829 339507.599853655,459483.711107328 339509.004684311,459492.873957214 339510.886471287,459499.450566972 339509.966124367,459508.212830303 339507.270331316)",cycleway,,asphalt,,no,,,,,,,,,yes,1.25,,,,,,,,
"LINESTRING (459118.238747199 340056.667259293,459123.256585149 340047.438675193,459124.548911541 340039.566348132,459135.782161319 339929.303230889,459104.257633855 339909.903653241)",residential,Hardstaff Road,,,yes,,,,,,,,,,,,,,,,,,
"LINESTRING (459172.205213764 339887.760642664,459177.690906842 339854.6175291,459181.038856556 339839.115892704)",service,,,,,,,private,,,,,,,,,,,,,,,
"LINESTRING (459158.679637252 339822.420525596,459104.257633855 339909.903653241,459051.52756772 339996.551366037)",residential,Shrewsbury Road,,,yes,,,,,,,,,,,,,,,,,,
"LINESTRING (459116.47414677 339793.945047748,459014.727823983 339962.913732978)",residential,Lichfield Road,,,yes,,,,,,,,,,,,,,,,,,
"LINESTRING (459157.683749568 339742.40324876,459136.167493277 339758.361189202,459116.47414677 339793.945047748)",residential,Taylor Close,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (458889.121737093 339640.181924617,458935.495259743 339674.780826209,458968.258148959 339699.156431771,459005.355988535 339722.884278144,459012.375973965 339727.442541012,459042.772690091 339746.883330943,459078.511150135 339769.070922226,459116.47414677 339793.945047748,459158.679637252 339822.420525596,459181.038856556 339839.115892704,459188.08138857 339843.452180108,459195.775082925 339848.386118799,459242.963219 339878.681264256,459284.450768841 339905.858487389)",residential,Sneinton Boulevard,,20 mph,yes,,,,,,,,,,,,,,,,,,yes
"LINESTRING (459155.781617682 339641.447405552,459078.511150135 339769.070922226,458977.693312461 339928.65048642)",residential,Port Arthur Road,,30 mph,yes,,,,,,,,,,,,,,,,,,
"LINESTRING (459108.873549166 339641.307304761,459042.772690091 339746.883330943)",residential,Baden Powell Road,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (458946.093025139 339898.336701341,458992.928738993 339820.538725569,458956.851176181 339798.058360721)",residential,Sandringham Road,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (458773.178643673 340046.994892986,458934.328473777 339887.24549262)",residential,Holborn Avenue,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (458885.48854034 339894.2044135,458865.444342375 339872.743449041)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (458890.94872679 339847.554083767,458865.444342375 339872.743449041,458807.425642111 339927.198268245,458757.070055396 339974.860130263)",residential,Durham Avenue,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (458913.870456288 339868.327065175,458956.851176181 339798.058360721,459005.355988535 339722.884278144,459077.154698544 339606.307317621)",residential,Lyndhurst Road,,30 mph,yes,,,,,,,,,,,,,,,,,,
"LINESTRING (458882.081407353 339839.101735949,458968.258148959 339699.156431771,459039.041633512 339586.427153894)",residential,Westwood Road,,30 mph,yes,,,,,,,,,,,,,,,,,,
"LINESTRING (458565.93878582 339653.165390328,458594.236923331 339655.77807211,458604.068347949 339656.831849515,458617.532423924 339659.76545041,458633.006499109 339663.735915434,458635.409161086 339664.532741626,458660.589680781 339673.204870839,458670.64648136 339677.276585778,458683.131425983 339684.470753442,458693.952698868 339691.433358458,458702.967462348 339698.307288404,458717.27193833 339709.484401187,458753.623117568 339736.683563367,458782.498114528 339759.219391017,458788.299280602 339763.450978786,458802.120770889 339773.977184663,458821.340066564 339788.741276379,458849.170295578 339810.942153437,458867.79483088 339825.966210295,458882.081407353 339839.101735949,458890.94872679 339847.554083767,458913.870456288 339868.327065175,458934.328473777 339887.24549262,458946.093025139 339898.336701341,458960.477434188 339912.230211125,458975.634829293 339926.64498332,458977.693312461 339928.65048642,459014.727823983 339962.913732978,459021.194364096 339968.744715647,459051.52756772 339996.551366037,459058.469836897 340003.033506811)",tertiary,Sneinton Dale,asphalt,20 mph,yes,,,,,,,yes,,,,,,,,,,,
"LINESTRING (458831.848505157 339701.599141204,458890.523605845 339746.805572216)",residential,Bleasby Street,,,,,,,,,,,,,,,0,,,,,,
"LINESTRING (459118.797552432 339625.452170532,459108.873549166 339641.307304761)",residential,Baden Powell Road,,,,,,,,,,,1,,,,,,,,,,
"LINESTRING (459198.388063745 339597.243758889,459157.740372861 339588.479572847)",residential,Bradbury Street,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (459145.798130608 339637.998610862,459157.740372861 339588.479572847,459170.515208783 339532.996245993)",residential,Kimberley Street,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (459102.60424266 339618.222635616,459128.448035211 339500.150009786)",residential,Mafeking Street,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (459192.021797511 339549.736820291,459170.515208783 339532.996245993,459128.448035211 339500.150009786,459087.233531357 339466.769418256,459045.209426414 339431.955208465,459026.224159875 339417.771642661,459015.902958254 339413.317689752)",residential,Whittier Road,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (459057.869157573 339596.414464261,459087.233531357 339466.769418256)",residential,Ladysmith Street,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (459015.014616204 339570.802435622,459045.209426414 339431.955208465)",residential,Kingsley Road,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (459002.347638403 339562.57049262,458935.495259743 339674.780826209,458914.518731581 339707.134502024,458890.523605845 339746.805572216,458849.170295578 339810.942153437)",residential,Kentwood Road,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (458914.518731581 339707.134502024,458862.111267341 339668.668427813)",residential,Jubilee Street,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (458788.299280602 339763.450978786,458831.848505157 339701.599141204,458841.287110089 339690.75523951,458852.107535509 339679.561036028,458862.111267341 339668.668427813,458889.121737093 339640.181924617,458922.695016291 339601.439799535,458958.556997816 339560.211411942,458970.755815078 339539.633056555)",residential,Trent Road,,30 mph,yes,,,,,,,,,,,,,,,,,,
"LINESTRING (458753.623117568 339736.683563367,458802.435508358 339642.642037799,458811.631503673 339624.12951423,458829.967696151 339593.912770445,458850.655004693 339552.743652121,458872.73499127 339507.052295971)",residential,Lord Nelson Street,,30 mph,yes,,,,,,,,,,,,,,,,,,
"LINESTRING (458850.655004693 339552.743652121,458922.695016291 339601.439799535)",residential,St Christopher Street,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (459118.797552432 339625.452170532,459102.60424266 339618.222635616,459077.154698544 339606.307317621,459057.869157573 339596.414464261,459039.041633512 339586.427153894,459015.014616204 339570.802435622,459002.347638403 339562.57049262,458970.755815078 339539.633056555,458949.984597391 339528.098161725,458934.109560839 339522.274926472,458915.849114154 339516.990073314,458898.541554769 339512.362194662,458895.507424698 339511.546416674,458872.73499127 339507.052295971,458855.796075199 339505.254992572,458801.958332444 339496.856118179,458755.100032034 339490.85684496,458753.550685638 339490.61549426,458701.1982615 339482.725339871,458676.952983934 339478.859549951)",tertiary,Colwick Road,asphalt,30 mph,yes,,,,,,,,,,,,,,,,,,
"LINESTRING (458940.578241497 339419.997291165,458934.109560839 339522.274926472)",residential,Hutton Street,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (459002.214957087 339364.286433567,459001.772753179 339370.233289853,459001.085399761 339377.54561568,458998.936350236 339409.361163237,458970.755815078 339539.633056555)",residential,Trent Lane,asphalt,,yes,,,,,,,yes,,,,,,,,,,,
"LINESTRING (458900.039516738 339498.072790981,458898.541554769 339512.362194662)",service,Davidson Street,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (458855.796075199 339505.254992572,458855.934337758 339397.89361985)",residential,Hoten Road,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (458737.707954747 339949.781011748,458867.79483088 339825.966210295)",residential,Dale Grove,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (458672.828057367 339929.812039115,458685.170616782 339918.246557836,458821.340066564 339788.741276379)",residential,Ashfield Road,,30 mph,yes,,,,,,,,,,,,,,,,,,
"LINESTRING (458644.675965727 339881.529621511,458782.498114528 339759.219391017)",residential,Loughborough Avenue,,30 mph,yes,,,,,,,,,,,,,,,,,,
"LINESTRING (458631.74839545 339824.464773279,458749.417308934 339742.161904001,458753.623117568 339736.683563367)",residential,Finsbury Avenue,,30 mph,yes,,,,,,,,,,,,,,,,,,
"LINESTRING (458631.74839545 339824.464773279,458627.747575769 339827.46467242,458623.952225732 339830.144422224)",track,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (458688.839435094 339718.517968957,458677.873280634 339734.005282017)",residential,Holroyd Avenue,setts,30 mph,yes,,,,,,,,,,,,,,,,,,
"LINESTRING (458688.839435094 339718.517968957,458702.967462348 339698.307288404)",residential,Holroyd Avenue,,30 mph,yes,,,,,,,,,,,,,,,,,,
"LINESTRING (458575.373698592 339899.235566756,458601.255105368 339892.128535947,458604.594019352 339928.739213956,458634.60332299 339923.095395187,458638.570991994 339939.431574256)",track,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (458579.876002055 339850.982355045,458600.413109368 339846.313811729,458623.952225732 339830.144422224)",track,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (458614.638066959 339776.505683551,458612.059997118 339775.217208156)",service,Belvoir Hill,,,,driveway,,,,,,,,,,,,,,,,,
"LINESTRING (458621.446578463 339721.527184892,458621.66486745 339727.904859013,458620.501942203 339745.113335023,458618.184421972 339761.673640558,458614.638066959 339776.505683551,458611.422861594 339785.089102025)",service,Belvoir Hill,,,,driveway,,,,,,,,,,,,,,,,,
"LINESTRING (458521.916136611 339653.933769365,458557.134741763 339666.587544831,458563.351731976 339669.800330376,458575.040172123 339676.750922444,458603.666765176 339697.702794716,458613.683243877 339704.544201204,458616.561576913 339707.672059217,458619.679335939 339713.773385231,458621.446578463 339721.527184892)",residential,Belvoir Hill,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (458765.146596045 339615.709259237,458717.27193833 339709.484401187)",residential,Pullman Road,,30 mph,yes,,,,,,,,,,,,,,,,,,
"LINESTRING (458687.314688003 339522.598109416,458708.497591057 339555.609464173,458728.301314419 339574.908418863,458761.519777567 339611.693280135,458765.146596045 339615.709259237,458781.8760494 339633.591473129,458802.435508358 339642.642037799,458822.412789312 339653.143072712,458832.916727854 339659.668226196,458852.107535509 339679.561036028)",residential,Thurgarton Street,,30 mph,yes,,,,,,,,,,,,,,,,,,
"LINESTRING (458676.952983934 339478.859549951,458693.514945501 339495.660211908,458701.263567947 339502.79689464,458765.06577283 339546.651033987,458781.849650162 339557.869606398,458790.619926346 339563.86179178,458829.967696151 339593.912770445,458889.121737093 339640.181924617)",residential,Sneinton Boulevard,,30 mph,yes,,,,,,,,,,,,,,,,,,yes
"LINESTRING (458726.507185129 339629.647322317,458693.952698868 339691.433358458)",residential,Victoria Avenue,,30 mph,yes,,,,,,,,,,,,,,,,,,
"LINESTRING (458708.497591057 339555.609464173,458695.274301205 339571.558852188,458678.954557022 339585.746191779,458663.31078684 339591.308248176,458638.017660178 339584.681875966,458612.146791825 339578.03750477,458594.359067943 339570.334202463)",residential,Castle Street,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (458801.958332444 339496.856118179,458805.371470444 339387.554240743)",residential,Beckford Road,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (458749.310524211 339382.266377978,458785.068972157 339384.358932097,458805.371470444 339387.554240743,458825.033356863 339389.273244943,458850.74994992 339392.645906373,458855.934337758 339397.89361985)",residential,Radbourne Road,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (458755.100032034 339490.85684496,458749.310524211 339382.266377978,458746.18444257 339375.185809628,458738.511705546 339368.428254885,458729.878467886 339364.395962273)",residential,Cosby Road,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (458670.278093731 339496.190226975,458675.503414758 339499.179725999,458687.314688003 339522.598109416)",pedestrian,Thurgarton Street,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (458675.503414758 339499.179725999,458693.514945501 339495.660211908)",footway,,,,,,,,,,,,,yes,,,,,,,,,
"LINESTRING (458664.267302025 339491.477841297,458672.55794344 339476.11376971)",footway,,,,,,,,,,,,,yes,,,,,,,,,
"LINESTRING (458676.952983934 339478.859549951,458677.820773628 339470.48131025,458677.911268422 339463.028191497,458672.418628839 339384.636598176,458670.906942195 339363.023270217,458667.953464602 339311.820344049)",residential,Meadow Lane,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (458565.93878582 339653.165390328,458574.127648355 339612.333205203,458585.551881484 339582.888465356,458594.359067943 339570.334202463,458609.175418058 339557.641442122,458621.72389559 339546.89046333,458641.500404103 339535.237033109,458653.012507429 339527.944775469,458659.214465395 339519.119493981,458666.708142446 339506.849809015,458670.329751342 339499.684323298,458670.625615888 339498.007934828,458670.278093731 339496.190226975)",residential,Sneinton Hollows,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (458353.546226996 339622.537015628,458373.18094038 339615.865097847,458388.402883488 339610.697536338,458397.829053701 339607.484855818,458405.59101482 339605.197763144,458424.851639305 339598.91093106,458440.282204506 339596.505224584,458454.888368612 339596.147847743,458477.396238943 339596.397907509,458498.751847018 339596.912266078,458520.186443292 339598.117468766,458535.741643693 339599.296049389,458543.090387771 339565.117932505,458553.015483831 339541.818592906,458560.788510585 339532.533819387,458579.398426881 339514.001446701,458604.630956983 339495.738587013,458621.185345401 339493.235823121,458635.487022851 339491.417827214,458655.671243928 339491.039729218,458664.267302025 339491.477841297,458666.378198288 339491.959619847,458668.287360631 339493.006360871,458670.278093731 339496.190226975)",residential,Saint Stephens Road,,,,,,,,,,,,,,,,,,,,,speed_bumps
"LINESTRING (458587.682516098 339434.853552284,458601.035744433 339404.3085382,458614.707064849 339399.078370292,458647.018452637 339386.742572199,458672.418628839 339384.636598176)",residential,Thoresby Avenue,,,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (458676.952983934 339478.859549951,458672.55794344 339476.11376971,458587.682516098 339434.853552284,458534.59841438 339408.521083476,458529.394800126 339405.943654432,458503.727875751 339394.573939609,458497.051415716 339392.646258147,458488.672883778 339391.432282089)",tertiary,Sneinton Hermitage,asphalt,30 mph,yes,,,,,,,yes,2,,,,,,,,,,
"LINESTRING (458946.751823688 339370.029152873,458971.653615707 339371.890549319,458976.506228746 339372.928827702,458983.216268169 339374.846459814,458984.744127139 339375.198878575,458993.313014135 339377.328349777,458996.728708981 339377.169783286,459001.085399761 339377.54561568)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (458893.077365926 339387.82119191,458902.531528918 339384.031288355,458923.30134455 339377.553425275,458935.290363274 339371.44696746,458939.689269274 339370.566054069,458946.751823688 339370.029152873)",path,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (458607.910329528 339378.257648371,458602.34806379 339325.454415488,458602.123626819 339314.036734139,458603.643033698 339306.222671004,458608.234117131 339293.372541433)",residential,Gresley Drive,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (458551.845559104 339374.373876928,458547.329274536 339367.755005199,458545.66867747 339365.59875579,458544.611131835 339360.81302365)",residential,Ardmore Close,,20 mph,,,,,,,,,,,,,,,,,,,
"LINESTRING (458493.162473443 339363.616769904,458501.436673367 339363.461030221,458509.71513953 339364.618187631,458521.890896318 339365.800299186,458533.144192529 339364.913016543,458539.253578494 339363.173526561,458544.611131835 339360.81302365,458543.726889286 339353.370351239,458538.522967961 339341.936860963,458534.898404008 339330.489128335,458533.007346219 339314.623243736,458532.540449921 339307.675159302,458532.581810399 339304.260073811)",residential,Ardmore Close,,20 mph,,,,,,,,,,,,,,,,,,,
"LINESTRING (458488.672883778 339391.432282089,458493.162473443 339363.616769904,458492.138053969 339359.42111266,458489.595158143 339354.094509489,458486.215315282 339349.625582895,458480.239618279 339345.87066823,458474.714314533 339344.324096547,458464.97241072 339342.481755083,458457.569299436 339338.398082269,458438.325137217 339327.117544008)",residential,Marham Close,,20 mph,,,,,,,,,,,,,,,,,,,
"LINESTRING (457526.59207405 340006.225631329,457525.065752894 340010.268325188,457514.495174832 340042.006376234,457495.400716987 340104.038311613)",unclassified,George Street,,,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (457481.057190508 340033.887277638,457482.277845996 340030.119075661)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (457444.594216941 340020.792659539,457436.460704264 340076.48000244,457432.952202566 340099.757670884)",pedestrian,Clinton Street East,,,,,,,,,,,,yes,,,,,no,,,,
"LINESTRING (457428.349636315 340017.228492945,457429.553976051 340018.221864111,457430.950388208 340018.883748855,457444.594216941 340020.792659539,457456.045350681 340021.763232135,457462.954895054 340023.258354659,457482.277845996 340030.119075661,457487.002277297 340031.732872526,457514.495174832 340042.006376234)",unclassified,Lincoln Street,,,,,,,,,,,,yes,,,,,,,,,
"LINESTRING (457410.379604257 340015.245974716,457400.989371542 340096.440686865)",pedestrian,Clinton Street West,,,,,,,,,,,,yes,,,,,,,,,
"LINESTRING (457363.407755493 340010.070975806,457368.447105342 340010.631457145,457396.643259493 340013.76996285,457410.379604257 340015.245974716,457428.349636315 340017.228492945)",pedestrian,Lincoln Street,,,,,,,yes,,,,,yes,,,,,,,,,
"LINESTRING (457315.325242955 340016.954590397,457320.612091944 340018.174370795,457327.885380343 340019.595734386,457359.478262007 340025.822752049)",pedestrian,Maypole Yard,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (457160.007597793 340014.72539201,457163.954683747 340015.606508034,457167.38261458 340014.935021,457176.384845839 339999.142990414,457178.099017801 339999.074268753,457182.023730308 340001.27908607)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (457127.605364933 340065.564655394,457119.020673557 340053.447476107,457117.228559963 340048.174989616,457116.747633839 340042.250464116,457116.150753673 340034.766978496,457115.577193415 340027.584160997)",tertiary,Market Street,asphalt,,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (457115.577193415 340027.584160997,457114.061304533 340034.753406706,457112.00400608 340041.115207605,457110.322478027 340045.24519693,457109.136064378 340047.278292499,457106.767420766 340049.853698148,457104.909981226 340051.244702832,457100.485242106 340054.396597508,457095.208867189 340056.270110194)",tertiary,Market Street,asphalt,,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (457043.136923005 340050.003284244,457044.741682497 340040.988211478,457047.508006448 340028.059502662,457049.20825804 340018.355769287)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (457548.841156478 340100.2464932,457543.183180687 340101.992591087,457538.702519378 340102.484389873,457528.846554242 340102.990070391,457514.669904009 340105.224444513)",unclassified,Lower Parliament Street,,,,,yes,,,,,,,,,,,,no,,,,
"LINESTRING (457514.669904009 340105.224444513,457527.870904275 340106.494162544,457531.824835908 340107.353412543)",unclassified,Upper Parliament Street,,,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (457495.400716987 340104.038311613,457514.669904009 340105.224444513)",unclassified,Lower Parliament Street,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (457495.400716987 340104.038311613,457480.555489283 340103.171897512)",unclassified,Lower Parliament Street,,,,,,,yes,,,,,yes,,,,,no,,,,
"LINESTRING (457477.560672126 340045.405240856,457481.057190508 340033.887277638)",service,,,,,parking_aisle,,private,,,,,,,,,,,,,,,
"LINESTRING (457459.92677124 340080.708605257,457464.427405702 340058.199297948,457472.303737016 340055.23341902,457475.324684019 340051.497754402,457477.560672126 340045.405240856)",service,,,,,parking_aisle,,private,,,,,,,,,,,,,,,
