WKT,highway,name,surface,maxspeed,lit,service,oneway,access,foot,sidewalk,ref,lcn,lanes,bicycle,est_width,cycleway,layer,segregated,motor_vehicle,addr:postcode,bridge,abutters,traffic_calming
"LINESTRING (454992.473360663 338884.550080813,454992.60012251 338883.45009521,454992.868123581 338882.340590781,454998.518663397 338855.291953315,455015.794017828 338807.148088761,455055.487490016 338714.95766882,455078.750954962 338688.154232733,455097.471236233 338670.800330551,455112.649836045 338659.925685556,455127.092712413 338652.869881268,455137.040714225 338647.465061148,455162.18873115 338640.520336175)",cycleway,,asphalt,,yes,,,,yes,,,,,,3,,,no,,,,,
"LINESTRING (454834.172443835 338976.317572086,454841.316778035 338970.935983267,454866.530877974 338947.914114105,454869.139596622 338945.440479553,454872.200548987 338942.793971192,454895.921696678 338923.437855113,454907.088768542 338910.625689411,454916.983131561 338898.633505174,454922.119892662 338893.106846454,454929.818854165 338883.292600655,454939.329607268 338873.13181423,454946.05319983 338865.175597795,454958.208338197 338848.236080271,454964.024296527 338839.134765765,454976.94253025 338820.702023434,455001.332545378 338773.362184111,455015.421366172 338741.269582702,455018.531089269 338731.403250446,455017.769596107 338724.49675596,455014.314062053 338717.503976296)",service,East Road,,15 mph,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (455512.910089796 338782.202345207,455521.961020075 338770.657834706,455532.968628889 338753.183647025,455551.598610832 338722.757919564,455560.173476748 338707.625580109,455568.979898373 338693.986740817,455583.715601605 338674.374910147,455601.268942978 338654.050115707,455626.673822438 338630.099783145,455643.792347612 338615.466419004,455662.437775876 338600.149783851,455675.174789092 338590.739596473,455673.294553706 338586.512484404,455671.159405453 338581.659406747,455669.901814957 338578.807909235)",cycleway,,asphalt,,yes,,,,yes,,,,,,1,track,,,,,,,
"LINESTRING (455558.706801499 338697.818238984,455584.620104651 338667.020194238,455598.822158752 338652.330891943,455617.346786115 338635.221483562,455625.513051718 338627.594303397,455642.045212485 338612.520289845,455654.501966169 338601.760631458,455657.386955168 338594.606736051)",tertiary,Lenton Lane,asphalt,,yes,,yes,,yes,,,,,,,,,,,,,,
"LINESTRING (455546.029181182 338719.066995028,455554.884865416 338704.060254056,455558.706801499 338697.818238984)",tertiary,Lenton Lane,asphalt,,yes,,,,yes,,,,,,,,,,,,,,
"LINESTRING (455528.139029047 338742.425390767,455536.063930039 338726.529006966,455552.90392109 338696.894886429,455566.103311838 338677.62136727,455578.649261046 338660.242840008,455592.069043233 338645.199632712,455610.756166448 338627.402283454,455624.244812594 338613.984285782)",cycleway,,asphalt,,yes,,,,yes,,,yes,,yes,,track,,,,,,,
"LINESTRING (455626.925593067 338616.395998813,455612.114512194 338629.676395641,455596.994016922 338644.154838065,455584.280766642 338658.538622148,455574.158466182 338671.46139817,455568.099560357 338681.115484202,455558.706801499 338697.818238984)",tertiary,Lenton Lane,asphalt,,yes,,yes,,yes,,,,,,,,,,,,,,
"LINESTRING (455592.115053621 338545.926869879,455648.452508964 338587.216650057,455660.893278933 338576.100805463,455617.058604126 338542.84271034)",service,,,,,parking_aisle,yes,,,,,,,,,,,,,,,,
"LINESTRING (455626.925593067 338616.395998813,455624.244812594 338613.984285782,455612.382579555 338602.866898368,455604.1753157 338594.7732248,455591.905179677 338584.051718159,455573.354438211 338571.266571451,455501.470973629 338521.733172324,455487.854381717 338512.342673072,455482.739713997 338508.823930502,455480.361419413 338506.983174259)",unclassified,Willow Road,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455425.965144633 338780.403687457,455423.588143947 338776.115350846,455419.625763994 338770.006502208,455405.589453529 338752.133744052,455400.049798058 338743.49246262,455407.582662099 338738.894937374,455412.536275857 338735.925565535,455416.025221092 338732.91715804,455417.645194089 338729.375553103,455418.204743613 338725.120883199,455416.82063007 338720.398910923,455389.431536615 338675.404840997,455384.559550209 338667.138373039)",residential,The Friary,,,,,,,,,,,,,,,,,,NG7 2PB,,,
"LINESTRING (455377.915733434 338714.979982558,455384.143069544 338727.545306814,455384.420189736 338745.594115405)",service,,,,,,,private,,,,,,,,,,,,,,,
"LINESTRING (455389.431536615 338675.404840997,455382.952127682 338679.558316378)",residential,The Friary,,,,,,,,,,,,,,,,,,NG7 2PB,,,
"LINESTRING (455384.559550209 338667.138373039,455380.920732863 338660.933136599,455380.825709461 338657.494255164,455382.168547041 338651.156952706)",service,The Friary,,,,parking_aisle,,,,,,,,,,,,,,NG7 2PB,,,
"LINESTRING (455343.868685991 338723.167890121,455351.303795875 338722.997124697,455360.540597173 338722.780248913)",residential,Priory Mews,,,,,,,,,,,,,,,,,,NG7 2PE,,,
"LINESTRING (455317.029678299 338710.511363341,455316.504339095 338702.973360646)",residential,Priory Street,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455342.842613395 338663.678994048,455329.215631746 338664.602196503,455315.515500182 338665.457847133)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455328.606691712 338655.561287942,455329.215631746 338664.602196503)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455329.145093187 338643.752125047,455328.716777057 338649.465751271,455328.606691712 338655.561287942)",residential,Nazareth Road,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455397.587982445 338609.356939694,455405.633267399 338601.116102054,455417.496909352 338589.870645503,455424.087420242 338583.660262446,455437.950606583 338566.263101022,455482.739713997 338508.823930502)",cycleway,,,,,,,,yes,,,,,,,track,,,,,,,
"LINESTRING (455293.013146432 338704.328957113,455298.06087045 338727.794830206,455301.870046598 338730.274896206)",cycleway,,asphalt,,yes,,,,yes,,,yes,,,1.25,track,,yes,,,,,
"LINESTRING (455293.013146432 338704.328957113,455316.504339095 338702.973360646,455327.015820512 338702.370485776)",residential,Priory Street,,20 mph,,,,,,,,,,,,,,,,,,,
"LINESTRING (455264.864585783 338693.916232074,455281.415395624 338692.959528929)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (455278.277183689 338651.191746762,455281.415395624 338692.959528929,455282.561263506 338705.0104662)",residential,Nazareth Road,asphalt,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455197.84842695 338711.262982087,455282.561263506 338705.0104662,455293.013146432 338704.328957113)",residential,Priory Street,asphalt,20 mph,yes,,,,,,,yes,,,,,,,,NG7 2NX,,,
"LINESTRING (455242.235736529 338653.327530532,455233.964771816 338656.05891535,455229.100217532 338658.295201579,455227.003992102 338662.354327146,455226.305505133 338667.019073662,455228.028588921 338677.38550701,455230.43528084 338679.682610623,455233.753005651 338680.477050744,455240.850304645 338679.289830639,455243.266989886 338677.770995411,455244.68420272 338675.495329083,455245.377315604 338673.066756604,455242.235736529 338653.327530532)",service,Nazareth Court,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455345.891685519 338646.257923922,455329.145093187 338643.752125047,455304.35231456 338639.596758794,455302.739317088 338641.358393728,455296.306226469 338648.516410269,455288.692274661 338650.799069649,455282.681310424 338651.019594903,455278.277183689 338651.191746762,455271.382445276 338648.765428374,455265.082775023 338648.960423855,455262.726205571 338649.33400519,455257.858381252 338650.090528808,455248.524537439 338651.730563366,455242.235736529 338653.327530532)",residential,Nazareth Road,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455260.957651099 338639.423186069,455262.726205571 338649.33400519)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455169.854983367 338620.693107437,455173.441076029 338619.766109793,455177.108191199 338618.806662893,455183.927866419 338618.984630072,455195.981496404 338615.183790133,455225.602971385 338605.553584292,455235.244396723 338602.882343264,455254.317015512 338598.88370573,455269.153069632 338596.271903431,455281.4716215 338594.588155768,455298.307181017 338593.445626368,455308.594336056 338593.084903277,455323.581304444 338593.734777143,455336.924346658 338595.322677489)",service,,,,,,,private,,,,,,,,,,,,,,,
"LINESTRING (455193.527781094 338711.781055055,455197.84842695 338711.262982087)",residential,Priory Street,asphalt,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455191.429422934 338703.668834222,455196.159239072 338702.6325306,455197.84842695 338711.262982087)",cycleway,,asphalt,,yes,,,,yes,,,yes,,yes,1.25,track,,no,,,,,
"LINESTRING (455207.356426392 338769.691618241,455202.977149043 338751.217719244,455200.160890776 338739.470370862,455193.527781094 338711.781055055,455191.429422934 338703.668834222,455183.905796982 338673.32149135,455177.622766348 338649.09624086,455175.672182239 338641.575368542,455174.882939918 338638.885107366)",primary,Abbey Street,asphalt,30 mph,,,no,yes,,,A6005,,,,,,,,yes,,,mixed,
"LINESTRING (455183.376277151 338706.169154327,455191.429422934 338703.668834222)",cycleway,,asphalt,,yes,,,,yes,,,yes,,yes,1.25,track,,yes,,,,,
"LINESTRING (455176.062175091 338676.892267386,455181.568330878 338700.875013705,455183.376277151 338706.169154327)",cycleway,,asphalt,,yes,,,,yes,,,,,yes,4.5,track,,yes,,,,,
"LINESTRING (455174.030208571 338668.847566291,455176.062175091 338676.892267386)",cycleway,,asphalt,,yes,,,,yes,,,yes,,,4.5,track,,yes,,,,,
"LINESTRING (455183.905796982 338673.32149135,455182.020902398 338674.178893792,455178.392995753 338675.828567003,455176.062175091 338676.892267386,455174.006999773 338677.947989146,455167.345085136 338681.621269808,455163.182880524 338684.154900143,455160.341712843 338686.948368243,455143.731984592 338699.553248864)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455167.345085136 338681.621269808,455163.813968902 338670.077174082,455160.954780667 338652.065686983,455167.82489171 338650.764511615,455169.374674619 338650.415054009,455177.622766348 338649.09624086)",service,,,,,drive-through,,,,,,,,,,,,,,,,,
"LINESTRING (455162.18873115 338640.520336175,455167.541991524 338643.162543423,455169.374674619 338650.415054009,455174.030208571 338668.847566291)",cycleway,,asphalt,,yes,,,,yes,,,,,,1.25,track,,no,,,,,
"LINESTRING (455157.778036538 338626.540844219,455162.18873115 338640.520336175)",cycleway,,,,,,,,yes,,,,,,1.25,,1,no,,,yes,,
"LINESTRING (455174.882939918 338638.885107366,455171.031437391 338624.78960364,455170.554086843 338623.037447425)",primary,Abbey Street,asphalt,30 mph,,,no,yes,,,,,,,,,1,,yes,,yes,mixed,
"LINESTRING (455162.732698027 338616.996038682,455158.366016021 338622.720368923,455157.778036538 338626.540844219)",cycleway,,asphalt,,yes,,,,yes,,,,,,1.25,,,no,,,,,
"LINESTRING (455150.349147976 338583.734047482,455153.323022528 338591.110823797,455157.329991686 338599.244799139,455162.732698027 338616.996038682)",cycleway,,asphalt,,yes,,,,yes,,,,,,1.25,,,no,,,,,
"LINESTRING (455272.641537321 338566.851361106,455277.028791773 338583.445195084,455284.895788858 338581.376794562)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455310.073883539 338557.166338654,455299.920323445 338559.942829837,455297.736394587 338560.496378156,455288.360621354 338562.847893624,455272.641537321 338566.851361106,455193.776702224 338586.955388464)",residential,Cloister Street,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455162.520312454 338596.144365634,455166.101097914 338595.094920849,455193.776702224 338586.955388464,455199.764828366 338571.670516621,455201.743685791 338566.119217798,455203.440731633 338558.172712087,455203.72701974 338552.524209569,455202.810891891 338547.996782242,455200.849586867 338543.768936603,455197.700963622 338539.928055404,455182.484673077 338524.612505882,455175.033141548 338517.362619126,455168.223938516 338509.775182236,455141.40087971 338482.61215602,455137.374323552 338484.435323784)",residential,Dunkirk Road,,,,,,,,,,,,,,,,,,NG7 2PH,,,
"LINESTRING (455170.554086843 338623.037447425,455169.854983367 338620.693107437,455162.520312454 338596.144365634,455150.257226106 338555.262761673,455141.19033908 338528.769582286,455130.201377152 338502.254505419)",primary,Abbey Street,asphalt,30 mph,yes,,no,yes,,,A6005,,,,,,,,yes,,,mixed,
"LINESTRING (455014.314062053 338717.503976296,455020.627416512 338715.506475156,455025.085961594 338713.498996326,455030.358712318 338708.452394301,455039.422647012 338694.492906277,455050.749070737 338678.389718654,455059.204687401 338668.873551667,455102.181140886 338633.772612407,455110.933247733 338626.562897816,455117.944771165 338618.754826909,455122.859676782 338608.56424772,455125.111691115 338597.909414336,455124.720689886 338590.350720091)",service,Lister Road,,,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (455125.377074245 338564.61372445,455124.05913463 338575.868860632,455124.349215318 338582.258223121,455124.720689886 338590.350720091)",unclassified,Harvey Road,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455047.114828231 338580.844199649,455055.075456563 338581.758133908,455067.309181592 338585.746894181,455074.379832 338586.316957795,455106.254987727 338588.871899412,455124.720689886 338590.350720091)",service,,,,,,,,,,,,,,,,,,delivery,,,,
"LINESTRING (455014.314062053 338717.503976296,455010.820026504 338713.303269058,455001.617232611 338702.262166211,454963.785732342 338658.542486254,454962.040134592 338656.609050594,454944.105238275 338635.055308142,454929.041022978 338616.960911729,454928.179048003 338615.927570251,454924.415808693 338611.746121429,454912.171457917 338596.854590817,454901.229992829 338576.715515829,454893.586893756 338557.303698589,454891.029687055 338554.037138131,454887.497330032 338551.415914205,454882.631707621 338548.423541328)",service,South Road,,15 mph,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (455031.709575887 338472.272815523,455040.719078461 338470.21702038,455047.955984132 338469.186858977,455055.890029781 338468.910057127,455067.129039213 338469.382943086,455076.238504262 338470.94414888,455086.128272625 338473.03716215,455091.755642649 338475.827035537,455097.701394449 338479.577339331,455103.226428705 338484.858178638,455108.993885064 338491.276591717,455115.848089533 338500.822548926,455127.641274681 338525.778061728,455135.241522716 338545.334407809,455139.850033411 338559.661022473,455146.509247669 338578.038475809,455150.349147976 338583.734047482)",cycleway,,,,,,,,no,,,,,,2.5m,,,,,,,,
"LINESTRING (454960.306525945 338564.347612587,454962.945962257 338571.6092089,455000.406545015 338574.738723278,455000.459695711 338570.066606914,454998.526370239 338565.727909393,454997.72962963 338556.00626183,454998.376205211 338547.024192185)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
