WKT,highway,noname,name,surface,maxspeed,ref,lanes,oneway,service,bridge,layer
"LINESTRING (-7017202.22335962 -2907343.27689709,-7017155.1822937 -2907301.09523821,-7017092.18149121 -2907257.53666329,-7016974.64602444 -2907200.09534114,-7016888.48670257 -2907149.02768111,-7016841.6229913 -2907132.5294867)",track,yes,,,,,,,,,
"LINESTRING (-7018994.97926903 -2906716.51279088,-7019004.46198501 -2906727.61762246,-7019070.2457554 -2906864.65855623,-7019041.14025547 -2906890.11613523,-7019086.64934275 -2906998.08193896,-7019144.20500535 -2907136.24725218)",track,yes,,,,,,,,,
"LINESTRING (-7017092.18149121 -2907257.53666329,-7017001.7411271 -2906907.60125792)",track,yes,,,,,,,,,
"LINESTRING (-7018854.28459199 -2906589.81246709,-7018723.62215198 -2906644.77651529,-7018543.76771076 -2906706.59985122)",track,yes,,,,,,,,,
"LINESTRING (-7017846.80920905 -2906643.37678909,-7017911.99029798 -2907047.87526739,-7017956.60806995 -2907243.67956715,-7017987.99500144 -2907365.56337601)",track,yes,,,,,,,,,
"LINESTRING (-7018128.25972433 -2906567.21824657,-7017964.24299542 -2906615.03017552,-7017846.80920905 -2906643.37678909,-7017787.84986522 -2906656.78058086,-7017522.76323197 -2906761.43771739)",track,yes,,,,,,,,,
"LINESTRING (-7018128.25972433 -2906567.21824657,-7018136.62920118 -2906586.65612095,-7018139.3661459 -2906609.75619225,-7018152.64647386 -2906671.64261648,-7018166.14658747 -2906691.04301421,-7018187.30322116 -2906702.6336383,-7018217.67157915 -2906711.07852627,-7018269.11525768 -2906720.86832919,-7018281.48905833 -2906726.90963414,-7018290.34839384 -2906742.74806396,-7018298.15757704 -2906755.51596238,-7018317.2026005 -2906760.99031917,-7018337.74978255 -2906760.79080228,-7018371.07316926 -2906752.76822886,-7018399.74268729 -2906752.67416835)",track,yes,,,,,,,,,
"LINESTRING (-7018778.81719988 -2906395.97715357,-7018989.87785481 -2906314.82669411)",track,yes,,,,,,,,,
"LINESTRING (-7019258.21286159 -2906265.50290961,-7019017.49347972 -2906365.42172906)",track,yes,,,,,,,,,
"LINESTRING (-7018683.48101528 -2906139.0447616,-7018778.81719988 -2906395.97715357,-7018854.28459199 -2906589.81246709,-7018863.6951652 -2906613.99081078,-7018896.45757253 -2906664.54225257,-7018936.31922 -2906705.76957985,-7018959.53494299 -2906718.40088386,-7018994.97926903 -2906716.51279088,-7019048.61982822 -2906677.46261277,-7019099.852294 -2906656.41972975,-7019130.13617851 -2906654.59970045,-7019200.75978364 -2906820.88716578,-7019227.02812612 -2906897.69708351)",track,yes,,,,,,,,,
"LINESTRING (-7018897.75757991 -2906046.30025149,-7018946.42831313 -2906207.8810605,-7018989.87785481 -2906314.82669411,-7019017.49347972 -2906365.42172906,-7019063.07869833 -2906548.90349161)",track,yes,,,,,,,,,
"LINESTRING (-7019605.6680585 -2906417.30703846,-7019742.0803645 -2906384.13833874,-7019914.27371528 -2906324.93820902,-7020017.85094376 -2906296.19217653,-7020043.74967558 -2906294.3581642,-7020068.18548529 -2906292.63662161,-7020125.83603152 -2906305.43372309,-7020176.67550754 -2906303.41069792)",track,yes,,,,,,,,,
"LINESTRING (-7019200.75978364 -2906820.88716578,-7019471.10194977 -2906697.05234897,-7019689.71036065 -2906592.72130321,-7019817.24931394 -2906538.58078724,-7019854.72242252 -2906602.95477251,-7020019.61675255 -2906527.38108748,-7020033.80903085 -2906503.61400573,-7019997.90679138 -2906443.83665049,-7020138.19563435 -2906376.73836265,-7020176.67550754 -2906303.41069792,-7020251.25394972 -2906245.13033768,-7020266.44336732 -2906214.15402173,-7020226.60840395 -2906112.81108536,-7020277.35662814 -2906095.36175477,-7020281.78394388 -2906086.35781897)",track,yes,,,,,,,,,
"LINESTRING (-7019232.42778957 -2906185.09433187,-7019480.48693434 -2906106.66943201)",track,yes,,,,,,,,,
"LINESTRING (-7019422.46756759 -2905917.77161249,-7019480.48693434 -2906106.66943201,-7019605.6680585 -2906417.30703846)",track,yes,,,,,,,,,
"LINESTRING (-7022682.20881574 -2904702.96054199,-7022744.41227023 -2904703.88818928,-7022777.27983089 -2904699.447057,-7022804.11473662 -2904712.54419767,-7022834.5028781 -2904720.98502748,-7022890.50409337 -2904718.88605214,-7022918.7673914 -2904716.02925959,-7022942.9587923 -2904721.46187697,-7022978.00372708 -2904733.44137129,-7023005.85753475 -2904744.48187373,-7023051.61387162 -2904747.61498316,-7023070.84217038 -2904773.65258269,-7023123.05481391 -2904875.91815137,-7023136.49568421 -2904885.05024915,-7023186.84241577 -2904881.46439784,-7023256.36026254 -2904898.77545771,-7023316.0268457 -2904902.28548992,-7023358.23775955 -2904910.09453387)",track,,Rose Hill,,,,,,,,
"LINESTRING (-7019145.68430272 -2905946.8105857,-7019232.42778957 -2906185.09433187,-7019258.21286159 -2906265.50290961)",track,yes,,,,,,,,,
"LINESTRING (-7012293.25261484 -2902127.2567712,-7012245.8836567 -2902165.25389756,-7012135.87671252 -2902209.99098318,-7012102.54417684 -2902212.88394729,-7012041.46694019 -2902149.86058609,-7011995.24256337 -2902166.55719753,-7011939.10341395 -2902186.83181985,-7011899.10348429 -2902255.49584557,-7011878.21430917 -2902274.68084295,-7011853.92749311 -2902253.88284063,-7011845.83807225 -2902205.22716209)",track,yes,,,,,,,,,
"LINESTRING (-7012892.59792245 -2900699.37755952,-7012855.09184394 -2900699.15487783,-7012513.65561954 -2900689.24796986,-7012466.03902636 -2900699.96479463)",track,yes,,,,,,,,,
"LINESTRING (-7012466.03902636 -2900699.96479463,-7012480.27616227 -2900763.7811117,-7012486.70799578 -2900792.57813028)",track,yes,,,,,,,,,
"LINESTRING (-7012299.62297124 -2900778.02412155,-7012421.83462258 -2900728.62707429,-7012466.03902636 -2900699.96479463)",track,yes,,,,,,,,,
"LINESTRING (-7012046.9807306 -2900956.45502205,-7012025.37482394 -2900939.23329722,-7012005.32805122 -2900918.33237959,-7011993.53346882 -2900887.5444211,-7011983.31062506 -2900851.65581485,-7011954.15222911 -2900840.52772816,-7011937.56131194 -2900829.64975257)",track,,,,,,,,,,
"LINESTRING (-7011999.48199829 -2900993.006095,-7011973.50810758 -2900991.80874918,-7011952.10805978 -2900980.2049473,-7011936.41083409 -2900965.28118157,-7011926.91388364 -2900942.2452778,-7011910.9722414 -2900820.88148694)",track,,,,,,,,,,
