WKT,highway,noname,name,surface,maxspeed,ref,service,oneway,lanes,tracktype,smoothness,source_1
"LINESTRING (-7009506.66446532 -2940269.93065112,-7009466.83322728 -2940284.34668403,-7009428.53793635 -2940298.28326056,-7009366.37270095 -2940315.03961083,-7009336.86052222 -2940317.88560749,-7009327.04889113 -2940318.81188577,-7009297.41111801 -2940303.09357138,-7009277.22902953 -2940299.91001123,-7009237.90693865 -2940306.53024269,-7009195.69800492 -2940300.31689686,-7009177.17134555 -2940273.66275224,-7009155.48506509 -2940247.58731526,-7009119.5653424 -2940240.18643262,-7009105.04182573 -2940215.51662864,-7009115.70078995 -2940191.86462344,-7009123.48769001 -2940168.22243551,-7009112.22043637 -2940130.52323602,-7009096.54503808 -2940105.28067754,-7009062.36854187 -2940105.89645463,-7009023.23458341 -2940122.96627918,-7008969.52585182 -2940140.69104361)",track,yes,,,,,,,,,,
"LINESTRING (-7007466.40852696 -2940187.50957405,-7007499.64736119 -2940153.9793611,-7007533.42461746 -2940121.98740398,-7007557.99691935 -2940103.37799726,-7007586.67430224 -2940086.8197004,-7007614.3575728 -2940077.44105369,-7007650.79510966 -2940073.66052746,-7008120.24517942 -2939994.35563955)",track,yes,,,,,,,,,,
"LINESTRING (-7006939.82967285 -2940852.34091983,-7007810.24471444 -2941024.92611542,-7008326.31706446 -2941122.46886166,-7008479.26488914 -2941150.7865966,-7008527.90053973 -2941154.58054804)",track,yes,,unpaved,,,,,,,,
"LINESTRING (-7007966.29562874 -2941412.93516076,-7007914.15191016 -2941277.44660278,-7007810.24471444 -2941024.92611542,-7007612.27503395 -2940540.53341781,-7007585.8318034 -2940475.85834916,-7007584.73208342 -2940447.11814472,-7007585.17763195 -2940428.11871993,-7007566.11024272 -2940402.04337176,-7007540.33610009 -2940366.25482574,-7007516.6028011 -2940326.33326258,-7007502.15807945 -2940298.69238035,-7007489.71370494 -2940256.66786239,-7007482.41711431 -2940224.88467315,-7007466.40852696 -2940187.50957405)",track,yes,,,,,,,,,,
"LINESTRING (-7006939.82967285 -2940852.34091983,-7007107.46461326 -2941288.59653971,-7007237.49068121 -2941603.47728728)",track,yes,,,,,,,,,,
"LINESTRING (-7007612.27503395 -2940540.53341781,-7007293.6081699 -2940653.52869464,-7006803.4434032 -2940827.89728439)",track,yes,,,,,,,,,,
"LINESTRING (-7007107.46461326 -2941288.59653971,-7006654.96438573 -2941498.7341716)",track,yes,,,,,,,,,,
"LINESTRING (-7007157.13390348 -2940228.7705555,-7007293.6081699 -2940653.52869464)",track,yes,,,,,,,,,,
"LINESTRING (-7006263.59267162 -2940715.91840371,-7006422.74421685 -2940754.40016577,-7006803.4434032 -2940827.89728439,-7006939.82967285 -2940852.34091983)",track,yes,,,,,,,,,,
"LINESTRING (-7008800.04210087 -2938094.22307621,-7008801.19473829 -2938118.3007864,-7008808.49975693 -2938155.23167061,-7008818.34975178 -2938184.43451867,-7008839.08528101 -2938245.91152852,-7008920.8844647 -2938452.86238036,-7008953.47036359 -2938529.17615223,-7008996.95777662 -2938637.75971601,-7009026.42894179 -2938704.84286798,-7009037.8492139 -2938743.80170877,-7009043.48200667 -2938764.41398487,-7009045.12049877 -2938770.45727992,-7009048.01297723 -2938781.40365343,-7009037.15143979 -2938794.02047868)",track,yes,,,,,,,,,,
"LINESTRING (-7008456.14943104 -2938757.58640786,-7008350.02651806 -2938274.22791175)",track,yes,,,,,,,,,,
