WKT,highway,noname,name,surface,maxspeed,ref,lanes,oneway,service,bridge,layer
"LINESTRING (-59.63554 13.2636002,-59.6354423 13.2636634,-59.6354048 13.2637,-59.6353704 13.2637635,-59.6354077 13.2640632,-59.6354224 13.2642315,-59.6354865 13.2646648,-59.6355084 13.2647687,-59.6355503 13.2651996,-59.6355568 13.2652644,-59.6356437 13.2658991,-59.6356942 13.2664554,-59.6357395 13.2667351)",residential,,Sugar Cane Club Road,,,,,,,,
"LINESTRING (-59.6382243 13.2663761,-59.6380751 13.2653351,-59.6380031 13.2648362,-59.6377895 13.263181,-59.6378073 13.2631344,-59.6378516 13.2631083,-59.638852 13.2630052,-59.638903 13.263017,-59.6389375 13.2630591,-59.6391679 13.2646839,-59.6392264 13.2651066)",residential,,Coral Cliff,,40,,,,,,
"LINESTRING (-59.6355568 13.2652644,-59.6346146 13.2653981)",residential,yes,,,,,,,driveway,,
"LINESTRING (-59.6376041 13.2661353,-59.6375834 13.2661915,-59.6375284 13.266215,-59.6370378 13.2662672,-59.6356942 13.2664554)",residential,,1st Avenue Sunset Heights,,40,,,,,,
"LINESTRING (-59.6350247 13.2659457,-59.635069 13.266403)",service,yes,,,,,,,driveway,,
"LINESTRING (-59.6405063 13.2445087,-59.6406728 13.2455745)",residential,yes,,,,,,,,,
"LINESTRING (-59.6400483 13.2462904,-59.6405663 13.2460639)",residential,yes,,,,,,,,,
"LINESTRING (-59.6405663 13.2460639,-59.6405911 13.2461253,-59.6406139 13.2462793,-59.6406155 13.2465976)",residential,,,,,,,,,,
"LINESTRING (-59.6407092 13.252593,-59.6405381 13.2527004,-59.640184 13.2527342,-59.6399754 13.2527998,-59.6398429 13.2528252,-59.6389966 13.2531089)",residential,yes,,asphalt,,,,,,,
"LINESTRING (-59.640708 13.2571911,-59.6407571 13.2580365)",residential,,4th Ave North Drive,asphalt,,,,,,,
"LINESTRING (-59.5896485 13.2703098,-59.5897257 13.2702681,-59.5902407 13.2703098,-59.5905926 13.2703767,-59.5908758 13.2704017,-59.5910647 13.2703934)",track,yes,,,,,,,,,
