WKT,highway,name,surface,noname,oneway,lanes,maxspeed,ref,service,junction,source_1
"LINESTRING (-59.615229 13.1116371,-59.6142665 13.1112639,-59.6141909 13.111235,-59.6141317 13.1112091,-59.6140428 13.1111542)",residential,Taylors Gap,asphalt,,,,,,,,
"LINESTRING (-59.6139735 13.1135016,-59.6141556 13.1135803,-59.6141813 13.1135836,-59.614202 13.1135706)",residential,,,,,,,,,,
"LINESTRING (-59.6143601 13.1132035,-59.614202 13.1135706)",residential,,,,,,,,,,
"LINESTRING (-59.6145965 13.114206,-59.6147896 13.1143331)",service,,,,,,,,driveway,,
"LINESTRING (-59.6147896 13.1143331,-59.6148404 13.1143009,-59.6149005 13.1143079,-59.6149419 13.114351,-59.6149452 13.1144099,-59.6149089 13.1144571,-59.6148499 13.1144705,-59.6147959 13.1144438,-59.6147721 13.1143896,-59.6147896 13.1143331)",service,,,,yes,1,,,,roundabout,
"LINESTRING (-59.6128186 13.1139343,-59.6128807 13.1139707,-59.6129228 13.1139937,-59.6132592 13.1141853,-59.6135939 13.1143607,-59.613961 13.1145445,-59.614461 13.1147917)",residential,,,yes,,,,,,,
"LINESTRING (-59.6143962 13.1150582,-59.6137057 13.1151004)",residential,,,,,,,,,,
"LINESTRING (-59.6141981 13.116286,-59.6134606 13.1154491)",residential,,,,,,,,,,
"LINESTRING (-59.6152032 13.1156842,-59.6147752 13.1162938)",residential,,,,,,,,,,
"LINESTRING (-59.6148124 13.1133772,-59.6146683 13.1139178,-59.6146301 13.114061,-59.6145965 13.114206,-59.614461 13.1147917,-59.6143962 13.1150582,-59.6142451 13.1158644,-59.61423 13.1160524,-59.6141981 13.116286,-59.6140818 13.1172935,-59.6140066 13.11765,-59.6139081 13.1180055,-59.613898 13.1180308,-59.6138298 13.1182008,-59.6137436 13.118355,-59.6134727 13.1187523)",primary,Tudor Bridge,asphalt,,no,2,60,,,,
"LINESTRING (-59.6151621 13.1188711,-59.6147625 13.118471,-59.6145258 13.1182688,-59.6141729 13.1181209,-59.613898 13.1180308)",residential,,,,,,,,,,
"LINESTRING (-59.6124194 13.1191018,-59.6118628 13.1195357,-59.6118415 13.1195411,-59.6118172 13.119536,-59.61176 13.1194846,-59.6115693 13.1192776,-59.6113925 13.1191024,-59.6113559 13.1190661,-59.6112015 13.1189246,-59.6110893 13.1188526,-59.6110365 13.118825,-59.6108734 13.1187718,-59.6107327 13.1187574,-59.6105909 13.1187677,-59.6104364 13.1188178,-59.6102046 13.1189766,-59.6101531 13.1190352,-59.6101182 13.1190602,-59.6100668 13.1190726,-59.6098782 13.1190808,-59.6096417 13.1190534,-59.6091865 13.1189747)",residential,Accomodation Road,,,,,,,,,
"LINESTRING (-59.6144044 13.118974,-59.614233 13.1191941,-59.614183 13.1193311,-59.6141876 13.1194372,-59.614124 13.1195544,-59.6139652 13.1197245)",residential,,,,,,,,,,
"LINESTRING (-59.614841 13.119378,-59.613985 13.1201653)",residential,,,yes,,,,,,,
"LINESTRING (-59.6152146 13.119711,-59.6144997 13.1204025,-59.614309 13.1204115,-59.613807 13.1207337)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6134316 13.1208254,-59.6129796 13.1209148,-59.6121167 13.1213201,-59.6120615 13.1213156,-59.6118708 13.121018,-59.6117858 13.1209956,-59.6116451 13.1209804,-59.6115984 13.1209524,-59.6115447 13.1208408)",residential,Derriston Road,asphalt,,yes,,,,,,
"LINESTRING (-59.6144997 13.1204025,-59.6145411 13.1206151,-59.614502 13.12068,-59.613564 13.1212308)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.614461 13.1210161,-59.6139689 13.1212619,-59.6136985 13.1214243)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6134544 13.1210034,-59.613251 13.121128,-59.612514 13.1217185,-59.6124591 13.1217655)",residential,1st Avenue Grazettes Main Road,asphalt,,,,,,,,
"LINESTRING (-59.6148926 13.121548,-59.6146917 13.1212643)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6146347 13.12182,-59.6143593 13.1215685)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6130244 13.1223765,-59.6129761 13.1223697,-59.6127096 13.1219579,-59.612514 13.1217185)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6138913 13.1217022,-59.6136012 13.1218953,-59.6130244 13.1223765)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6134727 13.1187523,-59.6135456 13.119334,-59.6135238 13.1198085,-59.613472 13.1202648,-59.6134336 13.1207241,-59.6134316 13.1208254,-59.6134381 13.1209148,-59.6134544 13.1210034,-59.6135045 13.1211145,-59.613564 13.1212308,-59.6136039 13.1212974,-59.6136985 13.1214243,-59.6138913 13.1217022,-59.6139578 13.1218009,-59.6142742 13.1222405,-59.6146977 13.122809,-59.6147591 13.1228984,-59.6148102 13.1229907)",tertiary,Grazettes Main Road,asphalt,,,2,,,,,
"LINESTRING (-59.6134727 13.1187523,-59.6133452 13.1188675,-59.6126972 13.1193559,-59.6125862 13.1194501,-59.6123915 13.1196287,-59.6121811 13.1198952,-59.6120099 13.1201475,-59.6118386 13.120514,-59.6117656 13.1206379,-59.6116329 13.1207681,-59.6115447 13.1208408,-59.6112349 13.1209433,-59.6110141 13.1209858,-59.6108178 13.1210747,-59.6104397 13.1213105,-59.6103984 13.1213404,-59.6101105 13.1215485,-59.6098922 13.1217264,-59.6098668 13.1217471,-59.6096771 13.12191,-59.6094173 13.1221474,-59.6093475 13.1222181,-59.6091474 13.1224358,-59.6090629 13.1225309,-59.6088738 13.1227404,-59.6085504 13.1231057,-59.6084325 13.1232389,-59.6079725 13.1237372,-59.6076126 13.1241417,-59.6075918 13.1241676,-59.6074866 13.1242984,-59.6073326 13.1244898,-59.6071993 13.1246996,-59.6071202 13.1248496,-59.6070982 13.1249011,-59.6070591 13.1249929,-59.606999 13.1251639,-59.6069461 13.1253339,-59.6068989 13.1255465,-59.6068017 13.1258619,-59.6065969 13.1264707,-59.6065615 13.1266222)",primary,Spooners Hill Main Road,asphalt,,,2,60,H2,,,
"LINESTRING (-59.6132242 13.1329834,-59.6133351 13.1328745,-59.6144329 13.1318347,-59.6146776 13.131604)",residential,White Hall No 3,,,,,,,,,
"LINESTRING (-59.6124832 13.1306827,-59.6119208 13.131175,-59.6118628 13.1312446,-59.6118425 13.131294,-59.6118423 13.1313452,-59.611983 13.1315185,-59.6128535 13.1325904,-59.6132242 13.1329834,-59.6132785 13.1330536,-59.6138073 13.1337377,-59.6139083 13.1338684,-59.6145206 13.1346488)",residential,White Hall No 2,,,,,40,,,,
"LINESTRING (-59.621128 13.1346385,-59.6210076 13.1345408,-59.6205813 13.1342143,-59.6204168 13.1340922,-59.6203298 13.1340418,-59.6202502 13.1340011,-59.6201171 13.1339253,-59.6198268 13.1338239,-59.6195974 13.1337286,-59.6193567 13.133583,-59.6192691 13.1335172,-59.6191211 13.133406,-59.6190832 13.1333739,-59.6190453 13.1333448,-59.6187989 13.1331247,-59.6185656 13.1329901,-59.6183529 13.132878,-59.6181383 13.1327813,-59.617962 13.1327048,-59.6178083 13.1326382,-59.6175991 13.1325855,-59.6174601 13.1325787,-59.6173316 13.1325996,-59.6171656 13.1326797,-59.6169952 13.1328096,-59.6168231 13.1329338,-59.6167548 13.132983,-59.6165647 13.1330793,-59.616468 13.1330948,-59.6163845 13.1330959,-59.6162285 13.1330653,-59.6160168 13.1329679,-59.6159595 13.1329415,-59.6158593 13.132853,-59.6157218 13.1327209,-59.6154566 13.1324377,-59.6153927 13.1323695,-59.6153683 13.1323435,-59.615328 13.1322983,-59.6146776 13.131604,-59.6144253 13.1313838,-59.6141057 13.1312231,-59.613345 13.1309663,-59.613264 13.130939,-59.6127326 13.130777,-59.6124832 13.1306827,-59.6122569 13.1305628,-59.6119615 13.1303287,-59.6116382 13.1300627,-59.6115228 13.1299725,-59.611256 13.1297504,-59.6109426 13.1294995,-59.6103219 13.1290412,-59.6101573 13.128902,-59.6098931 13.1286859,-59.6096354 13.1284924,-59.6095183 13.1284045,-59.6088462 13.1279037,-59.6083871 13.1275736,-59.6079402 13.127215,-59.6072251 13.1266427,-59.6071488 13.1266083,-59.6070798 13.1265858,-59.6069321 13.1265738,-59.6068463 13.1265814)",tertiary,White Hall Main Road,asphalt,,,2,,,,,
"LINESTRING (-59.617633 13.109055,-59.6174708 13.109231,-59.6172308 13.1093695,-59.6171708 13.1094041,-59.6171086 13.1094474,-59.6167945 13.1097605,-59.6167597 13.109785,-59.6167301 13.1097959,-59.6167019 13.109798,-59.616679 13.1097944,-59.6166575 13.109785)",residential,Brewster Road,asphalt,,,,,,,,
"LINESTRING (-59.616836 13.1111088,-59.6177715 13.1103275,-59.6178871 13.1102475,-59.6179715 13.1101998,-59.6180122 13.1101832,-59.6180348 13.1101778,-59.6180941 13.1101703,-59.6181115 13.1101649,-59.6181289 13.1101584,-59.6181485 13.1101465,-59.6181685 13.1101327,-59.6184137 13.1099214,-59.6185381 13.1098312,-59.6185752 13.1098009,-59.618827 13.1095758)",residential,1st Avenue Richmond Gap,,,,,,,,,
"LINESTRING (-59.6157628 13.1102762,-59.6165427 13.1108679,-59.6166627 13.1109602,-59.616836 13.1111088,-59.6170152 13.1112646,-59.6171115 13.1113483,-59.6173764 13.1115733,-59.6176756 13.1118275)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6170152 13.1112646,-59.6167399 13.1117264,-59.6164186 13.1120316)",residential,,,,,,,,,,
"LINESTRING (-59.6202948 13.1072894,-59.6201938 13.1073733,-59.6200897 13.1074868,-59.6195186 13.1081045,-59.618987 13.1087361,-59.6188476 13.1088874,-59.6182681 13.109514,-59.6180182 13.1097563,-59.617799 13.1099421,-59.6174918 13.1101965,-59.6166627 13.1109602,-59.6163104 13.1112187,-59.6161839 13.1113274,-59.6160276 13.1114786,-59.6159489 13.1115863,-59.6157607 13.1118287,-59.6156767 13.1119043,-59.6156097 13.111956,-59.615515 13.1120109,-59.6154076 13.1120637,-59.6152875 13.1121176,-59.6151109 13.1121947)",secondary,President Kennedy Drive,asphalt,,,,,,,,
"LINESTRING (-59.6173472 13.1046547,-59.6173291 13.1047717,-59.6173238 13.1048825,-59.6173355 13.1050545,-59.6173674 13.1053672,-59.6173695 13.1054822,-59.6173578 13.1055785,-59.617344 13.1056344,-59.6173249 13.1056955,-59.6169825 13.1064329,-59.6169367 13.1065593,-59.6168985 13.1066949,-59.6168804 13.106812,-59.6168767 13.1069584,-59.6168676 13.1074396,-59.6168538 13.1075286,-59.6168336 13.1076105,-59.6168028 13.1076933,-59.616522 13.1081697,-59.6164678 13.1082743,-59.6164274 13.108411,-59.6163785 13.1087114,-59.6163466 13.1088118,-59.6163115 13.1089061,-59.6162498 13.1090376,-59.616069 13.1093866,-59.6159351 13.1096372,-59.6158798 13.1097719,-59.6158585 13.109834,-59.6158415 13.1099169,-59.6157628 13.1102762,-59.6156969 13.11053,-59.6156554 13.1106615,-59.6156192 13.1107682,-59.6155278 13.1109991,-59.6154544 13.1111679,-59.615229 13.1116371,-59.6151621 13.1118077,-59.6151109 13.1121947,-59.6150677 13.1124336,-59.6150029 13.112746,-59.6149552 13.1128828,-59.6149328 13.112951,-59.6148868 13.1131127,-59.6148124 13.1133772)",primary,Barbarees Hill,asphalt,,no,2,60,,,,
"LINESTRING (-59.6168551 13.1136241,-59.6159371 13.1132078,-59.6150029 13.112746)",residential,1st Avenue Gills Gap,asphalt,,,,,,,,
"LINESTRING (-59.6150677 13.1124336,-59.6159899 13.1128517,-59.6163372 13.1130191,-59.6170709 13.1134118,-59.617223 13.1135624)",residential,1st Avenue Alkins Lane,asphalt,,,,,,,,
"LINESTRING (-59.61792 13.1128656,-59.6173193 13.1134661,-59.617223 13.1135624,-59.6166829 13.1140523,-59.6166628 13.1141045,-59.616662 13.1141552)",residential,,,yes,,,,,,,
"LINESTRING (-59.617646 13.1128149,-59.617327 13.1131458,-59.6170709 13.1134118,-59.6168551 13.1136241,-59.6164453 13.1140292,-59.6162865 13.1141714,-59.6159205 13.1145072)",residential,Browns Gap,asphalt,,,,,,,,
"LINESTRING (-59.6168797 13.114366,-59.6167032 13.1145221,-59.6162136 13.1148514)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6170953 13.1145861,-59.6163826 13.1150745)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.616662 13.1141552,-59.6168797 13.114366,-59.6168962 13.1143823,-59.6170953 13.1145861,-59.6172591 13.1147376,-59.6173568 13.1148551,-59.617595 13.1151211)",residential,Upper Goodland,,,,,,,,,
"LINESTRING (-59.6173568 13.1148551,-59.6165871 13.1153959)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6159205 13.1145072,-59.6162136 13.1148514,-59.6163518 13.1150281,-59.6163826 13.1150745,-59.6165142 13.1152732,-59.6165871 13.1153959,-59.6167217 13.1155867,-59.6168382 13.1157817)",secondary,Black Rock Road,asphalt,,,2,60,,,,
"LINESTRING (-59.6169291 13.1159692,-59.6166688 13.1162563,-59.6166523 13.1163065,-59.6164668 13.1164852,-59.6165925 13.1166479)",service,,,,,,,,driveway,,
"LINESTRING (-59.6166565 13.1170835,-59.6169361 13.1168405,-59.616981 13.116821,-59.6170212 13.1168203,-59.6170937 13.1168392,-59.6172204 13.1168807)",service,,,,yes,,,,,,
"LINESTRING (-59.6172204 13.1168807,-59.6171492 13.1169684,-59.6168031 13.1172248,-59.6167583 13.1172297,-59.6167135 13.1172203,-59.6166605 13.1171579,-59.6166511 13.1171207,-59.6166565 13.1170835)",service,,,,yes,,,,,,
"LINESTRING (-59.6175841 13.1173377,-59.6169434 13.1178858,-59.6168557 13.1179309,-59.6166608 13.1177126)",service,,,,,,,,,,
"LINESTRING (-59.6173155 13.1191886,-59.6168066 13.1193136)",track,,,,,,,,,,
"LINESTRING (-59.6155266 13.1199852,-59.6168527 13.1187517)",residential,,,yes,,,,,,,
"LINESTRING (-59.617124 13.1190181,-59.6168066 13.1193136,-59.6158129 13.1202389,-59.6152301 13.1207685)",residential,,,yes,,,,,,,
"LINESTRING (-59.6168077 13.1208787,-59.6166402 13.120697,-59.6163781 13.1204126)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6172852 13.1208265,-59.6166489 13.1201806)",residential,Francis Land,asphalt,,,,,,,,
"LINESTRING (-59.6166417 13.1214501,-59.6171136 13.1220567)",residential,Goring Land,asphalt,,,,,,,,
"LINESTRING (-59.6172746 13.1224678,-59.6171675 13.122339,-59.6165359 13.1215408)",residential,Smith Road,,,,,,,,,
"LINESTRING (-59.6148984 13.1230436,-59.6151138 13.1228488,-59.6154513 13.122549,-59.6161488 13.1219032,-59.6164666 13.121597,-59.6165359 13.1215408,-59.6166417 13.1214501,-59.6168009 13.1212923,-59.6170257 13.1210829,-59.6172852 13.1208265,-59.6193826 13.1188659)",unclassified,Fairfield Road,asphalt,,,2,,,,,
"LINESTRING (-59.6078015 13.1385781,-59.6076405 13.1385781,-59.6074796 13.1385781)",residential,,,yes,,,,,,,
"LINESTRING (-59.6067326 13.1391109,-59.6067626 13.1390872,-59.6069982 13.1390963)",service,,,yes,,,,,,,
"LINESTRING (-59.6071098 13.1391017,-59.6071193 13.1390851,-59.607136 13.1390715,-59.6072755 13.1390725)",service,,,yes,,,,,,,
"LINESTRING (-59.6066138 13.1389265,-59.6070024 13.1389513,-59.6070779 13.1389527,-59.6080997 13.1389603)",unclassified,Lodge Hill,asphalt,,,,,,,,
"LINESTRING (-59.6071108 13.139213,-59.6071098 13.1391017)",service,,,yes,,,,,,,
"LINESTRING (-59.6067122 13.1392094,-59.6069986 13.1392076,-59.6071108 13.139213,-59.6072768 13.1392153)",service,,,yes,,,,,,,
"LINESTRING (-59.6101513 13.1386261,-59.6095236 13.1386257,-59.608948 13.1386179,-59.6088833 13.1385982)",residential,Opal Court,,,,,,,,,
"LINESTRING (-59.608889 13.1389497,-59.6088894 13.1388766,-59.6088833 13.1385982)",track,,,yes,,,,,,,
"LINESTRING (-59.6080997 13.1389603,-59.6082918 13.1389539,-59.608889 13.1389497,-59.6091131 13.138954)",unclassified,Lodge Hill,asphalt,,,,,,,,
"LINESTRING (-59.6066994 13.1393464,-59.6069963 13.13936,-59.6072737 13.1393664)",service,,,yes,,,,,,,
"LINESTRING (-59.6066807 13.1394874,-59.6069926 13.1395075,-59.6072671 13.1395122)",service,,,yes,,,,,,,
"LINESTRING (-59.6066771 13.1396419,-59.6066698 13.139631,-59.6066807 13.1394874,-59.6066994 13.1393464,-59.6067122 13.1392094,-59.6067326 13.1391109)",service,,,yes,,,,,,,
"LINESTRING (-59.6069925 13.1396593,-59.6069926 13.1395075,-59.6069963 13.13936,-59.6069986 13.1392076,-59.6069982 13.1390963,-59.6070024 13.1389513)",service,,,yes,,,,,,,
"LINESTRING (-59.6080494 13.1394498,-59.6080997 13.1389603)",unclassified,,asphalt,yes,,,,,,,
"LINESTRING (-59.6072755 13.1390725,-59.6072768 13.1392153,-59.6072737 13.1393664,-59.6072671 13.1395122,-59.6072795 13.1396717)",service,,,yes,,,,,,,
"LINESTRING (-59.6107392 13.1389607,-59.6107502 13.1385955,-59.610771 13.138557)",residential,Lodge Crescent,,,,,,,,,
"LINESTRING (-59.6080494 13.1394498,-59.6086969 13.139459,-59.6092657 13.1394566)",unclassified,Warrens Close,asphalt,,yes,,,,,,
"LINESTRING (-59.6091739 13.1396354,-59.6086973 13.1396315,-59.608299 13.1396341)",service,,,,,,,,,,
"LINESTRING (-59.6086969 13.139459,-59.6086973 13.1396315,-59.6086978 13.1398211)",service,,,yes,,,,,,,
"LINESTRING (-59.6184548 13.1385844,-59.6183465 13.1384386,-59.6182729 13.1382337)",residential,,,,,,,,,,
"LINESTRING (-59.6160355 13.1392155,-59.6159973 13.1391248,-59.6157266 13.1382883)",residential,,,yes,,,,,,,
"LINESTRING (-59.6149594 13.1385596,-59.6147562 13.1389533,-59.6147052 13.1390792,-59.6146936 13.1392099,-59.6146981 13.1394143,-59.6147368 13.1395114)",residential,,,,,,,,,,
"LINESTRING (-59.6137977 13.1398056,-59.6137633 13.1396988,-59.613675 13.1394202,-59.6133899 13.1385202)",residential,,,yes,,,,,,,
"LINESTRING (-59.6198173 13.1384477,-59.6194485 13.1386196,-59.6191519 13.1387238,-59.6182602 13.1390403,-59.617413 13.1393229)",trunk,Gordon Cummins Highway,asphalt,,,3,80,ABC,,,
"LINESTRING (-59.6239028 13.1382463,-59.6231113 13.1382533,-59.6227092 13.1382752,-59.6226024 13.1383016,-59.6220764 13.1384533)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6220764 13.1384533,-59.6222341 13.1386298,-59.6223091 13.1386825,-59.6235822 13.1398305)",residential,Airlie Tenantry No 1,asphalt,,,,,,,,
"LINESTRING (-59.6091533 13.1398294,-59.6090692 13.139813,-59.6087914 13.1398304,-59.6086978 13.1398211)",service,,,yes,,,,,,,
"LINESTRING (-59.6072795 13.1396717,-59.6069925 13.1396593,-59.606688 13.1396528,-59.6066771 13.1396419)",service,,,yes,,,,,,,
"LINESTRING (-59.6091131 13.138954,-59.6093362 13.1389573)",unclassified,,asphalt,yes,yes,,,,,,
"LINESTRING (-59.6093362 13.1389573,-59.6093711 13.1389546)",unclassified,,asphalt,yes,,,,,,roundabout,
"LINESTRING (-59.6093711 13.1389546,-59.6096008 13.1389366)",unclassified,,asphalt,yes,yes,,,,,,
"LINESTRING (-59.6092628 13.139082,-59.6091131 13.138954)",unclassified,,asphalt,yes,yes,,,,,,
"LINESTRING (-59.6096008 13.1389366,-59.6094615 13.1390773)",unclassified,,asphalt,yes,yes,,,,,,
"LINESTRING (-59.6093711 13.1389546,-59.6094048 13.1389635,-59.6094336 13.138983,-59.609454 13.1390106,-59.6094637 13.1390433,-59.6094615 13.1390773,-59.6094478 13.1391087,-59.6094241 13.1391337,-59.6093931 13.1391495,-59.6093607 13.1391544,-59.6093283 13.139149,-59.6092994 13.139134,-59.6092768 13.1391109,-59.6092628 13.139082,-59.6092588 13.1390503,-59.6092653 13.139019,-59.6092817 13.1389913,-59.6093061 13.13897,-59.6093362 13.1389573)",unclassified,,asphalt,yes,,,,,,roundabout,
"LINESTRING (-59.6096008 13.1389366,-59.6097129 13.1389271,-59.609901 13.1389166,-59.6101593 13.1389192,-59.6103036 13.1389393,-59.6104307 13.1389641)",unclassified,Lodge Hill,asphalt,,,,,,,,
"LINESTRING (-59.6093749 13.1392403,-59.6092994 13.139134)",unclassified,,asphalt,yes,yes,,,,,,
"LINESTRING (-59.6094241 13.1391337,-59.6093749 13.1392403)",unclassified,,asphalt,yes,yes,,,,,,
"LINESTRING (-59.6093749 13.1392403,-59.6093774 13.1393342)",unclassified,,asphalt,yes,,,,,,,
"LINESTRING (-59.6092657 13.1394566,-59.609333 13.1393988,-59.6093774 13.1393342)",unclassified,,asphalt,yes,yes,,,,,,
"LINESTRING (-59.6093774 13.1393342,-59.6094291 13.1393977,-59.6095114 13.1394663)",unclassified,,asphalt,yes,yes,,,,,,
"LINESTRING (-59.6092657 13.1394566,-59.6095114 13.1394663)",unclassified,,asphalt,yes,yes,,,,,,
"LINESTRING (-59.6106597 13.1392366,-59.6106539 13.1391278,-59.6106709 13.139078,-59.6106971 13.1390175,-59.6107392 13.1389607)",residential,,,yes,,,,,,,
"LINESTRING (-59.6116739 13.139042,-59.6107392 13.1389607,-59.6104307 13.1389641)",residential,,,yes,,,,,,,
"LINESTRING (-59.613675 13.1394202,-59.6133714 13.1395055)",service,,,,,,,,,,
"LINESTRING (-59.615652 13.1389351,-59.6152701 13.1390916,-59.6149843 13.139109,-59.6147052 13.1390792)",residential,,,,,,,,,,
"LINESTRING (-59.6143257 13.1396314,-59.614283 13.1395291,-59.6139993 13.1386853)",residential,,,yes,,,,,,,
"LINESTRING (-59.6161701 13.1395674,-59.6160355 13.1392155)",service,,,,,,,,,,
"LINESTRING (-59.617995 13.1392593,-59.6188461 13.1390332)",residential,,,yes,,,,,,,
"LINESTRING (-59.6219873 13.1388799,-59.6222341 13.1386298)",residential,,,yes,,,,,,,
"LINESTRING (-59.6198372 13.1396197,-59.6196095 13.1391962)",residential,,,,,,,,,,
"LINESTRING (-59.6210213 13.1391496,-59.6204388 13.1394853)",residential,,,,,,,,,,
"LINESTRING (-59.6188461 13.1390332,-59.6188808 13.1390443,-59.6189058 13.1390706,-59.6194162 13.1398489)",residential,,,yes,,,,,,,
"LINESTRING (-59.6216405 13.1391756,-59.6222493 13.139745)",residential,Husbands New Development,,,,,,,,,
"LINESTRING (-59.6214716 13.1402556,-59.6214528 13.1402055,-59.6209796 13.139797,-59.6207417 13.139713,-59.620585 13.1396387,-59.6204786 13.1395404,-59.6204388 13.1394853,-59.6204019 13.1394343,-59.620342 13.1393415,-59.6198773 13.1386807)",residential,Husbands New Development,,,,,,,,,
"LINESTRING (-59.6234454 13.1401743,-59.623249 13.1399877,-59.6228714 13.1396549,-59.6225386 13.1393548,-59.6219873 13.1388799,-59.6216405 13.1391756,-59.6213013 13.1394854,-59.6209796 13.139797)",residential,Husbands New Development,asphalt,,,,,,,,
"LINESTRING (-59.6220109 13.1401117,-59.6216667 13.1398216,-59.6213013 13.1394854)",residential,Husbands New Development,,,,,,,,,
"LINESTRING (-59.61751 13.1396319,-59.6173959 13.1396438,-59.6173039 13.1396217,-59.6172194 13.1395792,-59.6170868 13.1395769,-59.616275 13.1399011)",residential,,,yes,,,,,,,
"LINESTRING (-59.617413 13.1393229,-59.6160797 13.1398115,-59.6154092 13.1400367,-59.6148701 13.1402203)",trunk,Gordon Cummins Highway,asphalt,,,3,80,ABC,,,
"LINESTRING (-59.616275 13.1399011,-59.6159669 13.1399958)",residential,,,,,,,,,,
"LINESTRING (-59.6147368 13.1395114,-59.6147664 13.139591,-59.6148651 13.1400832,-59.6148701 13.1402203)",residential,,,yes,,,,,,,
"LINESTRING (-59.6145694 13.1398566,-59.6141317 13.1400056,-59.6140881 13.1400056)",residential,,,,,,,,,,
"LINESTRING (-59.6140881 13.1400056,-59.6140513 13.139986,-59.6139724 13.139748)",residential,,,,,,,,,,
"LINESTRING (-59.6357946 13.1352584,-59.6355848 13.1351888,-59.6354105 13.1351261,-59.635334 13.1351157,-59.6352723 13.1351183,-59.6346121 13.1353535)",unclassified,,,,,,,,,,
"LINESTRING (-59.6329648 13.1324973,-59.6329962 13.1326959,-59.6330166 13.1330298,-59.6330768 13.1333746,-59.6331021 13.1334614,-59.633134 13.1335267,-59.6332127 13.1336713,-59.6334547 13.1339795,-59.6336619 13.1342045,-59.6338072 13.1343431,-59.6340595 13.1345856,-59.6342163 13.1347347,-59.6343291 13.1348528,-59.6344612 13.1350449,-59.6345555 13.1352314,-59.6346121 13.1353535,-59.6347347 13.1356179,-59.6349545 13.136191,-59.6351536 13.1365807,-59.6354476 13.1368905,-59.6355711 13.1369934,-59.635628 13.137041,-59.6357907 13.1371826)",primary,Highway 1,asphalt,,,2,,H1,,,
"LINESTRING (-59.6360936 13.1347966,-59.6357946 13.1352584,-59.635705 13.1353968,-59.635638 13.1355621,-59.6356292 13.1356755,-59.6357281 13.1362552,-59.6358104 13.1368054,-59.6358047 13.1370633,-59.6357907 13.1371826)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6363756 13.1394373,-59.6368483 13.1393357)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6353659 13.1371353,-59.635458 13.1370774,-59.6355711 13.1369934)",residential,,asphalt,yes,yes,,,,,,
"LINESTRING (-59.6349945 13.137372,-59.6351733 13.1372457,-59.6353191 13.1371688,-59.6353659 13.1371353,-59.6354188 13.1370226,-59.6354476 13.1368905)",residential,,asphalt,yes,yes,,,,,,
"LINESTRING (-59.635628 13.137041,-59.6354059 13.1371921,-59.6349945 13.137372)",residential,,asphalt,yes,yes,,,,,,
"LINESTRING (-59.6357907 13.1371826,-59.6358218 13.137219,-59.6359785 13.1373624,-59.6362243 13.1376115,-59.6363432 13.1377299,-59.6364763 13.1378809,-59.6365847 13.1380324,-59.6366547 13.138179)",primary,Highway 1,asphalt,,,2,,H1,,,
"LINESTRING (-59.6362243 13.1376115,-59.636008 13.1376827,-59.6357827 13.1377298,-59.6355064 13.1377676,-59.6351908 13.1378116)",residential,Crusher Site Road,asphalt,,,,40,,,,
"LINESTRING (-59.6351908 13.1378116,-59.6351613 13.1378351,-59.6351532 13.1378821,-59.6351666 13.1379265,-59.6352122 13.1380049,-59.6352471 13.1381172,-59.6352444 13.1381773,-59.6351811 13.1383016)",residential,Crusher Site Road,asphalt,,yes,,40,,,,
"LINESTRING (-59.6339954 13.1369598,-59.6343175 13.137712,-59.6345039 13.1376415,-59.6342424 13.1370159,-59.634182 13.1370107,-59.6341284 13.136901,-59.6339954 13.1369598,-59.6337181 13.1370823)",service,,,,,,,,parking_aisle,,
"LINESTRING (-59.6346481 13.1380969,-59.6346995 13.1380078,-59.6347754 13.1379164,-59.635001 13.1378338,-59.6351908 13.1378116)",residential,,,,yes,,,,,,
"LINESTRING (-59.6351273 13.1383966,-59.6350791 13.138371,-59.6350344 13.1383101,-59.6349786 13.1382731,-59.6348513 13.1382405,-59.6347151 13.1382252,-59.634676 13.1382068,-59.6346459 13.1381796,-59.6346419 13.1381404,-59.6346481 13.1380969)",residential,,,,yes,,,,,,
"LINESTRING (-59.6345497 13.1378139,-59.6346481 13.1380969)",residential,,,,,,,,,,
"LINESTRING (-59.6342645 13.1378196,-59.6342511 13.1379479,-59.6342601 13.138135)",service,,,,,,,,,,
"LINESTRING (-59.6356203 13.1396332,-59.6353651 13.1380885,-59.6353356 13.1379918,-59.6352605 13.1379317,-59.6351532 13.1378821)",residential,Prospect Road,,,,,40,,,,
