WKT,highway,name,surface,noname,oneway,lanes,maxspeed,ref,service,junction,source_1
"LINESTRING (-59.5571157 13.1401359,-59.5568245 13.140035,-59.5566386 13.139957,-59.5564174 13.1398612,-59.5562457 13.1398064,-59.5560618 13.1397817,-59.5559947 13.1397817,-59.5559328 13.1397743,-59.5555409 13.1397685,-59.5552222 13.1397802,-59.5549481 13.1397788,-59.5546735 13.1397872,-59.554416 13.1397788,-59.5543301 13.1397514,-59.5542615 13.1397119,-59.5540641 13.1395615,-59.5539179 13.1394455)",unclassified,Workmans / Walkers,,,,,,,,,
"LINESTRING (-59.5520832 13.1393161,-59.5519913 13.1395731,-59.5519555 13.1398058,-59.5519734 13.1401103,-59.5520047 13.1408448)",residential,,,,,,,,,,
"LINESTRING (-59.5539179 13.1394455,-59.5538421 13.1394132,-59.5537623 13.1394022,-59.5533684 13.1394331,-59.5531347 13.1394425,-59.5528933 13.1394306,-59.5526739 13.1394175,-59.5524934 13.1394027,-59.552271 13.1393631,-59.5520832 13.1393161,-59.5518493 13.1392703,-59.5517339 13.1392719,-59.5516447 13.1392903,-59.5513939 13.1394221,-59.5511892 13.1394971,-59.5509579 13.1395585,-59.5506869 13.1396145,-59.5504849 13.1396451,-59.5503341 13.1396912,-59.5502017 13.1397704,-59.5500155 13.1398461,-59.5498584 13.1398693,-59.5496781 13.1398791,-59.5495866 13.1399113,-59.5495269 13.1399456,-59.5494972 13.1400091,-59.5494796 13.1400927,-59.5494727 13.1402896,-59.5494049 13.1404219,-59.5492899 13.1405779,-59.5492471 13.140654,-59.5492295 13.1407346)",unclassified,Workmans,,,,,,,,,
"LINESTRING (-59.552534 13.1408519,-59.5520047 13.1408448,-59.551473 13.1408522,-59.5510153 13.1408584)",residential,,,,,,,,,,
"LINESTRING (-59.5533603 13.1401125,-59.5533357 13.1408454,-59.5532442 13.1413369,-59.553204 13.1418001,-59.5532174 13.1418915,-59.5532442 13.1419393)",residential,,,,,,,,,,
"LINESTRING (-59.5532442 13.1419393,-59.5532732 13.1419654,-59.5533223 13.1419784,-59.5534117 13.1419567,-59.5535345 13.1419176,-59.5537623 13.1418871,-59.5539834 13.141911,-59.5541687 13.1420002,-59.5547511 13.1424232)",residential,,,,,,,,,,
"LINESTRING (-59.552592 13.1414587,-59.5514628 13.1414609,-59.550964 13.1414848)",residential,,,,,,,,,,
"LINESTRING (-59.551473 13.1408522,-59.5514628 13.1414609,-59.5514575 13.141774,-59.5514575 13.1420785,-59.5514575 13.1426287)",residential,,,,,,,,,,
"LINESTRING (-59.5525831 13.1420828,-59.5514575 13.1420785,-59.5509372 13.142085)",residential,,,,,,,,,,
"LINESTRING (-59.5526077 13.1427005,-59.5515826 13.1427027,-59.55152 13.1426896,-59.5514865 13.1426679,-59.5514575 13.1426287)",residential,,,,,,,,,,
"LINESTRING (-59.5490242 13.1399892,-59.5486078 13.1401741)",residential,,,,,,,,,,
"LINESTRING (-59.5492295 13.1407346,-59.5492355 13.1409169,-59.549236 13.1411213)",unclassified,Jordan Road,,,,,,,,,
"LINESTRING (-59.5501382 13.1411859,-59.5492504 13.141245)",residential,,,,,,,,,,
"LINESTRING (-59.5501845 13.1422612,-59.5495134 13.1422744)",residential,,,,,,,,,,
"LINESTRING (-59.5489423 13.1427701,-59.5486631 13.141724,-59.5486391 13.1416527)",residential,,,,,,,,,,
"LINESTRING (-59.5458944 13.1412952,-59.5464045 13.1413421,-59.546662 13.1413755,-59.5469796 13.1413922,-59.5472545 13.1414136,-59.5473886 13.1414321,-59.5476264 13.1414751,-59.5476962 13.1414877,-59.5480059 13.141516,-59.5481578 13.1415196,-59.5482654 13.1415364,-59.548473 13.1416012,-59.5486391 13.1416527,-59.5486618 13.1416597,-59.5487981 13.1416577,-59.5489085 13.1415908,-59.5490245 13.1414666,-59.5491272 13.1412879,-59.549236 13.1411213)",unclassified,,,yes,,,,,,,
"LINESTRING (-59.550227 13.1424613,-59.5495571 13.1425073)",residential,,,,,,,,,,
"LINESTRING (-59.549236 13.1411213,-59.5492504 13.141245,-59.5492587 13.1413164,-59.5494827 13.1421111,-59.5495134 13.1422744,-59.5495571 13.1425073,-59.5496363 13.1429296,-59.549602 13.1431135,-59.549499 13.1433308,-59.5494132 13.1435565,-59.5493531 13.1437821,-59.5493624 13.1439521,-59.5493225 13.1440702)",unclassified,Free Hill,,,,,,,,,
"LINESTRING (-59.5493225 13.1440702,-59.549221 13.1441207,-59.5490851 13.1441312,-59.5489703 13.1441629,-59.5489065 13.144212,-59.5488829 13.14427,-59.5488712 13.1445117,-59.548876 13.1451595,-59.5489138 13.1456446,-59.5489565 13.1457459,-59.5490379 13.1458067)",unclassified,Free Hill,,,,,,,,,
"LINESTRING (-59.548876 13.1451595,-59.5474213 13.1455712,-59.5470337 13.145685,-59.5467632 13.1457361,-59.5465161 13.1457385,-59.5463115 13.1457446,-59.5460634 13.145725,-59.5459338 13.1457151,-59.5458127 13.145696,-59.545637 13.1456448,-59.5453273 13.1455119,-59.5451721 13.1454563,-59.5448566 13.1452746,-59.5446361 13.1451455,-59.5444691 13.1449988,-59.5444109 13.1449204,-59.5444027 13.1448418,-59.5444418 13.1446892,-59.5444589 13.1445639,-59.5444675 13.1444301,-59.5444084 13.144324,-59.5443621 13.1442473)",residential,Middleton,,,,,,,,,
"LINESTRING (-59.5594528 13.1452518,-59.5592796 13.1452564,-59.5581477 13.1454928,-59.5580191 13.1455619,-59.557804 13.1456767,-59.557604 13.1457117,-59.5567234 13.1457931,-59.5565876 13.145849,-59.5564159 13.1459176,-59.5562154 13.1459737,-59.555816 13.1459711,-59.5550099 13.1459632,-59.5548432 13.1459589,-59.5546832 13.1459463,-59.5540558 13.1458967,-59.5536744 13.1458715)",residential,Newbury / Rose Hill,,,,,40,,,,
"LINESTRING (-59.5529025 13.1466358,-59.552886 13.1465697,-59.5529694 13.1456949,-59.5529382 13.145618)",residential,Sailsbury Road,,,,,,,,,
"LINESTRING (-59.5529382 13.145618,-59.5528775 13.1455726,-59.5523555 13.1455363,-59.5520976 13.1455018,-59.5515615 13.1454578,-59.5508814 13.1454065)",residential,Sailsbury Road,,,,,,,,,
"LINESTRING (-59.5534367 13.1467465,-59.5529867 13.1467112,-59.5529453 13.1466931,-59.5529025 13.1466358)",residential,Sailsbury Road,,,,,,,,,
"LINESTRING (-59.5533103 13.1475498,-59.5534852 13.147558,-59.5545812 13.1475892)",residential,,,yes,,,,,,,
"LINESTRING (-59.5536641 13.1481857,-59.5532138 13.1481874)",residential,,,yes,,,,,,,
"LINESTRING (-59.5533762 13.1489889,-59.5533203 13.1489687,-59.5530626 13.1489615)",residential,,,yes,,,,,,,
"LINESTRING (-59.5534755 13.1493315,-59.5534259 13.1492972,-59.5534031 13.1490332,-59.5533762 13.1489889)",residential,,,yes,,,,,,,
